name,developer_id
3DO,1
A-Max,2
A.I,3
ASCII,4
ATD,5
Acclaim,6
Acclaim Austin,7
Acclaim London,8
Alpha Unit,9
Altron,10
Ambrella,11
Amtex,12
Angel,13
Angel Studios/CAPCOM/Factor 5,14
Argonaut,15
Art,16
Asmik Ace/AKI,17
Atari,18
Atari/Midway,19
Athena,20
Avalanche,21
BEC,22
BITS,23
Bandai,24
Banpresto,25
Big Bang,26
Black Ops,27
Blaze,28
Blizzard/Mass Media,29
Blue Planet/H2O,30
Boss,31
Bottom Up,32
Budcat,33
CAPCOM,34
Camelot,35
Celeris,36
Chat Noir,37
Chunsoft,38
Climax Studios,39
Codemasters,40
Compile,41
Core Design,42
Culture Brain,43
DATT/FujiFilm/Nintendo,44
DMA,45
DMA Design,46
Datel,47
Devil's Thumb,48
Diamond Head,49
Digital Eclipse,50
Distinctive Developments,51
DokiDenki,52
EA Tiburon,53
Eden,54
Edge of Reality,55
Electronic Arts,56
Electronic Arts Victor,57
Electronic Arts/Extended Play,58
Epoch,59
Eurocom,60
FDI,61
Factor 5,62
Factor 5/LucasArts,63
GameTek,64
Gearhead,65
Genki,66
Genki/Opus,67
Genki/Opus/Anchor,68
Givro,69
Gratuitous,70
Gremlin,71
H2O,72
HAL Laboratory,73
High Voltage,74
Hudson,75
Human,76
Iguana,77
Imagineer,78
Infogrames,79
Inland,80
Intelligent Systems,81
InterAct,82
Interactive Studios,83
Interactive Studios/A-Team,84
Interactive Studios/Team Spirit,85
Interactive Studios/Team Storm,86
Interplay,87
Ion Storm,88
Irem/Telenet,89
Japan System Supply,90
KCEK,91
KCEN,92
KCEO,93
KCEO/KCET,94
KID,95
Kalisto,96
Kemco,97
Kodiak,98
Konami Chicago,99
Kronos,100
Left Field,101
Locomotive,102
Looking Glass,103
LucasArts,104
Luxoflux,105
MBL Research,106
Mass Media,107
Maxis/Genki,108
Midway,109
Midway/Saffire,110
Mind's Eye,111
Mr. Byte/KCEO,112
NAMCO,113
Natsume,114
Nintendo,115
Nintendo EAD,116
Nintendo EAD/Paradigm,117
Nintendo EAD/SRD,118
Nintendo Software Technology,119
Noise,120
NuFX,121
Omega Force,122
Pacific Coast Power & Light,123
Pack-In-Soft,124
Pack-In-Video,125
Pandora Box,126
Paradigm,127
ParityBit,128
Player 1,129
Point of View,130
Probe,131
Produce!,132
Psygnosis,133
Pure,134
Quest,135
Racdym,136
Racjin,137
Rare,138
Raster,139
Realtime,140
Red,141
SETA,142
Saffire,143
Saru Brunei/Intelligent Systems,144
Shouei System,145
Silicon Dreams,146
Smart Dog,147
Snowblind,148
Software Creations,149
Stormfront,150
Sucker Punch,151
Syrox,152
T&E,153
TNS/Infinite Ventures,154
Taito,155
Takara,156
Tantalus,157
Terraglyph,158
Tiburon,159
Titanium,160
Titus,161
Traveller's Tales,162
Treasure,163
Treyarch Invention,164
Ubi Pictures,165
Ubisoft,166
Unisoft,167
VIS,168
VIS/Asylum,169
Vicarious Visions/The Golden Gate,170
Victor,171
Video System/Paradigm,172
Visco,173
Vivid Image,174
Westwood Pacific,175
Williams,176
Yuke's,177
Z-Axis,178
Zed Two,179
Zono,180
i4 Corporation,181
