game_id,developer_id
64dehakkentamagotchimdtw,75
64hanafudatenshinoyakusoku,10
64oozumou,32
64oozumou2,32
64trumpcollectionanwtw,32
1080snowboarding,116
aerogauge,102
aishougi3,181
airboarder64,76
akumajoudraculamokushiroku,91
akumajoudraculamokushirokugaiden,91
bakubomberman,75
bakubomberman2,75
bakuretsumutekibangaiou,163
bakushoujinsei64mro,155
banjokazooie,138
banjotooie,138
bassrushepc,173
beetleadventureracing,127
biohazard2,14
blastcorps,138
bokujoumonogatari2,171
bokujoumonogatari2,171
bokujoumonogatari2,171
bomberman64,137
bombermanheromows,3
buckbumble,15
chameleontwist,90
chamaleontwist2,90
choroq64,102
choroq64,102
choroq642,102
choukuukannighterproyakyuuking,66
choukuukannighterproyakyuuking,66
chousnobowkids,136
citytourgp,78
customrobo,120
customrobov2,120
daikatana,88
dancedancerevolutiondisney,91
denshadego64,3
denshadego64,3
derbystallion64,128
dezaemon3d,20
diddykongracing,138
donkeykong64,138
doom64,109
doraemonnt3ns,59
doraemon2nths,59
doraemon3nnmsos,59
doubutsunomori,116
doubutsunomori,116
dualheroes,132
eikounosaintandrews,142
eltalemonsters,78
excitebike64,101
extremeg,131
extremeg2,131
f1worldgrandprix,172
fzerox,116
famista64,113
fifa98,58
fightingcup,68
fushiginodungeonfuurainoshiren2ossj,38
gasp,93
ganbaregoemonnmbno,93
ganbaregoemondddot,93
ganbarenipponolympics2000,93
gauntletlegends,18
getterlovecrpgt,75
goemonmononokesugoroku,91
goldeneye007,138
hamstermonogatari64,43
heiwapachinkoworld64,145
hexen,149
hiryuunokentwin,43
hoshinokirby64,73
hoshinokirby64,73
hoshinokirby64,73
hoshinokirby64,73
humangrandprixtng,76
hybridheaven,93
hyperolympicinnagano,94
ideyosukenomahjongjuku,142
iggyreckinballs,77
basstsurino1keitteiban,73
jleaguedynamitesoccer64,2
jleagueelevenbeat1997,75
fifa64,57
jleaguetacticssoccer,4
jleaguetacticssoccer,4
jangousimulationmahjongdou64,16
jikkyougistable,92
jikkyougistable,92
jikkyoujleagueperfectstriker,93
jikkyoujleague1999perfectstriker2,93
jikkyoujleague1999perfectstriker2,93
jikkyoupowerfulproyakyuu4,49
jikkyoupowerfulproyakyuu4,49
jikkyoupowerfulproyakyuu5,49
jikkyoupowerfulproyakyuu5,49
jikkyoupowerfulproyakyuu5,49
jikkyoupowerfulproyakyuu6,49
jikkyoupowerfulproyakyuu6,49
jikkyoupowerfulproyakyuu6,49
jikkyoupowerfulproyakyuu2000,49
jikkyoupowerfulproyakyuu2000,49
jikkyoupowerfulproyakyuubasicban2001,49
jikkyoupowerfulproyakyuubasicban2001,49
jikkyouworldsoccerwcf98,93
jikkyouworldsoccerwcf98,93
jikkyouworldsoccerwcf98,93
jikkyouworldsoccer3,93
jinseigame64,156
kakutoudenshoufcupmmaniax,67
twistededgeextremesnowboarding,31
kirattokaisetsu64tanteidan,126
knifeedgenosegunner,97
lastlegionux,177
letssmash,75
loderunner3d,26
magicaltetrischallenge,34
mahjong64,37
mahjonghouroukiclassic,9
mahjongmaster,93
mariogolf64,35
mariogolf64,35
mariokart64,116
mariokart64,116
mariokart64,116
marionophotopie,44
marioparty,75
marioparty2,75
marioparty3,75
mariostory,81
mariotennis64,35
masters98harukanaruaugusta,153
mickeysspeedwayusa,138
moritashougi64,142
mrcmultiracingchampionship,66
nbainthezone98,93
nbainthezone99,93
neongenesisevangelion,22
nintamarantarou64gamegallery,43
dairantousmashbrothers,73
nushizuri64,125
nushizuri64,125
nushizuri64snn,124
ogrebattle64polc,135
olympichockey98,164
onegaimonsters,32
pachinko365nichi,142
parlorpro64,89
pcultramanbattlecollection64,24
perfectdark,138
perfectdark,138
pikachuugenkidechuu,11
pilotwings64,117
pocketmonstersstadium,116
pocketmonstersstadium,116
pocketmonstersstadium2,116
pocketmonstersstatiumkingin,116
pokemonsnap,73
powerleague64,75
promahjongkiwame64,20
promahjongkiwame64,20
promahjongtsukamoto64jbnc,43
puyopuyosun,41
puyopuyoon,41
puzzlebobble3dx,51
rakugakids,91
rally99,66
robotponkottsu64nnunc,141
rockmandashhnb,34
saikyouhabushougi,142
sdhiryuunokendensetsu,43
shadowgate64totft,154
shinnihonprowrestlingtoukonroadbravespirts,177
shinnihonprowrestlingtoukonroad2tng,177
simcity2000,108
snobowkids,136
snowspeeder,114
sonicwingsassault,127
darkrift,100
starsoldiervanishingearth,75
starwarsroguesquadron,63
starwarsshadowsoftheempire,104
starwarsepisode1racer,104
starfox64,118
starfox64,118
jetforcegemini,138
superbdamanbattlephoenix64,75
superbowling,95
supermario64,118
supermario64,118
superrobotspirits,25
superrobottaisen64,3
automobililamborghini,161
susumetaisenpuzzledamatmc,91
tetris64,12
zeldanodensetsumujuranokamen,118
zeldanodensetsumujuranokamen,118
zeldanodensetsumujuranokamen,118
zeldanodensetsutokinoocarina,118
zeldanodensetsutokinoocarina,118
zeldanodensetsutokinoocarina,118
topgearhyperbike,148
topgearoverdrive,148
topgearrally,31
topgearrally2,143
transformersbeastwarsmetals64,102
tsumitobatsuhoshinokeishousha,163
turokdinosaurhunter,77
ucchannanchannohonoonochallengerdiib,177
turok2seedsofevil,77
virtualprowrestling64,17
virtualprowrestling2,17
vrallyedition99,54
waverace64kjs,116
waverace64kjs,116
waverace64kjs,116
waynegretzkys3dhockey,18
wetrix,179
wildchoppers,142
winback,122
winback,122
wonderprojectj2knm,69
virtualprowrestling2,17
yakouchuu2satsujinkouro,20
yoshistory,118
yukeyuketroublemakers,163
zoolmajuutsukaidensetsu,126
007theworldisnotenough,60
1080snowboarding,116
1080snowboarding,116
abugslife,162
sonicwingsassault,127
aerogauge,102
aidynchroniclestfm,72
aidynchroniclestfm,72
allstarbaseball99,77
allstarbaseball2000,77
allstarbaseball2001,74
allstartennis99,147
armorinesprojectswarm,8
armymenaircombat,1
armymensargesheroes,1
armymensargesheroes2,1
asteroidshyper64,152
automobililamborghini,161
banjokazooie,138
banjokazooie,138
banjotooie,138
bassmasters2000,107
batmanbeyondrotj,97
battletanx,1
battletanxglobalassault,1
battlezonerotbd,39
beetleadventureracing,127
snowspeeder,114
biofreaks,110
blastcorps,138
blastcorps,138
bluesbrothers2000,129
bodyharvest,45
bakubomberman,75
bakubomberman2,75
bombermanheromows,3
bottomofthe9th,99
brunswickcircuitprobowling,130
buckbumble,15
puzzlebobble2,131
puzzlebobble3dx,51
californiaspeed,19
carmageddon2cn,149
akumajoudraculamokushiroku,91
akumajoudraculamokushiroku,91
akumajoudraculamokushiroku,91
akumajoudraculamokushirokugaiden,91
chameleontwist,90
chameleontwist,90
chameleontwist2,90
charlieblaststerritory,140
wildchoppers,142
clayfighters6313,87
clayfightersc,87
commandandconquer,103
conkersbadfurday,138
cruisnusa,176
cruisnusa,176
cruisnusa,176
cruisnworld,60
cruisnexotica,70
cybertiger,143
daikatana,88
darkrift,100
gasp,93
destructionderby64,103
diddykongracing,138
diddykongracing,138
goinquackers,166
donkeykong64,138
doom64,109
doom64,109
drmario64,115
dualheroes,132
duckrogersstarringdaffyduck,127
dukenukem64,60
dukenukemzerohour,60
earthwormjim3d,168
