game_id,publisher_id
64dehakkentamagotchimdtw,12
64hanafudatenshinoyakusoku,6
64oozumou,16
64oozumou2,16
64trumpcollectionanwtw,16
1080snowboarding,64
aerogauge,3
aishougi3,3
airboarder64,43
akumajoudraculamokushiroku,53
akumajoudraculamokushirokugaiden,53
bakubomberman,42
bakubomberman2,42
bakuretsumutekibangaiou,30
bakushoujinsei64mro,82
banjokazooie,64
banjotooie,64
bassrushepc,94
beetleadventureracing,77
biohazard2,17
blastcorps,64
bokujoumonogatari2,66
bokujoumonogatari2,66
bokujoumonogatari2,66
bomberman64,42
bombermanheromows,42
buckbumble,88
chameleontwist,50
chamaleontwist2,50
choroq64,83
choroq64,83
choroq642,83
choukuukannighterproyakyuuking,44
choukuukannighterproyakyuuking,44
chousnobowkids,10
citytourgp,44
customrobo,64
customrobov2,64
daikatana,51
dancedancerevolutiondisney,53
denshadego64,82
denshadego64,82
derbystallion64,58
dezaemon3d,9
diddykongracing,68
donkeykong64,64
doom64,38
doraemonnt3ns,29
doraemon2nths,29
doraemon3nnmsos,29
doubutsunomori,64
doubutsunomori,64
dualheroes,42
eikounosaintandrews,72
eltalemonsters,44
excitebike64,64
extremeg,4
extremeg2,4
f1worldgrandprix,92
fzerox,64
famista64,61
fifa98,27
fightingcup,44
fushiginodungeonfuurainoshiren2ossj,64
gasp,53
ganbaregoemonnmbno,53
ganbaregoemondddot,53
ganbarenipponolympics2000,53
gauntletlegends,29
getterlovecrpgt,42
goemonmononokesugoroku,53
goldeneye007,64
hamstermonogatari64,21
heiwapachinkoworld64,7
hexen,38
hiryuunokentwin,21
hoshinokirby64,64
hoshinokirby64,64
hoshinokirby64,64
hoshinokirby64,64
humangrandprixtng,43
hybridheaven,53
hyperolympicinnagano,53
ideyosukenomahjongjuku,72
iggyreckinballs,4
basstsurino1keitteiban,64
jleaguedynamitesoccer64,44
jleagueelevenbeat1997,42
fifa64,27
jleaguetacticssoccer,3
jleaguetacticssoccer,3
jangousimulationmahjongdou64,92
jikkyougistable,53
jikkyougistable,53
jikkyoujleagueperfectstriker,53
jikkyoujleague1999perfectstriker2,53
jikkyoujleague1999perfectstriker2,53
jikkyoupowerfulproyakyuu4,53
jikkyoupowerfulproyakyuu4,53
jikkyoupowerfulproyakyuu5,53
jikkyoupowerfulproyakyuu5,53
jikkyoupowerfulproyakyuu5,53
jikkyoupowerfulproyakyuu6,53
jikkyoupowerfulproyakyuu6,53
jikkyoupowerfulproyakyuu6,53
jikkyoupowerfulproyakyuu2000,53
jikkyoupowerfulproyakyuu2000,53
jikkyoupowerfulproyakyuubasicban2001,53
jikkyoupowerfulproyakyuubasicban2001,53
jikkyouworldsoccerwcf98,53
jikkyouworldsoccerwcf98,53
jikkyouworldsoccerwcf98,53
jikkyouworldsoccer3,53
jinseigame64,83
kakutoudenshoufcupmmaniax,44
twistededgeextremesnowboarding,51
kirattokaisetsu64tanteidan,44
knifeedgenosegunner,51
lastlegionux,42
letssmash,42
loderunner3d,13
magicaltetrischallenge,17
mahjong64,52
mahjonghouroukiclassic,44
mahjongmaster,53
mariogolf64,64
mariogolf64,64
mariokart64,64
mariokart64,64
mariokart64,64
marionophotopie,80
marioparty,64
marioparty2,64
marioparty3,64
mariostory,64
mariotennis64,64
masters98harukanaruaugusta,79
mickeysspeedwayusa,23
moritashougi64,72
mrcmultiracingchampionship,44
nbainthezone98,53
nbainthezone99,53
neongenesisevangelion,12
nintamarantarou64gamegallery,21
dairantousmashbrothers,64
nushizuri64,91
nushizuri64,91
nushizuri64snn,91
ogrebattle64polc,64
olympichockey98,53
onegaimonsters,16
pachinko365nichi,72
parlorpro64,85
pcultramanbattlecollection64,12
perfectdark,68
perfectdark,68
pikachuugenkidechuu,64
pilotwings64,64
pocketmonstersstadium,64
pocketmonstersstadium,64
pocketmonstersstadium2,64
pocketmonstersstatiumkingin,64
pokemonsnap,64
powerleague64,42
promahjongkiwame64,9
promahjongkiwame64,9
promahjongtsukamoto64jbnc,21
puyopuyosun,19
puyopuyoon,19
puzzlebobble3dx,82
rakugakids,53
rally99,45
robotponkottsu64nnunc,42
rockmandashhnb,17
saikyouhabushougi,72
sdhiryuunokendensetsu,21
shadowgate64totft,51
shinnihonprowrestlingtoukonroadbravespirts,42
shinnihonprowrestlingtoukonroad2tng,42
simcity2000,44
snobowkids,10
snowspeeder,44
sonicwingsassault,92
darkrift,89
starsoldiervanishingearth,42
starwarsroguesquadron,55
starwarsshadowsoftheempire,64
starwarsepisode1racer,64
starfox64,64
starfox64,64
jetforcegemini,68
superbdamanbattlephoenix64,42
superbowling,9
supermario64,64
supermario64,64
superrobotspirits,13
superrobottaisen64,13
automobililamborghini,82
susumetaisenpuzzledamatmc,53
tetris64,72
zeldanodensetsumujuranokamen,64
zeldanodensetsumujuranokamen,64
zeldanodensetsumujuranokamen,64
zeldanodensetsutokinoocarina,64
zeldanodensetsutokinoocarina,64
zeldanodensetsutokinoocarina,64
topgearhyperbike,51
topgearoverdrive,51
topgearrally,51
topgearrally2,51
transformersbeastwarsmetals64,83
tsumitobatsuhoshinokeishousha,64
turokdinosaurhunter,4
ucchannanchannohonoonochallengerdiib,42
turok2seedsofevil,39
virtualprowrestling64,8
virtualprowrestling2,8
vrallyedition99,76
waverace64kjs,64
waverace64kjs,64
waverace64kjs,64
waynegretzkys3dhockey,36
wetrix,44
wildchoppers,72
winback,52
winback,52
wonderprojectj2knm,28
virtualprowrestling2,8
