game_id,region_id
64dehakkentamagotchimdtw,12
64hanafudatenshinoyakusoku,12
64oozumou,12
64oozumou2,12
64trumpcollectionanwtw,12
1080snowboarding,12
aerogauge,12
aishougi3,12
airboarder64,12
akumajoudraculamokushiroku,12
akumajoudraculamokushirokugaiden,12
bakubomberman,12
bakubomberman2,12
bakuretsumutekibangaiou,12
bakushoujinsei64mro,12
banjokazooie,12
banjotooie,12
bassrushepc,12
beetleadventureracing,12
biohazard2,12
blastcorps,12
bokujoumonogatari2,12
bokujoumonogatari2,12
bokujoumonogatari2,12
bomberman64,12
bombermanheromows,12
buckbumble,12
chameleontwist,12
chamaleontwist2,12
choroq64,12
choroq64,12
choroq642,12
choukuukannighterproyakyuuking,12
choukuukannighterproyakyuuking,12
chousnobowkids,12
citytourgp,12
customrobo,12
customrobov2,12
daikatana,12
dancedancerevolutiondisney,12
denshadego64,12
denshadego64,12
derbystallion64,12
dezaemon3d,12
diddykongracing,12
donkeykong64,12
doom64,12
doraemonnt3ns,12
doraemon2nths,12
doraemon3nnmsos,12
doubutsunomori,12
doubutsunomori,12
dualheroes,12
eikounosaintandrews,12
eltalemonsters,12
excitebike64,12
extremeg,12
extremeg2,12
f1worldgrandprix,12
fzerox,12
famista64,12
fifa98,12
fightingcup,12
fushiginodungeonfuurainoshiren2ossj,12
gasp,12
ganbaregoemonnmbno,12
ganbaregoemondddot,12
ganbarenipponolympics2000,12
gauntletlegends,12
getterlovecrpgt,12
goemonmononokesugoroku,12
goldeneye007,12
hamstermonogatari64,12
heiwapachinkoworld64,12
hexen,12
hiryuunokentwin,12
hoshinokirby64,12
hoshinokirby64,12
hoshinokirby64,12
hoshinokirby64,12
humangrandprixtng,12
hybridheaven,12
hyperolympicinnagano,12
ideyosukenomahjongjuku,12
iggyreckinballs,12
basstsurino1keitteiban,12
jleaguedynamitesoccer64,12
jleagueelevenbeat1997,12
fifa64,12
jleaguetacticssoccer,12
jleaguetacticssoccer,12
jangousimulationmahjongdou64,12
jikkyougistable,12
jikkyougistable,12
jikkyoujleagueperfectstriker,12
jikkyoujleague1999perfectstriker2,12
jikkyoujleague1999perfectstriker2,12
jikkyoupowerfulproyakyuu4,12
jikkyoupowerfulproyakyuu4,12
jikkyoupowerfulproyakyuu5,12
jikkyoupowerfulproyakyuu5,12
jikkyoupowerfulproyakyuu5,12
jikkyoupowerfulproyakyuu6,12
jikkyoupowerfulproyakyuu6,12
jikkyoupowerfulproyakyuu6,12
jikkyoupowerfulproyakyuu2000,12
jikkyoupowerfulproyakyuu2000,12
jikkyoupowerfulproyakyuubasicban2001,12
jikkyoupowerfulproyakyuubasicban2001,12
jikkyouworldsoccerwcf98,12
jikkyouworldsoccerwcf98,12
jikkyouworldsoccerwcf98,12
jikkyouworldsoccer3,12
jinseigame64,12
kakutoudenshoufcupmmaniax,12
twistededgeextremesnowboarding,12
kirattokaisetsu64tanteidan,12
knifeedgenosegunner,12
lastlegionux,12
letssmash,12
loderunner3d,12
magicaltetrischallenge,12
mahjong64,12
mahjonghouroukiclassic,12
mahjongmaster,12
mariogolf64,12
mariogolf64,12
mariokart64,12
mariokart64,12
mariokart64,12
marionophotopie,12
marioparty,12
marioparty2,12
marioparty3,12
mariostory,12
mariotennis64,12
masters98harukanaruaugusta,12
mickeysspeedwayusa,12
moritashougi64,12
mrcmultiracingchampionship,12
nbainthezone98,12
nbainthezone99,12
neongenesisevangelion,12
nintamarantarou64gamegallery,12
dairantousmashbrothers,12
nushizuri64,12
nushizuri64,12
nushizuri64snn,12
ogrebattle64polc,12
