game_id,tag_id
64dehakkentamagotchimdtw,629
64hanafudatenshinoyakusoku,129
64oozumou,140
64oozumou2,140
64trumpcollectionanwtw,127
1080snowboarding,432
aerogauge,368
aishougi3,135
airboarder64,463
akumajoudraculamokushiroku,24
akumajoudraculamokushirokugaiden,30
bakubomberman,597
bakubomberman2,599
bakuretsumutekibangaiou,207
bakushoujinsei64mro,620
banjokazooie,101
banjotooie,491
bassrushepc,246
beetleadventureracing,663
biohazard2,126
blastcorps,4
bokujoumonogatari2,240
bokujoumonogatari2,241
bokujoumonogatari2,242
bomberman64,644
bombermanheromows,73
buckbumble,447
chameleontwist,608
chamaleontwist2,61
choroq64,655
choroq64,656
choroq642,666
choukuukannighterproyakyuuking,278
choukuukannighterproyakyuuking,286
chousnobowkids,726
citytourgp,376
customrobo,436
customrobov2,727
daikatana,755
dancedancerevolutiondisney,435
denshadego64,269
denshadego64,269
derbystallion64,773
dezaemon3d,144
diddykongracing,703
donkeykong64,614
doom64,226
doraemonnt3ns,95
doraemon2nths,94
doraemon3nnmsos,94
doubutsunomori,259
doubutsunomori,261
dualheroes,310
eikounosaintandrews,287
eltalemonsters,195
excitebike64,684
extremeg,711
extremeg2,711
f1worldgrandprix,406
fzerox,668
famista64,791
fifa98,552
fightingcup,314
fushiginodungeonfuurainoshiren2ossj,191
gasp,316
ganbaregoemonnmbno,93
ganbaregoemondddot,295
ganbarenipponolympics2000,794
gauntletlegends,477
getterlovecrpgt,772
goemonmononokesugoroku,630
goldeneye007,759
hamstermonogatari64,263
heiwapachinkoworld64,148
hexen,732
hiryuunokentwin,316
hoshinokirby64,615
hoshinokirby64,616
hoshinokirby64,618
hoshinokirby64,619
humangrandprixtng,158
hybridheaven,438
hyperolympicinnagano,806
ideyosukenomahjongjuku,132
iggyreckinballs,679
basstsurino1keitteiban,248
jleaguedynamitesoccer64,551
jleagueelevenbeat1997,551
fifa64,551
jleaguetacticssoccer,569
jleaguetacticssoccer,570
jangousimulationmahjongdou64,130
jikkyougistable,238
jikkyougistable,239
jikkyoujleagueperfectstriker,557
jikkyoujleague1999perfectstriker2,562
jikkyoujleague1999perfectstriker2,563
jikkyoupowerfulproyakyuu4,279
jikkyoupowerfulproyakyuu4,280
jikkyoupowerfulproyakyuu5,274
jikkyoupowerfulproyakyuu5,272
jikkyoupowerfulproyakyuu5,273
jikkyoupowerfulproyakyuu6,283
jikkyoupowerfulproyakyuu6,284
jikkyoupowerfulproyakyuu6,285
jikkyoupowerfulproyakyuu2000,281
jikkyoupowerfulproyakyuu2000,282
jikkyoupowerfulproyakyuubasicban2001,270
jikkyoupowerfulproyakyuubasicban2001,271
jikkyouworldsoccerwcf98,554
jikkyouworldsoccerwcf98,555
jikkyouworldsoccerwcf98,556
jikkyouworldsoccer3,557
jinseigame64,633
kakutoudenshoufcupmmaniax,636
twistededgeextremesnowboarding,428
kirattokaisetsu64tanteidan,475
knifeedgenosegunner,487
lastlegionux,337
letssmash,572
loderunner3d,38
magicaltetrischallenge,358
mahjong64,130
mahjonghouroukiclassic,133
