name,publisher_id
3DO,1
ASC,2
ASCII,3
Acclaim,4
Activision,5
Altron,6
Amtex,7
Asmik Ace,8
Athena,9
Atlus,10
BAM!,11
Bandai,12
Banpresto,13
Bay Area,14
Blaze,15
Bottom Up,16
CAPCOM,17
Codemasters,18
Compile,19
Crave,20
Culture Brain,21
Datel,22
Disney Interactive/Nintendo,23
Eidos,24
Electro Brain,25
Electronic Arts,26
Electronic Arts Victor,27
Enix,28
Epoch,29
Esp,30
Fox,31
GT Interactive,32
GT Interactive/3D Realms,33
GT interactive,34
Gaga,35
GameBank,36
GameTek,37
Gamebank,38
Gemzi,39
Gremlin,40
Hasbro,41
Hudson,42
Human,43
Imagineer,44
Imagineer/Europress,45
Infogrames,46
InterAct,47
Intermetrics,48
Interplay,49
Japan System Supply,50
Kemco,51
Koei,52
Konami,53
LEGO,54
LucasArts,55
MGM,56
Marigul,57
Media Factory,58
Midway,59
Mindscape,60
NAMCO,61
Natsume,62
NewKidCo,63
Nintendo,64
Ocean,65
Pack-In-Soft,66
Piko,67
Rare,68
Red Storm,69
Rockstar,70
SCI,71
SETA,72
Sammy,73
SouthPeak,74
SouthPeak/Xicat,75
Spike,76
Square EA,77
Sunsoft,78
T&E,79
TEL,80
THQ,81
Taito,82
Takara,83
Take-Two,84
Telenet,85
Titus,86
UFO,87
Ubisoft,88
VIC Tokai,89
Vatical,90
Victor,91
Video System,92
Virgin,93
Visco,94
Williams,95
iQue,96
id Software,97
