tag_name,tag_id
#players:1 #genre:action #addon:backup>controllerpak #embedded:backup>eeprom #save:backup #lang:en,1
#players:1 #genre:action #addon:backup>controllerpak #embedded:backup>eeprom #save:backup #lang:en #rev:1,2
#players:1 #genre:action #addon:backup>controllerpak #embedded:backup>eeprom #save:backup #lang:en:de,3
#players:1 #genre:action #addon:backup>controllerpak #embedded:backup>eeprom #save:backup #lang:ja,4
#players:1 #genre:action #addon:backup>controllerpak #save:backup #lang:en #port:sony>playstation #unfinished:proto>1,5
#players:1 #genre:action #addon:backup>controllerpak #save:backup #lang:en #port:sony>playstation #unfinished:proto>2,6
#players:1 #genre:action #addon:backup>controllerpak:vibration>rumblepak #save:backup #lang:en,7
#players:1 #genre:action #addon:backup>controllerpak:vibration>rumblepak:expansion>expansionpak #save:backup #based:marvel #search:feature>spiderman #port:sony>playstation #lang:en,8
#players:1 #genre:action:adventure #addon:backup>controllerpak:vibration>rumblepak #save:backup #based #search:keyword>dolby #lang:en,9
#players:1 #genre:action:adventure #addon:backup>controllerpak:vibration>rumblepak #save:backup #based #search:keyword>dolby #lang:en:fr:de:es:it:nl,10
#players:1 #genre:action:adventure #addon:backup>controllerpak:vibration>rumblepak #save:backup #port:sony>playstation #lang:en:fr:de:es:it #unfinished:proto,11
#players:1 #genre:action:adventure #addon:backup>controllerpak:vibration>rumblepak #save:backup #port:sony>playstation #lang:en:fr:es #unfinished:proto,12
#players:1 #genre:action:adventure #addon:backup>controllerpak:vibration>rumblepak #save:backup #search:franchise>castlevania:feature>dracula #lang:en,13
#players:1 #genre:action:adventure #addon:backup>controllerpak:vibration>rumblepak #save:backup #search:franchise>castlevania:feature>dracula #lang:en #rev:1,14
#players:1 #genre:action:adventure #addon:backup>controllerpak:vibration>rumblepak #save:backup #search:franchise>castlevania:feature>dracula #lang:en #rev:2,15
#players:1 #genre:action:adventure #addon:backup>controllerpak:vibration>rumblepak #save:backup #search:franchise>castlevania:feature>dracula #lang:en:fr:de,16
#players:1 #genre:action:adventure #addon:backup>controllerpak:vibration>rumblepak:expansion>expansionpak #save:backup #based #lang:de,17
#players:1 #genre:action:adventure #addon:backup>controllerpak:vibration>rumblepak:expansion>expansionpak #save:backup #based #lang:en,18
#players:1 #genre:action:adventure #addon:backup>controllerpak:vibration>rumblepak:expansion>expansionpak #save:backup #based #lang:en:es:it,19
#players:1 #genre:action:adventure #addon:backup>controllerpak:vibration>rumblepak:expansion>expansionpak #save:backup #based #lang:fr,20
#players:1 #genre:action:adventure #addon:backup>controllerpak:vibration>rumblepak:expansion>expansionpak #save:backup #based #lang:pt,21
#players:1 #genre:action:adventure #addon:backup>controllerpak:vibration>rumblepak:expansion>expansionpak #search:franchise>castlevania:feature>dracula #save:backup #lang:en,22
#players:1 #genre:action:adventure #addon:backup>controllerpak:vibration>rumblepak:expansion>expansionpak #search:franchise>castlevania:feature>dracula #save:backup #lang:en:fr:de,23
#players:1 #genre:action:adventure #addon:vibration>rumblepak #embedded:backup>eeprom #save:backup #search:franchise>castlevania:feature>dracula #lang:ja,24
#players:1 #genre:action:adventure #addon:vibration>rumblepak #embedded:backup>flashram #save:backup #port:sony>playstation #lang:en,25
