game_id,developer_id
bsbokujoumonogatari,3
bsbokujoumonogatari,3
bsbokujoumonogatari,3
bsbokujoumonogatari,3
dragonquest,8
dragonquest,8
dragonquest,8
dragonquest,8
bsfireemblem,13
bsfireemblem,13
bsfireemblem,13
bsfireemblem,13
bsfireemblem,13
bsfireemblem,13
bsfuurainoshiren,8
bsfuurainoshiren,8
bsfuurainoshiren,8
bsfuurainoshiren,8
bsfzero,21
bsfzero,21
bsfzero,21
bsfzero,21
bsfzero2,21
bsfzero2,21
bsfzero2,21
bsfzero2,21
bsihatovomonogatari,12
bsihatovomonogatari,12
bsihatovomonogatari,12
bsihatovomonogatari,12
bsmarvelouscamparnold,22
bsmarvelouscamparnold,22
bsmarvelouscamparnold,22
bsmarvelouscamparnold,22
bsmarveloustimeathletic,22
bsmarveloustimeathletic,22
bsmarveloustimeathletic,22
bsmarveloustimeathletic,22
bsnichibutsumahjong,20
bsnichibutsumahjong,20
bsparlor,29
bsparlor,29
bsparlor,29
shinonigashima,21
shinonigashima,21
shinonigashima,21
shinonigashima,21
bssimcity,21
supermariocollection,21
supermariocollection,21
yumekoujoudokidokipanic,22
yumekoujoudokidokipanic,22
yumekoujoudokidokipanic,22
yumekoujoudokidokipanic,22
famicomtainteiclubkietakoukeisha,21
famicomtainteiclubkietakoukeisha,21
famicomtainteiclubkietakoukeisha,21
zeldanodensetsuthehyrulefantasy,21
zeldanodensetsuthehyrulefantasy,21
zeldanodensetsuthehyrulefantasy,21
zeldanodensetsuthehyrulefantasy,21
bszeldanodensestuinishienosekiban,21
bszeldanodensestuinishienosekiban,21
bszeldanodensestuinishienosekiban,21
bszeldanodensestuinishienosekiban,21
zeldanodensetsuthehyrulefantasy,21
zeldanodensetsuthehyrulefantasy,21
zeldanodensetsuthehyrulefantasy,21
zeldanodensetsuthehyrulefantasy,21
excitebikebunbunmariobattle,22
excitebikebunbunmariobattle,22
excitebikebunbunmariobattle,22
excitebikebunbunmariobattle,22
excitebikebunbunmariobattle,22
excitebikebunbunmariobattle,22
excitebikebunbunmariobattle,22
kodomochousadanmightypockets,21
kodomochousadanmightypockets,21
kodomochousadanmightypockets,21
satellawalker2,21
satellawalker2,21
satellawalker2,21
satellawalker2,21
soundjournalforloversvalentinespecial1,21
soundjournalforloversvalentinespecial2,21
sprigganpoweredbs,16
sprigganpoweredbs,16
sprigganpoweredbs,16
sprigganpoweredbs,16
sprigganpoweredbs,16
superbombliss,6
superbombliss,6
superbombliss,6
superbombliss,6
actraiser,23
albertodyssey,26
arkanoiddohitagain,28
bokujoumonogatari,3
chouanikibakuretsurantouhen,18
chronotriggercharecterlibrary,24
chronotriggerjetbikespecial,24
chronotriggermusiclibrary,24
cockadoodledo,1
punkyskunk,30
endorfun,27
endorfun,27
endorfun,27
daibakushoujinseigekijou,25
dariusforce,2
dezaemonbsxversionbsxshooting,5
dezaemonbsxversionsugoistg,5
dezaemonbsxversionsugoistg2,5
dokapongaidenhonoownoaudition,4
drmario,21
drmario,21
drmario,21
dragonslayerthelegendofheroes,9
dynamitracer,24
fzero,21
gamblerjikochuushinha2doraponquest,10
gamblerjikochuushinha2doraponquest,10
golfdaisukiobclub,17
heiseigunjinshougi,7
ikarinoyousai,14
jeweloflive,1
jeweloflive2,1
kaizouchoujinshubibinmanzero,17
kessendokaponoukoku4densetsunoyuushatachi,4
kidklownincrazychase,15
kikikaikainazonokuromanteau,19
kirbynoomochabakoarrangeball,11
kirbynoomochabakobaseball,11
kirbynoomochabakoballrally,11
kirbynoomochabakocannonball,11
kirbynoomochabakoguruguruball,11
kirbynoomochabakohoshizuzushi,11
kirbynoomochabakopachinko,11
kirbynoomochabakopinball,11
