game_id,tag_id
bsbokujoumonogatari,43
bsbokujoumonogatari,43
bsbokujoumonogatari,43
bsbokujoumonogatari,43
dragonquest,32
dragonquest,32
dragonquest,32
dragonquest,32
bsfireemblem,35
bsfireemblem,35
bsfireemblem,35
bsfireemblem,35
bsfireemblem,35
bsfireemblem,35
bsfuurainoshiren,30
bsfuurainoshiren,30
bsfuurainoshiren,30
bsfuurainoshiren,30
bsfzero,25
bsfzero,25
bsfzero,25
bsfzero,25
bsfzero2,27
bsfzero2,27
bsfzero2,28
bsfzero2,28
bsihatovomonogatari,8
bsihatovomonogatari,8
bsihatovomonogatari,8
bsihatovomonogatari,8
bsmarvelouscamparnold,30
bsmarvelouscamparnold,30
bsmarvelouscamparnold,30
bsmarvelouscamparnold,30
bsmarveloustimeathletic,30
bsmarveloustimeathletic,30
bsmarveloustimeathletic,30
bsmarveloustimeathletic,30
bsnichibutsumahjong,12
bsnichibutsumahjong,12
bsparlor,19
bsparlor,19
bsparlor,19
shinonigashima,10
shinonigashima,10
shinonigashima,10
shinonigashima,10
bssimcity,41
supermariocollection,5
supermariocollection,5
yumekoujoudokidokipanic,3
yumekoujoudokidokipanic,3
yumekoujoudokidokipanic,3
yumekoujoudokidokipanic,3
famicomtainteiclubkietakoukeisha,10
famicomtainteiclubkietakoukeisha,10
famicomtainteiclubkietakoukeisha,10
zeldanodensetsuthehyrulefantasy,31
zeldanodensetsuthehyrulefantasy,31
zeldanodensetsuthehyrulefantasy,31
zeldanodensetsuthehyrulefantasy,31
bszeldanodensestuinishienosekiban,30
bszeldanodensestuinishienosekiban,30
bszeldanodensestuinishienosekiban,30
bszeldanodensestuinishienosekiban,30
zeldanodensetsuthehyrulefantasy,31
zeldanodensetsuthehyrulefantasy,31
zeldanodensetsuthehyrulefantasy,31
zeldanodensetsuthehyrulefantasy,31
excitebikebunbunmariobattle,29
excitebikebunbunmariobattle,29
excitebikebunbunmariobattle,29
excitebikebunbunmariobattle,29
excitebikebunbunmariobattle,29
excitebikebunbunmariobattle,29
excitebikebunbunmariobattle,29
kodomochousadanmightypockets,11
kodomochousadanmightypockets,11
kodomochousadanmightypockets,11
satellawalker2,44
satellawalker2,44
satellawalker2,44
satellawalker2,44
soundjournalforloversvalentinespecial1,15
soundjournalforloversvalentinespecial2,15
sprigganpoweredbs,39
sprigganpoweredbs,39
sprigganpoweredbs,39
sprigganpoweredbs,39
sprigganpoweredbs,38
superbombliss,24
superbombliss,24
superbombliss,24
superbombliss,24
actraiser,6
albertodyssey,36
arkanoiddohitagain,47
bokujoumonogatari,42
chouanikibakuretsurantouhen,49
chronotriggercharecterlibrary,14
chronotriggerjetbikespecial,27
chronotriggermusiclibrary,16
cockadoodledo,34
punkyskunk,4
endorfun,22
endorfun,22
endorfun,22
daibakushoujinseigekijou,56
dariusforce,37
dezaemonbsxversionbsxshooting,40
dezaemonbsxversionsugoistg,40
dezaemonbsxversionsugoistg2,40
dokapongaidenhonoownoaudition,55
drmario,51
drmario,51
drmario,51
dragonslayerthelegendofheroes,33
dynamitracer,9
fzero,26
gamblerjikochuushinha2doraponquest,13
gamblerjikochuushinha2doraponquest,13
golfdaisukiobclub,53
heiseigunjinshougi,52
ikarinoyousai,7
jeweloflive,34
jeweloflive2,34
kaizouchoujinshubibinmanzero,45
kessendokaponoukoku4densetsunoyuushatachi,54
kidklownincrazychase,1
kikikaikainazonokuromanteau,46
kirbynoomochabakoarrangeball,18
kirbynoomochabakobaseball,50
kirbynoomochabakoballrally,23
kirbynoomochabakocannonball,48
kirbynoomochabakoguruguruball,21
kirbynoomochabakohoshizuzushi,2
kirbynoomochabakopachinko,17
kirbynoomochabakopinball,20
