name,developer_id
64WD Creation,1
A-Max,2
A-Wave,3
A.I,4
A.I/Amble,5
A.P.S./J-Force,6
ACC,7
AIM,8
AIM/MIT,9
APE/HAL Laboraroty,10
ASCII,11
ASK Kodansha,12
Absolute,13
Access,14
Access/MIT,15
Access/Something Good,16
Acclaim,17
Accolade,18
Accolade/Solid,19
Acme,20
Act,21
Adrenalin,22
Advance Tsuushin Gaisha,23
Advanced Productions,24
Affect,25
Agenda,26
Aicom,27
Aicom/Eleca/C-Lab,28
Aim,29
Aisystem Tokyo,30
Ajinomoto,31
Al Baker & Associates,32
Alexandria,33
Alfa System,34
Alfa System/Glodia/Right Stuff,35
Almanic,36
Altron,37
Amccus,38
Amccus/Bits Laboratory,39
Ancient,40
Anco,41
Angel,42
Anthrox,43
Ape/Jupiter,44
Aprinet,45
Arc,46
Arc System Workd/TNS,47
Arc System Works,48
Arc System Works/TNS,49
Arc/Natsu System,50
Arcade Zone,51
Argent/ADS/Joe Down Studio/Epoch,52
Argonaut,53
Argonaut/K.K.DCE,54
Argonaut/Nintendo,55
Argonaut/Nintendo EAD,56
Armor Project/Tomcat System,57
Arsys,58
Arsys/Image Works,59
Artdink,60
Artech,61
Asciiware,62
Aspect,63
Atelier Double,64
Atelier Double/Märchen Breaker/Opera House,65
Athena,66
Atlus,67
Atlus/Red,68
Atreid Concept,69
Audiogenic/Fox Williams,70
Avalanche,71
Axes Art Amuse,72
B-AI,73
BEC,74
BEC/Technosite,75
BITS,76
BITS/Argonaut,77
BITS/Marvel,78
BPS,79
Bandai,80
Bandai/Mic,81
Banpre Kikaku,82
Banpresto,83
Be-On Works,84
Beam,85
Beam/Tommy Tallarico Studios,86
Betop,87
Betop/Opus,88
Birthday,89
Bit Town,90
Bitmasters,91
Black Pearl,92
Black Pearl/Bitmasters,93
Blizzard,94
Blue Byte,95
Blue Planet/Red,96
Blue Turtle,97
Bonsai,98
Bottom Up,99
BottomUp,100
Bubble Zap,101
Bullfrog,102
C-Lab,103
CAPCOM,104
CAPCOM/Sun-Tec,105
CAProduction,106
CAProduction/Red,107
CP.Brain,108
CRYO,109
CTA,110
Carrozzeria,111
Catapult,112
Celestial,113
Character Soft,114
ChatNoir,115
Chuanpu,116
Chunsoft,117
Chunsoft/Aquamarine,118
Climax,119
Cobra Team,120
Coconuts,121
Codemasters,122
Compile,123
Compile/LMS Music,124
Copmedia,125
Copya System,126
Core Design,127
Core Desing,128
Crea-Tech,129
Crea-Tech/Kuusou Kagaku,130
Cream,131
CrossTalk,132
Crosstalk/NCS,133
Culture Brain,134
DMA Design,135
DMA Design/Nintendo,136
DVS,137
Daft,138
Daiichi/Nifty-Serve,139
Data Designs/SWG,140
Data East,141
Datel,142
Delphine,143
Denton Designs,144
Designer,145
Dice,146
Digital Eclipse,147
Digital Weare,148
Disney Interactive,149
Disney/Westwood,150
Distinctive,151
Distinctive/Accolade,152
Domark,153
Dragnet,154
Dual,155
Dynamite/Youentai,156
EJ,157
Earthly,158
EastPoint,159
Eleca,160
Electronic Arts,161
Eleven,162
Elf,163
Elorg,164
Empire,165
Engine,166
Entertainment International,167
Epoch,168
Equilibrium,169
Eurocom,170
Eurocom/Burst,171
Europress/Arc,172
Extended Play,173
Extended Play/XYZ,174
Factor 5,175
Falcom,176
Falcom/ACC,177
Field,178
Fill in Cafe,179
Fill in Cafe/Success,180
Flair,181
Fuji,182
Funcom,183
Fupac,184
Fupac/Psykosonik,185
Future Laboratory,186
G-Craft,187
GAPS,188
GAPS/Naxat,189
GAPS/Team Daiwa/Basser,190
GTE,191
Gaibrain,192
Game Arts,193
Game Arts/MicroPine,194
Game Freak,195
Game Freak/System Sacom,196
Game Plan 21/Almanic,197
Game Studio,198
GameTech,199
Genki,200
Genki/Opus,201
Geo Factory,202
Giga,203
Givro,204
Graffiti,205
Graftgold,206
Graphic Research,207
Gray Matter,208
Gray Matter/DMP,209
