game_id,developer_id
3x3eyesjuumahoukan,374
3x3eyesseimakourinden,370
yoninshougi,393
46okunenmonogatariharukanaruedene,197
96zenkokukoukousoccersenshuken,306
abcmondaynightfootball,291
accelebrid,201
acewonerae,514
acrobatmission,327
actionpachio,121
actraiser,423
actraiser2chinmokuenoseisen,424
f1superdriving,200
aresshadeikou3,396
airmanagementoozoranikakeru,285
airmanagementoozoranikakeru,285
airmanagement2koukuuouwomezase,285
majotachinonemuri,396
majotachinonemuri,396
akazukinchacha,295
akumajoudraculasuper,287
akumajoudraculaxx,287
aladdinsnes,104
albertodyssey,489
albertodyssey,489
albertoodyssey2jashinnotaidou,487
alcahest,215
alicenopaintadventure,449
alien3snes,417
aliensvspredator,270
americaoudanultraquizsuper,532
americanbattledome,539
ancientmagicbazoomahousekai,230
andreagassitennis,426
angelique,444
angelique,444
angelique,444
brutalpawsoffury,170
animaniacssnes,287
aokidensetsushoot,279
appleseedprometheusnoshintaku,557
aqutallion,284
arabiannightssabakunoseireiou,400
araigumarascal,345
arcusodyssey,572
ardylightfoot,11
area88,104
aretha,268
aretha,268
aretha2arielnofushiginatabi,268
arkanoiddohitagain,503
aryol,37
katouhifumikudanshougishingiryuu,350
asameshimaenyanko,6
ashitanojoesfc,273
assaultsuitsvalken,346
sougoukakutougiastralbout,3
sougoukakutougiastralbout2thetotalfighters,3
axelay,287
bahamutlagoon,475
kachiumayosousoftbakenrenkinjutsu,279
bakukyuurenpatsusuperbdaman,231
bakumatsukourindenoni,400
bakutoudodgersbumpsjimawaoosawagi,200
ballbulletgun,87
ballz,392
blitzkriegtoubusensen194145,452
barkleyshutupandjam,18
bassmastersclassic,92
bastardankokunohakaishin,120
batmanforever,417
batmanreturnssfc,287
battleblaze,28
battlecommanderhachibushuushuranoheihou,48
battlecross,248
battledodgeball,370
battledodgeball2,370
battlegrandprix,276
battlejockey,342
battlemasterkyuukyokunosenshitachi,495
battlepinball,83
battleracers,331
battlerobotretsuden,569
battlerobotretsuden,569
battlesoccerfieldnohasha,400
battlesoccer2,400
battlesubmarine,381
battletycoonflashhiderssfx,440
battletycoonflashhiderssfx,440
battlezequeden,59
battletech,85
mechwarrior3050,522
battletoadsinbattlemaniacs,432
beautyandthebeast,417
benkeigaidensunanoshou,487
bestshotprogolf,11
bigichigekipachislodaikouryaku,12
bigichigekipachislodaikouryaku2universalcollection,12
bigrunthesupreme4wdchallenge13erallye,266
bigrunthesupreme4wdchallenge13erallye,266
bingbingbingo,279
biometal,66
bishindensetsuzoku,567
bishoujojanshisuchiepai,272
bishoujojanshisuchiepai,272
bishoujosenshisailormoon,48
bishoujosenshisailormoonr,48
bishoujosenshisailormoonsjougairantoushuyakusoudatsusen,49
bishoujosenshisailormoonskondowapuzzledeoshiokiyo,528
bishoujosenshisailormoonskurukkurin,529
bishoujosenshisailormoonsupersfuwafuwapanic,527
bishoujosenshisailormoonsuperszeninsankashuyakusoudatsusen,49
bishoujosenshisailormoonanotherstory,47
bishoujowrestlerretsudenblizzardyukirannyuu,359
blackthorne,94
