game_id,publisher_id
3x3eyesjuumahoukan,24
3x3eyesseimakourinden,294
yoninshougi,183
46okunenmonogatariharukanaruedene,67
96zenkokukoukousoccersenshuken,143
abcmondaynightfootball,50
accelebrid,261
acewonerae,251
acrobatmission,250
actionpachio,41
actraiser,67
actraiser2chinmokuenoseisen,67
f1superdriving,133
aresshadeikou3,185
airmanagementoozoranikakeru,130
airmanagementoozoranikakeru,130
airmanagement2koukuuouwomezase,130
majotachinonemuri,185
majotachinonemuri,185
akazukinchacha,261
akumajoudraculasuper,131
akumajoudraculaxx,131
aladdinsnes,33
albertodyssey,231
albertodyssey,231
albertoodyssey2jashinnotaidou,231
alcahest,227
alicenopaintadventure,70
alien3snes,5
aliensvspredator,103
americaoudanultraquizsuper,261
americanbattledome,267
ancientmagicbazoomahousekai,97
andreagassitennis,175
angelique,130
angelique,130
angelique,130
brutalpawsoffury,126
animaniacssnes,131
aokidensetsushoot,122
appleseedprometheusnoshintaku,282
aqutallion,248
arabiannightssabakunoseireiou,244
araigumarascal,147
arcusodyssey,214
ardylightfoot,2
area88,33
aretha,289
aretha,289
aretha2arielnofushiginatabi,289
arkanoiddohitagain,243
aryol,11
katouhifumikudanshougishingiryuu,275
asameshimaenyanko,296
ashitanojoesfc,121
assaultsuitsvalken,147
sougoukakutougiastralbout,128
sougoukakutougiastralbout2thetotalfighters,128
axelay,131
bahamutlagoon,227
kachiumayosousoftbakenrenkinjutsu,122
bakukyuurenpatsusuperbdaman,98
bakumatsukourindenoni,24
bakutoudodgersbumpsjimawaoosawagi,20
ballbulletgun,102
ballz,151
blitzkriegtoubusensen194145,214
barkleyshutupandjam,54
bassmastersclassic,11
bastardankokunohakaishin,40
batmanforever,5
batmanreturnssfc,131
battleblaze,214
battlecommanderhachibushuushuranoheihou,24
battlecross,105
battledodgeball,24
battledodgeball2,24
battlegrandprix,174
battlejockey,280
battlemasterkyuukyokunosenshitachi,115
battlepinball,24
battleracers,24
battlerobotretsuden,24
battlerobotretsuden,24
battlesoccerfieldnohasha,24
battlesoccer2,24
battlesubmarine,185
battletycoonflashhiderssfx,205
battletycoonflashhiderssfx,205
battlezequeden,15
battletech,277
mechwarrior3050,3
battletoadsinbattlemaniacs,147
beautyandthebeast,98
benkeigaidensunanoshou,231
bestshotprogolf,2
bigichigekipachislodaikouryaku,3
bigichigekipachislodaikouryaku2universalcollection,3
bigrunthesupreme4wdchallenge13erallye,119
bigrunthesupreme4wdchallenge13erallye,119
bingbingbingo,122
biometal,16
bishindensetsuzoku,144
bishoujojanshisuchiepai,119
bishoujojanshisuchiepai,119
bishoujosenshisailormoon,12
bishoujosenshisailormoonr,23
bishoujosenshisailormoonsjougairantoushuyakusoudatsusen,12
bishoujosenshisailormoonskondowapuzzledeoshiokiyo,23
bishoujosenshisailormoonskurukkurin,23
bishoujosenshisailormoonsupersfuwafuwapanic,23
bishoujosenshisailormoonsuperszeninsankashuyakusoudatsusen,12
bishoujosenshisailormoonanotherstory,12
bishoujowrestlerretsudenblizzardyukirannyuu,122
blackthorne,126
blazeon,17
blockkuzushi,183
bokujoumonogatari,185
bokujoumonogatari,185
bombermanbdaman,98
bombuzal,126
bonkers,33
bountysword,192
brainlord,67
brandish,130
brandish2theplanetbuster,130
brandish2theplanetbuster,130
breathoffireryuunosenshi,33
breathoffireryuunosenshi,33
breathoffire2shimeinoko,33
breathoffire2shimeinoko,33
bsxsorewanamaewonusumaretamachinomonogatari,177
bugsbunnyrabbitrampage,231
bullsvsblazersandthenbaplayoffs,64
buraihachigyokunoyuushidensetsu,103
bushiseiryuudenfutarinoyuusha,236
cacomaknight,51
californiagames2,92
cameltry,243
captaincommando,33
captaintsubasa3kouteinochousen,248
captaintsubasa4pronorivaltachi,248
captaintsubasa5hashanoshougoucampione,248
captaintsubasajthewaytoworldyouth,23
caravanshootingcollection,98
cardmasterrimsalianofuuin,90
carrieraces,292
casperkss,122
cbcharawarsushinawaretagag,24
championsworldclasssoccer,5
chaosseedfuusuikairouki,243
chibimarukochanharikiri365nichinomaki,70
chibimarukochanmezaseminaminoisland,131
chinhai,24
choplifter3,277
chouanikibakuretsurantouhen,147
chougojirasupergodzilla,258
chougojirasupergodzilla,258
choumahoutairikuwozz,20
choumakaitaisendorabocchan,174
choumakaimura,33
choujikuutousaimacrossscrambledvalkyrie,25
chronotrigger,227
kylepettysnofearracing,280
civilization,15
classicroad,277
classicroad2,277
clocktower,99
clockwerx,259
columns,150
computernouryokukaisekiultrabaken,44
contraspirits,131
conveniwarsbarcodebattlersenkisupersenshishutsugekiseyo,70
coronland,292
cosmogangthepuzzle,167
cosmogangthevideo,167
cosmopolicegalivan2arrowofjustice,175
crayonshinchanarashiwoyobuenji,23
crayonshinchan2daimaounogyakushuu,23
crystalbeansfromdungeonexplorer,98
endorfun,236
cyberknight,262
cyberknight2chikyuuteikokunoyabou,262
cyborg009,113
dai3jisuperrobottaisen,24
dai3jisuperrobottaisen,24
dai3jisuperrobottaisen,24
dai3jisuperrobottaisen,24
dai4jisuperrobottaisen,24
dai4jisuperrobottaisen,24
daibakushoujinseigekijou,243
daibakushoujinseigekijoudokidokiseishunhen,55
daibakushoujinseigekijouooedonikki,243
daibakushoujinseigekijouzukkokesalarymanhen,243
daibakushoujinseigekijouzukkokesalarymanhen,243
daikaijuumonogatari,98
daikaijuumonogatari,98
daikaijuumonogatari2,98
daikoukaijidai2,130
daisenryakuexpert,2
daisenryakuexpertww2warineurope,2
dariusforce,243
dariustwin,243
darkhalf,67
darkkingdom,251
darklawmeaningofdeath,2
datekimikonovirtualtennis,19
davidcranesamazingtennis,185
deaddance,119
deaetonosamaappareichiban,231
dearboys,293
deathbrade,102
dekitatehighschool,20
demonsblazonmakaimuramonshouhen,33
densetsunoogrebattle,198
densetsunoogrebattle,198
langrisser2,147
langrisser2,147
derbyjockeykishuouenomichi,15
derbyjockeykishuouenomichi,15
derbyjockey2,15
derbyjockey2,15
derbystallion96,2
derbystallion98,177
derbystallion2,2
derbystallion3,2
derbystallion3,2
derbystallion3,2
derbystallion3,2
desertfightersunanoarashisakusen,211
desertstrike,64
bazookablitzkrieg,23
dezaemonsfc,16
darumadoujou,54
dimensionforce,15
dinowarskyouryuuoukokuenodaibouken,116
dokapon321arashiwoyobuyuujou,15
dokapon321arashiwoyobuyuujou,15
dokapongaidenhonoonoaudition,15
dokuritsusensoulibertyordeath,130
doukyuusei2,24
doluckysaleaguesoccer,106
doluckynokusayakiu,106
doluckynopuzzletour94,106
donaldducknomahounoboushi,70
mauimallard,33
doom,105
doraemonnobitatoyouseinokuni,70
doraemonnobitatoyouseinokuni,70
doraemon2nobitanotoyslanddaibouken,70
doraemon3nobitatotokinohougyoku,70
doraemon4nobitatotsukinooukoku,70
doremifantasymilonnodokidokidaibouken,98
dossungansekibattle,102
downtheworldmervilsambition,2
downtownnekketsubaseballmonogatariyakyuudeshoubudakuniokun,247
drmario,177
dragonballzhyperdimension,23
dragonballzsuperbutouden,23
dragonballzsuperbutouden2,23
dragonballzsuperbutouden2,23
dragonballzsuperbutouden3,23
dragonballzsupergokuudenkakuseihen,23
dragonballzsupergokuudentotsugekihen,23
dragonballzsupersaiyadensetsu,23
dragonballzsupersaiyadensetsu,23
dragonknight4,24
dragonquest12,67
dragonquest3soshitedensetsue,67
dragonquest5tenkuunohanayome,67
dragonquest6maboroshinodaichi,67
dragonslayerthelegendofheroes,70
