game_id,region_id
3x3eyesjuumahoukan,13
3x3eyesseimakourinden,13
yoninshougi,13
46okunenmonogatariharukanaruedene,13
96zenkokukoukousoccersenshuken,13
abcmondaynightfootball,13
accelebrid,13
acewonerae,13
acrobatmission,13
actionpachio,13
actraiser,13
actraiser2chinmokuenoseisen,13
f1superdriving,13
aresshadeikou3,13
airmanagementoozoranikakeru,13
airmanagementoozoranikakeru,13
airmanagement2koukuuouwomezase,13
majotachinonemuri,13
majotachinonemuri,13
akazukinchacha,13
akumajoudraculasuper,13
akumajoudraculaxx,13
aladdinsnes,13
albertodyssey,13
albertodyssey,13
albertoodyssey2jashinnotaidou,13
alcahest,13
alicenopaintadventure,13
alien3snes,13
aliensvspredator,13
americaoudanultraquizsuper,13
americanbattledome,13
ancientmagicbazoomahousekai,13
andreagassitennis,13
angelique,13
angelique,13
angelique,13
brutalpawsoffury,13
animaniacssnes,13
aokidensetsushoot,13
appleseedprometheusnoshintaku,13
aqutallion,13
arabiannightssabakunoseireiou,13
araigumarascal,13
arcusodyssey,13
ardylightfoot,13
area88,13
aretha,13
aretha,13
aretha2arielnofushiginatabi,13
arkanoiddohitagain,13
aryol,13
katouhifumikudanshougishingiryuu,13
asameshimaenyanko,13
ashitanojoesfc,13
assaultsuitsvalken,13
sougoukakutougiastralbout,13
sougoukakutougiastralbout2thetotalfighters,13
axelay,13
bahamutlagoon,13
kachiumayosousoftbakenrenkinjutsu,13
bakukyuurenpatsusuperbdaman,13
bakumatsukourindenoni,13
bakutoudodgersbumpsjimawaoosawagi,13
ballbulletgun,13
ballz,13
blitzkriegtoubusensen194145,13
barkleyshutupandjam,13
bassmastersclassic,13
bastardankokunohakaishin,13
batmanforever,13
batmanreturnssfc,13
battleblaze,13
battlecommanderhachibushuushuranoheihou,13
battlecross,13
battledodgeball,13
battledodgeball2,13
battlegrandprix,13
battlejockey,13
battlemasterkyuukyokunosenshitachi,13
battlepinball,13
battleracers,13
battlerobotretsuden,13
battlerobotretsuden,13
battlesoccerfieldnohasha,13
battlesoccer2,13
battlesubmarine,13
battletycoonflashhiderssfx,13
battletycoonflashhiderssfx,13
battlezequeden,13
battletech,13
mechwarrior3050,13
battletoadsinbattlemaniacs,13
beautyandthebeast,13
benkeigaidensunanoshou,13
bestshotprogolf,13
