game_id,tag_id
3x3eyesjuumahoukan,59
3x3eyesseimakourinden,1003
yoninshougi,2341
46okunenmonogatariharukanaruedene,926
96zenkokukoukousoccersenshuken,2260
abcmondaynightfootball,2218
accelebrid,1161
acewonerae,1339
acrobatmission,1126
actionpachio,394
actraiser,380
actraiser2chinmokuenoseisen,298
f1superdriving,2047
aresshadeikou3,1214
airmanagementoozoranikakeru,2547
airmanagementoozoranikakeru,2548
airmanagement2koukuuouwomezase,2547
majotachinonemuri,570
majotachinonemuri,571
akazukinchacha,987
akumajoudraculasuper,355
akumajoudraculaxx,355
aladdinsnes,322
albertodyssey,1080
albertodyssey,1082
albertoodyssey2jashinnotaidou,1069
alcahest,956
alicenopaintadventure,563
alien3snes,510
aliensvspredator,1808
americaoudanultraquizsuper,820
americanbattledome,2522
ancientmagicbazoomahousekai,1016
andreagassitennis,1745
angelique,553
angelique,560
angelique,559
brutalpawsoffury,1910
animaniacssnes,393
aokidensetsushoot,2424
appleseedprometheusnoshintaku,474
aqutallion,1016
arabiannightssabakunoseireiou,990
araigumarascal,1708
arcusodyssey,1647
ardylightfoot,153
area88,1655
aretha,1016
aretha,1039
aretha2arielnofushiginatabi,1016
arkanoiddohitagain,1750
aryol,1707
katouhifumikudanshougishingiryuu,1802
asameshimaenyanko,1797
ashitanojoesfc,1918
assaultsuitsvalken,495
sougoukakutougiastralbout,1948
sougoukakutougiastralbout2thetotalfighters,1948
axelay,1129
bahamutlagoon,1069
kachiumayosousoftbakenrenkinjutsu,1225
bakukyuurenpatsusuperbdaman,2466
bakumatsukourindenoni,990
bakutoudodgersbumpsjimawaoosawagi,2473
ballbulletgun,2131
ballz,1893
blitzkriegtoubusensen194145,1314
barkleyshutupandjam,2392
bassmastersclassic,1256
bastardankokunohakaishin,1858
batmanforever,1685
batmanreturnssfc,656
battleblaze,1870
battlecommanderhachibushuushuranoheihou,1309
battlecross,2613
battledodgeball,2211
battledodgeball2,2212
battlegrandprix,2045
battlejockey,2533
battlemasterkyuukyokunosenshitachi,1878
battlepinball,774
battleracers,2084
battlerobotretsuden,1067
battlerobotretsuden,1068
battlesoccerfieldnohasha,2254
battlesoccer2,2271
battlesubmarine,1184
battletycoonflashhiderssfx,1891
battletycoonflashhiderssfx,1892
battlezequeden,124
battletech,1146
mechwarrior3050,1572
battletoadsinbattlemaniacs,1453
beautyandthebeast,225
benkeigaidensunanoshou,1016
bestshotprogolf,1334
bigichigekipachislodaikouryaku,751
bigichigekipachislodaikouryaku2universalcollection,750
bigrunthesupreme4wdchallenge13erallye,855
bigrunthesupreme4wdchallenge13erallye,856
bingbingbingo,1949
biometal,1104
bishindensetsuzoku,2044
bishoujojanshisuchiepai,605
bishoujojanshisuchiepai,606
bishoujosenshisailormoon,1577
bishoujosenshisailormoonr,1699
bishoujosenshisailormoonsjougairantoushuyakusoudatsusen,1828
bishoujosenshisailormoonskondowapuzzledeoshiokiyo,1956
bishoujosenshisailormoonskurukkurin,1966
bishoujosenshisailormoonsupersfuwafuwapanic,2020
bishoujosenshisailormoonsuperszeninsankashuyakusoudatsusen,1828
bishoujosenshisailormoonanotherstory,987
