name,publisher_id
ASC,1
ASCII,2
ASK Kodansha,3
Absolute,4
Acclaim,5
Accolade,6
Activision,7
Activision/Sony,8
Advanced Productions,9
Ajinomoto,10
Altron,11
Angel,12
Arc System Works,13
Arcade Zone,14
Asmik,15
Athena,16
Atlus,17
Axela,18
B-AI,19
BPS,20
Ballistic,21
Banalex,22
Bandai,23
Banpresto,24
Banpresto/Zamuse,25
Black Pearl,26
Black Pearl/Electronic Arts,27
Blizzard,28
Boss Communications,29
Bottom Up,30
Buena Vista,31
Bunka Hōsō/Data East,32
CAPCOM,33
Carrozzeria,34
Catapult,35
Character Soft,36
ChatNoir,37
Chunsoft,38
Clary,39
Cobra Team,40
Coconuts,41
Columbus Circle,42
Compile,43
Culture Brain,44
Cybershot,45
Cybersoft,46
DTMC,47
DVS,48
Daikoku,49
Data East,50
Datam Polystar,51
Datel,52
Davidson,53
Den'Z/ITC,54
Disco/Taito,55
Disney,56
Disney/CAPCOM,57
Disney/Virgin,58
Dynamic,59
E-ware,60
Electornic Arts,61
Electro Brain,62
Electronic Arts,63
Electronic Arts Victor,64
Elite,65
Empire,66
Enix,67
Epic,68
Epic/Sony,69
Epoch,70
Extreme,71
FCI,72
Factor 5,73
Falcom,74
Forum,75
Fox,76
Futuree Laboratory,77
G-Mode,78
GAPS,79
GTE,80
Galoob,81
Game Line,82
GamePlan 21,83
GameTech,84
GameTek,85
Gametech,86
Gremlin,87
Gremlin/Konami,88
HAL Laboratory,89
Halken,90
HappySoft,91
Hector,92
Hi Tech Entertainment,93
Hi Tech Expressions,94
Hiro,95
Hori,96
Hot-B,97
Hudson,98
Human,99
Hyundai,100
Hyundai/Bandai,101
I'Max,102
IGS,103
ININ,104
Imagineer,105
Imagineer-Zoom,106
Imagineer/Mamiya-OP,107
Infocom,108
Infogrames,109
Innovation,110
Insomnya,111
Intec,112
Interbec,113
Interplay,114
Invictus/Toshiba EMI,115
Irem,116
J-Wing,117
JVC,118
Jaleco,119
Jap!,120
KAC,121
KSS,122
Kadokawa,123
Kaneko,124
Kaneko/Banpresto,125
Kemco,126
Kemco-Seika,127
King Records,128
Kixx,129
Koei,130
Konami,131
LJN,132
LOZC,133
Laguna,134
Laser,135
Laser Beam,136
Left Field,137
Life Fitness,138
Life Fitness Exertainment,139
Limited Run,140
Loriciel,141
LucasArts,142
Magical Company,143
Magifact,144
Majesco,145
Malibu,146
Masaya,147
Maxis,148
Mc O'River,149
Media Factory,150
Media Rings,151
MediaWorks,152
Meldac,153
Micro World,154
MicroProse,155
Micronet,156
Midway,157
Millennium,158
Mindscape,159
Mindscape/NAMCO,160
Misawa,161
Mitsui Fudosan/Dentsu,162
Motown/Mandingo,163
Motown/Paramount,164
NAMCO,165
NAMCO/Virgin,166
NAMCOT,167
NGP,168
NTT,169
NTVIC,170
Nakitek,171
National Human Electronics,172
Natsume,173
Naxat,174
Nichibutsu,175
Nighthawk/Disney,176
Nintendo,177
Nintendo/LodgeNet,178
Norse,179
Ocean,180
Ocean/Arcadia,181
Outrigger Koubou,182
POW,183
Pack-In-Soft,184
Pack-In-Video,185
Pack-In-Video/Poppo,186
Pack-in-Video,187
Palcom,188
Palcom/Konami,189
Parker Brothers,190
Piko,191
Pioneer,192
Playmates,193
Pony Canyon,194
Poppo/Pack-In-Video,195
Psygnosis,196
QUByte,197
Quest,198
Rainmaker/Limited Run,199
Rare,200
Raya Systems,201
Renovation,202
Retroism,203
Ricoh,204
Right Stuff,205
Riot,206
Romstar,207
Rumic Soft,208
SEGA,209
SEM,210
SETA,211
SOFEL,212
Sales Curve Interactive,213
Sammy,214
Saurus,215
Seibu Kikaku,216
Seika,217
Sekai Bunka-sha,218
Shouei System,219
Shueisha,220
Sigma,221
Sony,222
Sony Imagesoft,223
Sony/Activision,224
Spectrum HoloByte,225
Spectrum Holobyte,226
Square,227
Square Enix,228
Star Fish,229
Storm Sales Curve,230
Sunsoft,231
Sunsoft/Acclaim,232
Super Fighter Team,233
System 3,234
System Sacom,235
T&E,236
TEPCO,237
TGL,238
THQ,239
THQ/Disney,240
THQ/Midway,241
TNN,242
Taito,243
Takara,244
TecMagik,245
Techiku,246
Technōs,247
Tecmo,248
Teichiku,249
Teichuku,250
Telenet,251
The Sales Curve,252
The Software Toolworks,253
Time Warner,254
Time Warner/Domark,255
Titus,256
Toei,257
Toho,258
Tokuma Shoten,259
Tokuma Soft,260
Tomy,261
Tonkin House,262
Toshiba EMI,263
Tradewest,264
Tradewest/Sony,265
Triffix,266
Tsukuda Original,267
Twin Eagles,268
U.S. Army,269
U.S.Gold,270
Ubisoft,271
Universal,272
VAP,273
VIC Tokai,274
Varie,275
Viacom New Media,276
Victor,277
Victor/JVC,278
Video System,279
Virgin,280
Visco,281
Visit,282
Vivid Image,283
Williams,284
Williams/Midway,285
Wisdom Tree,286
Wlliams,287
Wolf Team,288
Yanoman,289
Yojigen,290
Yonezawa Party Room 21,291
Yumedia,292
Yutaka,293
Yutaka/Bandai,294
Zamuse,295
Zamuse/Banpresto,296
