tag_name,tag_id
#players:1 #genre:action #compatibility:superfamicom>hirom #based:looneytunes #lang:en #unfinished:proto,1
#players:1 #genre:action #compatibility:superfamicom>lorom #based #lang:en,2
#players:1 #genre:action #compatibility:superfamicom>lorom #based #lang:en #unfinished:beta,3
#players:1 #genre:action #compatibility:superfamicom>lorom #based #lang:en #unfinished:proto,4
#players:1 #genre:action #compatibility:superfamicom>lorom #based #lang:ja,5
#players:1 #genre:action #compatibility:superfamicom>lorom #based #lang:ja #unfinished:beta,6
#players:1 #genre:action #compatibility:superfamicom>lorom #based:disney #lang:en #unfinished:proto,7
#players:1 #genre:action #compatibility:superfamicom>lorom #based:looneytunes #lang:en,8
#players:1 #genre:action #compatibility:superfamicom>lorom #based:looneytunes #lang:en #rev:1,9
#players:1 #genre:action #compatibility:superfamicom>lorom #based:looneytunes #lang:en #unfinished:beta>1,10
#players:1 #genre:action #compatibility:superfamicom>lorom #based:looneytunes #lang:en #unfinished:beta>2,11
#players:1 #genre:action #compatibility:superfamicom>lorom #based:manganime #lang:ja,12
#players:1 #genre:action #compatibility:superfamicom>lorom #based:manganime #lang:ja #unfinished:beta,13
#players:1 #genre:action #compatibility:superfamicom>lorom #based:movie #lang:en,14
#players:1 #genre:action #compatibility:superfamicom>lorom #based:movie #lang:ja,15
#players:1 #genre:action #compatibility:superfamicom>lorom #based:movie #search:feature>dracula #lang:en,16
#players:1 #genre:action #compatibility:superfamicom>lorom #based:movie #search:feature>dracula #lang:en #unfinished:beta,17
#players:1 #genre:action #compatibility:superfamicom>lorom #lang:en,18
#players:1 #genre:action #compatibility:superfamicom>lorom #lang:en #rerelease:virtualconsole:sfcmini:switchonline,19
#players:1 #genre:action #compatibility:superfamicom>lorom #lang:en #unfinished:beta,20
#players:1 #genre:action #compatibility:superfamicom>lorom #lang:en #unfinished:beta>1,21
#players:1 #genre:action #compatibility:superfamicom>lorom #lang:en #unfinished:beta>2,22
#players:1 #genre:action #compatibility:superfamicom>lorom #lang:en #unlicensed:clone,23
#players:1 #genre:action #compatibility:superfamicom>lorom #lang:ja,24
#players:1 #genre:action #compatibility:superfamicom>lorom #lang:ja #rerelease:virtualconsole:switchonline,25
#players:1 #genre:action #compatibility:superfamicom>lorom #lang:ja #unfinished:beta,26
#players:1 #genre:action #compatibility:superfamicom>lorom #port:arcade #lang:en,27
#players:1 #genre:action #compatibility:superfamicom>lorom #port:arcade #lang:en #rev:1,28
#players:1 #genre:action #compatibility:superfamicom>lorom #port:arcade #lang:en #rev:1 #unfinished:beta,29
#players:1 #genre:action #compatibility:superfamicom>lorom #port:arcade #lang:ja,30
#players:1 #genre:action #compatibility:superfamicom>lorom #port:commodore>amiga #lang:en #unfinished:proto,31
#players:1 #genre:action #embedded:backup>battery #compatibility:superfamicom>lorom #lang:en,32
#players:1 #genre:action #embedded:backup>battery #compatibility:superfamicom>lorom #lang:en #unfinished:beta>1,33
#players:1 #genre:action #embedded:backup>battery #compatibility:superfamicom>lorom #lang:en #unfinished:beta>2,34
#players:1 #genre:action #save:password #compatibility:superfamicom>hirom #search:keyword>brand #lang:en #unfinished:proto,35
#players:1 #genre:action #save:password #compatibility:superfamicom>lorom #based #lang:en,36
#players:1 #genre:action #save:password #compatibility:superfamicom>lorom #based #search:keyword>dolby #lang:en,37
#players:1 #genre:action #save:password #compatibility:superfamicom>lorom #based:movie #lang:en,38
#players:1 #genre:action #save:password #compatibility:superfamicom>lorom #based:movie #lang:en #unfinished:beta>1,39
#players:1 #genre:action #save:password #compatibility:superfamicom>lorom #based:movie #lang:en #unfinished:beta>2,40
#players:1 #genre:action #save:password #compatibility:superfamicom>lorom #lang:en,41
#players:1 #genre:action #save:password #compatibility:superfamicom>lorom #lang:en #unfinished:beta,42
#players:1 #genre:action #save:password #compatibility:superfamicom>lorom #lang:en #unfinished:proto>1,43
#players:1 #genre:action #save:password #compatibility:superfamicom>lorom #lang:en #unfinished:proto>2,44
#players:1 #genre:action #save:password #compatibility:superfamicom>lorom #lang:en:fr:de,45
#players:1 #genre:action #save:password #compatibility:superfamicom>lorom #lang:ja,46
#players:1 #genre:action #save:password #compatibility:superfamicom>lorom #port:apple>apple2 #lang:en,47
#players:1 #genre:action #save:password #compatibility:superfamicom>lorom #port:apple>apple2 #lang:en #unfinished:beta,48
#players:1 #genre:action #save:password #compatibility:superfamicom>lorom #port:apple>apple2 #lang:ja,49
#players:1 #genre:action #save:password #compatibility:superfamicom>lorom #port:pc #lang:en,50
#players:1 #genre:action #save:password #compatibility:superfamicom>lorom #port:pc #lang:en #unfinished:beta,51
