game_id,developer_id
galacticpinball,8
innsmouthnoyakata,3
jackbrosnomeirodehihoo,2
marioclash,16
mariostennis,17
redalarm,21
sdgundamdimensionwar,13
spaceinvadersvirtualcollection,22
spacesquash,23
tandevirtualgolf,21
teleroboxer,16
tobidasepanibon,7
verticalforce,7
virtualbowling,1
virtualboywarioland,16
virtualfishing,13
virtuallab,15
virtualproyakyuu95,11
vtetris,13
3dtetris,21
galacticpinball,8
tandevirtualgolf,21
jackbrosnomeirodehihoo,2
marioclash,16
mariostennis,17
nestersfunkybowling,20
tobidasepanibon,7
redalarm,21
teleroboxer,16
verticalforce,7
virtualboywarioland,16
virtualproyakyuu95,11
waterworld,18
boundhigh,9
nikochanbattle,13
galacticpinball,8
3dbattlesnake,4
3dcrosswords,24
blox,10
blox2,10
capitansevilla2,25
elevatedspeed,19
fishbone,27
hamburgersenroutetoswitzerland,24
hyperfighting,14
insecticide,24
mariocombat,26
mariokartvirtualcup,4
mariovb,5
redsquare,12
sovietunion2010,6
sovietunion2011,6
