game_id,publisher_id
galacticpinball,16
innsmouthnoyakata,10
jackbrosnomeirodehihoo,2
marioclash,16
mariostennis,16
redalarm,20
sdgundamdimensionwar,4
spaceinvadersvirtualcollection,21
spacesquash,5
tandevirtualgolf,20
teleroboxer,16
tobidasepanibon,9
verticalforce,9
virtualbowling,1
virtualboywarioland,16
virtualfishing,18
virtuallab,11
virtualproyakyuu95,13
vtetris,3
3dtetris,16
galacticpinball,16
tandevirtualgolf,16
jackbrosnomeirodehihoo,2
marioclash,16
mariostennis,16
nestersfunkybowling,16
tobidasepanibon,9
redalarm,16
teleroboxer,16
verticalforce,16
virtualboywarioland,16
virtualproyakyuu95,13
waterworld,17
boundhigh,16
nikochanbattle,3
galacticpinball,16
3dbattlesnake,6
3dcrosswords,22
blox,12
blox2,12
capitansevilla2,23
elevatedspeed,19
fishbone,25
hamburgersenroutetoswitzerland,22
hyperfighting,15
insecticide,22
mariocombat,24
mariokartvirtualcup,6
mariovb,7
redsquare,14
sovietunion2010,8
sovietunion2011,8
