game_id,region_id
galacticpinball,1
innsmouthnoyakata,1
jackbrosnomeirodehihoo,1
marioclash,1
mariostennis,1
redalarm,1
sdgundamdimensionwar,1
spaceinvadersvirtualcollection,1
spacesquash,1
tandevirtualgolf,1
teleroboxer,1
tobidasepanibon,1
verticalforce,1
virtualbowling,1
virtualboywarioland,1
virtualfishing,1
virtuallab,1
virtualproyakyuu95,1
vtetris,1
3dtetris,2
galacticpinball,2
tandevirtualgolf,2
jackbrosnomeirodehihoo,2
marioclash,2
mariostennis,2
nestersfunkybowling,2
tobidasepanibon,2
redalarm,2
teleroboxer,2
verticalforce,2
virtualboywarioland,2
virtualproyakyuu95,2
waterworld,2
boundhigh,1
nikochanbattle,1
galacticpinball,1
3dbattlesnake,3
3dcrosswords,3
blox,3
blox2,3
capitansevilla2,3
elevatedspeed,3
fishbone,3
hamburgersenroutetoswitzerland,3
hyperfighting,3
insecticide,3
mariocombat,3
mariokartvirtualcup,3
mariovb,3
redsquare,3
sovietunion2010,3
sovietunion2011,3
