game_id,tag_id
galacticpinball,14
innsmouthnoyakata,27
jackbrosnomeirodehihoo,4
marioclash,8
mariostennis,38
redalarm,30
sdgundamdimensionwar,22
spaceinvadersvirtualcollection,23
spacesquash,37
tandevirtualgolf,36
teleroboxer,11
tobidasepanibon,20
verticalforce,26
virtualbowling,13
virtualboywarioland,5
virtualfishing,32
virtuallab,20
virtualproyakyuu95,34
vtetris,19
3dtetris,18
galacticpinball,14
tandevirtualgolf,35
jackbrosnomeirodehihoo,3
marioclash,8
mariostennis,38
nestersfunkybowling,41
tobidasepanibon,19
redalarm,30
teleroboxer,11
verticalforce,26
virtualboywarioland,5
virtualproyakyuu95,33
waterworld,31
boundhigh,2
nikochanbattle,28
galacticpinball,15
3dbattlesnake,39
3dcrosswords,10
blox,17
blox2,16
capitansevilla2,6
elevatedspeed,42
fishbone,1
hamburgersenroutetoswitzerland,24
hyperfighting,40
insecticide,12
mariocombat,29
mariokartvirtualcup,21
mariovb,7
redsquare,9
sovietunion2010,25
sovietunion2011,25
