game_id,screen_title_en,screen_title_native,cover_title_en,cover_title_native,release_date
3dmuseum,3D Museum,,3D Museum,,1994-02-25
3dmuseum,3D Museum,,3D Museum,,1994-06-25
3dvirtualaustralia,3D Virtual Australia,,3D Virtual Australia,,1995-03-11
akumanoshinpan,Akuma no Shinpan,悪魔の審判,Akuma no Shinpan: Konseiki Saigo no Shinri Game,悪魔の審判 今世紀最後の心理ゲーム,1993-08-20
angelmate,Angel Mate,,Angel Mate,,1993-10-25
backtotheedo,Back to the Edo,Back to the 江戸,Back to the Edo,Back to the 江戸,1994-12-22
biryojoncollectionwatanabeminayo,Bi Ryojon Collection: Watanabe Minayo Shashinshū,美リュージョンコレクション 渡辺美奈代写真集 Minayo Watanabe,Bi Ryojon Collection: Watanabe Minayo,美リュージョンコレクション 渡辺美奈代 Minayo Watanabe,1995-02-25
biryojoncollectionwatanabeminayo,Bi Ryojon Collection: Watanabe Minayo Shashinshū,美リュージョンコレクション 渡辺美奈代写真集 Minayo Watanabe,Bi Ryojon Collection: Watanabe Minayo,美リュージョンコレクション 渡辺美奈代 Minayo Watanabe,1994-10-25
biryojoncollectionsakakiyuuko,Bi Ryojon Collection Vol. 2: Sakaki Yūko Shashinshū,美リュージョンコレクション 坂木優子写真集 Yuko Sakaki,Bi Ryojon Collection: Sakaki Yūko,美リュージョンコレクション 坂木優子 Yuko Sakaki,1995-04-25
biryojoncollectionsakakiyuuko,Bi Ryojon Collection Vol. 2: Sakaki Yūko Shashinshū,美リュージョンコレクション 坂木優子写真集 Yuko Sakaki,Bi Ryojon Collection: Sakaki Yūko,美リュージョンコレクション 坂木優子 Yuko Sakaki,1994-11-25
donquixoteadreaminsevencrystals,Don Quixote,,Don Quixote: A Dream in Seven Crystals,,1994-12-22
doradoraparadise,DoraDora Paradise,ドラドラパラダイス DoraDora Paradise,DoraDora Paradise,ドラドラパラダイス DoraDora Paradise,1994-03-25
drpaolonototteokivideo,Dr. Paolo no Totteoki Video,Dr.パウロのとっておきビデオ,Dr. Paolo no Totteoki Video,Dr.パウロのとっておきビデオ,1994-10-25
ghostrush,Ghost Rush!,,Ghost Rush!,,1994-12-03
goku,Goku,,Goku,,1995-06-15
goku,Goku,,Goku,,1995-10-20
hirollerbattle,Hi-Roller Battle,,Hi-Roller Battle,,1993-12-20
