game_id,developer_id
3dmuseum,11
3dmuseum,11
3dvirtualaustralia,10
akumanoshinpan,15
angelmate,15
backtotheedo,10
biryojoncollectionwatanabeminayo,19
biryojoncollectionwatanabeminayo,19
biryojoncollectionsakakiyuuko,19
biryojoncollectionsakakiyuuko,19
donquixoteadreaminsevencrystals,13
doradoraparadise,19
drpaolonototteokivideo,9
ghostrush,4
goku,11
goku,11
hirollerbattle,2
hyperion,7
iwillthestoryoflondon,1
bluechicagoblues,16
bluechicagoblues,16
laseractivenewdiscexpress1,14
manhattanrequiem,16
melonbrains,12
melonbrains,12
pyramidpatrol,6
quizeconosaurus,8
roadblaster,20
rocketcoaster,7
spaceberserker,5
thegreatpyramid,1
timegal,7
triadstone,17
vajra,3
vajrani,3
virtualcameraman,18
virtualcameraman2,18
zappingsatsui,10
zappingsatsui,10
3dmuseum,11
donquixoteadreaminsevencrystals,13
ghostrush,4
goku,11
hirollerbattle,2
hyperion,7
iwillthestoryoflondon,1
bluechicagoblues,16
melonbrains,12
pyramidpatrol,6
roadblaster,20
rocketcoaster,7
spaceberserker,5
thegreatpyramid,1
triadstone,17
pyramidpatrol,6
rocketcoaster,7
3dmuseum,11
backtotheedo,10
donquixoteadreaminsevencrystals,13
drpaolonototteokivideo,9
ghostrush,4
goku,11
hyperion,7
hyperion,7
bluechicagoblues,16
melonbrains,12
roadblaster,20
roadblaster,20
