game_id,publisher_id
3dmuseum,6
3dmuseum,6
3dvirtualaustralia,6
akumanoshinpan,8
angelmate,8
backtotheedo,6
biryojoncollectionwatanabeminayo,8
biryojoncollectionwatanabeminayo,8
biryojoncollectionsakakiyuuko,8
biryojoncollectionsakakiyuuko,8
donquixoteadreaminsevencrystals,5
doradoraparadise,8
drpaolonototteokivideo,2
ghostrush,6
goku,6
goku,6
hirollerbattle,6
hyperion,11
iwillthestoryoflondon,6
bluechicagoblues,9
bluechicagoblues,4
laseractivenewdiscexpress1,6
manhattanrequiem,9
melonbrains,7
melonbrains,7
pyramidpatrol,11
quizeconosaurus,3
roadblaster,1
rocketcoaster,11
spaceberserker,6
thegreatpyramid,6
timegal,11
triadstone,10
vajra,6
vajrani,6
virtualcameraman,8
virtualcameraman2,8
zappingsatsui,6
zappingsatsui,6
3dmuseum,6
donquixoteadreaminsevencrystals,5
ghostrush,6
goku,6
hirollerbattle,6
hyperion,11
iwillthestoryoflondon,6
bluechicagoblues,9
melonbrains,7
pyramidpatrol,11
roadblaster,1
rocketcoaster,11
spaceberserker,6
thegreatpyramid,6
triadstone,10
pyramidpatrol,11
rocketcoaster,11
3dmuseum,6
backtotheedo,6
donquixoteadreaminsevencrystals,5
drpaolonototteokivideo,2
ghostrush,6
goku,6
hyperion,11
hyperion,11
bluechicagoblues,4
melonbrains,7
roadblaster,1
roadblaster,1
