game_id,region_id
3dmuseum,1
3dmuseum,1
3dvirtualaustralia,1
akumanoshinpan,1
angelmate,1
backtotheedo,1
biryojoncollectionwatanabeminayo,1
biryojoncollectionwatanabeminayo,1
biryojoncollectionsakakiyuuko,1
biryojoncollectionsakakiyuuko,1
donquixoteadreaminsevencrystals,1
doradoraparadise,1
drpaolonototteokivideo,1
ghostrush,1
goku,1
goku,1
hirollerbattle,1
hyperion,1
iwillthestoryoflondon,1
bluechicagoblues,1
bluechicagoblues,1
laseractivenewdiscexpress1,1
manhattanrequiem,1
melonbrains,1
melonbrains,1
pyramidpatrol,1
quizeconosaurus,1
roadblaster,1
rocketcoaster,1
spaceberserker,1
thegreatpyramid,1
timegal,1
triadstone,1
vajra,1
vajrani,1
virtualcameraman,1
virtualcameraman2,1
zappingsatsui,1
zappingsatsui,1
3dmuseum,2
donquixoteadreaminsevencrystals,2
ghostrush,2
goku,2
hirollerbattle,2
hyperion,2
iwillthestoryoflondon,2
bluechicagoblues,2
melonbrains,2
pyramidpatrol,2
roadblaster,2
rocketcoaster,2
spaceberserker,2
thegreatpyramid,2
triadstone,2
pyramidpatrol,1
rocketcoaster,1
3dmuseum,1
backtotheedo,1
donquixoteadreaminsevencrystals,1
drpaolonototteokivideo,1
ghostrush,1
goku,1
hyperion,1
hyperion,2
bluechicagoblues,1
melonbrains,1
roadblaster,1
roadblaster,1
