game_id,tag_id
3dmuseum,23
3dmuseum,22
3dvirtualaustralia,18
akumanoshinpan,30
angelmate,9
backtotheedo,31
biryojoncollectionwatanabeminayo,27
biryojoncollectionwatanabeminayo,25
biryojoncollectionsakakiyuuko,26
biryojoncollectionsakakiyuuko,24
donquixoteadreaminsevencrystals,37
doradoraparadise,10
drpaolonototteokivideo,4
ghostrush,42
goku,14
goku,12
hirollerbattle,41
hyperion,51
iwillthestoryoflondon,21
bluechicagoblues,7
bluechicagoblues,7
laseractivenewdiscexpress1,11
manhattanrequiem,6
melonbrains,19
melonbrains,16
pyramidpatrol,45
quizeconosaurus,33
roadblaster,48
rocketcoaster,34
spaceberserker,44
thegreatpyramid,17
timegal,47
triadstone,1
vajra,39
vajrani,40
virtualcameraman,28
virtualcameraman2,29
zappingsatsui,3
zappingsatsui,2
3dmuseum,23
donquixoteadreaminsevencrystals,36
ghostrush,42
goku,13
hirollerbattle,41
hyperion,51
iwillthestoryoflondon,21
bluechicagoblues,7
melonbrains,16
pyramidpatrol,45
roadblaster,48
rocketcoaster,34
spaceberserker,44
thegreatpyramid,17
triadstone,1
pyramidpatrol,46
rocketcoaster,35
3dmuseum,23
backtotheedo,32
donquixoteadreaminsevencrystals,38
drpaolonototteokivideo,5
ghostrush,43
goku,15
hyperion,52
hyperion,52
bluechicagoblues,8
melonbrains,20
roadblaster,50
roadblaster,49
