name,developer_id
Absolute,1
Access/Tiertex,2
Acclaim,3
Acme,4
Adrenalin/Freestyle,5
Al Baker & Associates,6
Ancient,7
Ancient/M2,8
Arc Developments,9
Arc System Works,10
Ash & Dave,11
Aspect,12
Aspect/SEGA CS2,13
Aspect/SEGA CS5,14
Atlus/SIMS,15
Audiogenic/Fox Williams,16
BITS,17
BITS/The Black Team,18
BITS/The Grey Team,19
Bandai,20
Beam,21
Beam/Teeny Weeny,22
Big Red,23
Bit Managers,24
BlueSky,25
BlueSky/Disney,26
Bonsai,27
Brian A. Rice,28
CRI,29
CRYO,30
Ceris,31
Chameleon,32
Codemasters,33
Compile,34
Compile/LMS Music,35
Compile/SEGA CS2,36
Condor,37
Core Design,38
Core Design/Krisalis,39
Daou Infosys,40
Domark,41
Domark/The Kremlin,42
Eden,43
Eden/Rage,44
Eleca/SIMS,45
Epyx,46
Eurocom,47
Face/ASCII/Login,48
Falcon,49
Foley Hi-Tech,50
Freestyle,51
Gai Brain/Aspect,52
Game Arts,53
GameTek,54
Gametech,55
Genki,56
Graftgold,57
Graftgold/Krisalis,58
Gray Matter,59
Gremlin,60
High Score/Realtime,61
Hookstone/Influence,62
Hudson,63
I.S.C./Megasoft,64
ITL,65
Iguana,66
Iguana/The White Team,67
Imagineering,68
Imagitec Design,69
Imagitec Design/Electronic Arts,70
Inter State,71
Interactive Studios,72
JAM,73
Japan System House,74
Japan System House/Ancient,75
Japan System House/M.N.M/Yuzo Koshiro,76
Japan System Supply,77
Kalisto,78
Lankhor/Teque London,79
Leadfilm/BPS,80
Loriciel/Victor,81
M2,82
Manley & Associates,83
Megasoft,84
Micro Cabin,85
Micronet,86
Millenium,87
Millenium/Vectordean/Teque London,88
Minako Giken,89
Minato Giken,90
NAMCO,91
NCS,92
NGM,93
NMS,94
Nova,95
Novotrade,96
Novotrade/Waterman/SEGA,97
Now Production/NAMCO,98
NuFX,99
Open Corp,100
Open Corp/SIECO,101
Opera House/ISCO,102
Optimus,103
Paul Hutchinson,104
Peakstar,105
Polygames,106
Probe,107
Probe/Black Team,108
Probe/Climax,109
Probe/Extended Play,110
Probe/Gray Team,111
Probe/Grey Team,112
Probe/Krisalis,113
Rage,114
Realtime,115
Realtime/SEGA Girls Task Force,116
Rit's,117
Riverhill,118
S-Plan,119
SEGA,120
SEGA AM2/Lee Sanghun,121
SEGA CS,122
SEGA CS2,123
SEGA CS2/Arc System Works,124
SEGA CS2/Aspect,125
SEGA CS2/SEGA CS5,126
SEGA CS2/Yuzo Koshiro,127
SEGA CS3,128
SEGA CS3/SEGA CS5,129
SEGA CS5,130
SEGA CS5/Arc System Works/USP,131
SEGA CS5/Aspect,132
SEGA CS5/Minato Giken,133
SEGA InterActive,134
SEGA Technical Institute,135
SEGA/Arc System Works,136
SEGA/BITS,137
SEGA/Climax,138
SEGA/Paul Hutchinson,139
SEGA/Yuzo Koshiro,140
SIMS,141
SIMS/Banpresto,142
SIMS/Japan System House,143
SIMS/Opera House,144
SIMS/SEGA CS,145
SIMS/SEGA CS5,146
SIMS/Treasure,147
Sanritsu,148
Santos,149
Santos/Imagineering,150
Shimada Kikaku,151
Sigma,152
Software Creations,153
Software Creations/The Black Team,154
Software Creations/The Grey Team,155
Sonic,156
Spidersoft,157
Spidersoft/Freestyle,158
Spidersoft/Krisalis,159
Sunsoft,160
SuperSonic,161
Syrox,162
Syrox/Disney/Krisalis,163
Syrox/Eurocom,164
System Vision/For You,165
SystemSoft,166
T'n'T Data Design,167
Taito,168
Technōs,169
Technōs/Virgin,170
Teeny Weeny,171
Teeny Weeny/Krisalis,172
Teeny Weeny/The Black Team,173
Telenet,174
Tengen,175
Tengen/Krisalis,176
Tengen/Teeny Weeny,177
Teque London,178
The Kremlin,179
The Kremlin/Krisalis,180
The Kremlin/Tiertex,181
The Software Toolworks/NovaLogic,182
Thinking Rabbit,183
Tiertex,184
Tiertex/Anco,185
Tiertex/Electronic Arts,186
Tiertex/Extended Play,187
Tiertex/Lucasfilm,188
Treasure/Minato Giken,189
Tsukuda Ideal,190
Twilight,191
U.S.Gold/Arc,192
Unexpected Development,193
Virgin,194
Virgin/Graftgold/Krisalis,195
Virtual Studio,196
WayForward/Designer,197
Westone,198
Wolf Team,199
Xanth,200
Yellow Horn,201
