game_id,developer_id
aaharimanada,84
aerialassault,151
aladdin8bit,141
alien3,107
aliensyndrome,141
arlielcrystaldensetsu,123
axbattleraloga,13
supermonacogp2,124
supermonacogp2,124
bakubakuanimal,90
bareknuckle,75
bareknuckle2,76
batmanforever,108
batmanreturnsgg,13
battletoads,10
berlinnokabe,71
bishoujosenshisailormoonsgg,119
busterball,118
busterfight,141
carlicence,165
castleofillusion8bit,120
chuckrock,39
cocacolakid,14
columns,120
columns,120
crayonshinchantkp,90
devilish,56
deepducktrouble,13
donaldnomagicalworld,147
doraemonnoranosukenoyabou,64
doraemonwakuwakupocketparadise,141
dragoncrystal,120
dunkkids,65
dynamiteheaddy,189
eccothedolphin,96
ecco2ttot,96
eternallegend,73
eternallegend,73
midimaze,200
fantasyzonegear,148
fantasyzonegear,148
fifainternationalsoccer,187
foremanforreal,153
frayshugyouhen,49
fredcouplesgolf,141
slamdunksens5,141
galaga91,91
gamblepanic,131
gamblerjikochuushinha,201
gamblerjikochuushinha,201
ganbaregorby,74
garoudensetsuspecial,52
gearstadium,91
gearstadiumheisenban,91
gsonic,12
ggaleste,34
ggaleste2,34
ggaleste3,82
ggportraitpaichen,120
ggportraityuukiakira,120
glocairbattle,120
glocairbattle,120
godzillakaijuudaishingeki,141
gprider,121
gprider,121
griffin,174
gunstarheroes,82
halleywars,65
headbuster,92
heavyweightchamp,148
honoonotoukyuujidodgedanpeisega,144
houseoftarot,77
hyokkorihoyutanjimahjnd,74
hyperproyakyuu92,123
masterofdarkness,145
jleagueggprostriker94,141
jleaguesoccerdreameleven,141
joemontanafootball8bit,25
cuebrick,86
jurassicparksega8bit,123
kaitousainttail,90
kenyuudensetsuyaiba,130
kickandrush,141
kineticconnection,74
kishindoujinzenki,130
kunichannogametengoku,123
kunichannogametengokupart2,123
lemmings,107
donaldducknoluckydime,120
lunarsanposurugakuen,53
madoumonogatariadokidokivacation,35
madoumonogatari13tsunomadoukyuu,34
madoumonogatari2arle16sai,34
madoumonogatari3kyuukyokujoousama,34
madoumonogatari3kyuukyokujoousama,34
magicknightrayearth,130
magicknightrayearth2momk,130
magicalpuzzlepopils,175
magicaltaruruutokungg,190
landofillusion,128
mappy,95
megamitenseigaidenlastbible,15
megamitenseigaidenlastbiblespecial,15
legendofillusion,14
moldorianhikaritoyaminosister,117
wonderboy3tdt,198
mortalkombat,112
mortalkombat2,111
nazopuyo,34
nazopuyo,34
nazopuyo2,34
nazopuyoarlenoroux,34
nbajam,66
nbajamte,67
nekodaisuki,120
nflquarterbackclub95,37
ninjagaiden,74
ninkuu,129
ninkuu2tenm,74
ninkuugaidenhiroyukidaikatsugeki,120
nomosworldseriesbaseball,65
olympicgold,184
winterolympicgames,184
outrun,120
outrun,120
pacman,91
panzerdragoonmini,120
pengo,136
petclubinudaisuki,120
phantasystaradventure,74
phantasystargaiden,77
pocketjansou,91
popbreaker,85
popeyebeachvolleyball,169
proyakyuuggleague,123
proyakyuuggleague94,130
psychicworld,148
puttandputter,141
puyopuyo,34
puyopuyo2,34
tantr,29
ichidantr,29
puzzlebobble,149
rastansaga,168
riddickboweboxing,86
ristar,74
robocop3,43
royalstone,130
ryuukyuu,48
samuraispirits,149
scartchgolf,45
sdgundamwinnershistory,20
shadamcrusaderho,123
shanghai2,49
shanghai2,49
shikinjou,160
shiningforcegaiden,156
shiningforcegaiden,156
shiningforcegaiden2,156
shiningforcegaidenfc,156
slider,81
smashtv,107
sonicthehedgehog8bit,7
sonicthehedgehog8bit,7
sonicthehedgehog28bit,125
sonicthehedgehog28bit,125
sonicandtails,12
sonicandtails2,12
sonicdrift,122
sonicdrift2,122
soniclabyrinth,89
soukoban,183
spaceharrier,151
stargategg,112
supercolumns,130
supergolf,152
supergolf,152
supermomotaroudetetsu3,63
supermonacogp,120
sylvantale,130
t2thearcadegame,107
tailsadventure,12
tailsskypatrol,143
taisenmahjonghaopai,124
taisenmahjonghaopai,124
taisenmahjonghaopai,124
taisengatadaisenryakug,166
taisengatadaisenryakug,166
taitochasehq,168
tamaandfriends3ckt,132
tatakaeproyakyuutwinleague,120
tempojr,146
terminator2judgmentday,9
theaddamsfamily8bit,9
theggshinobi,140
theggshinobi,140
theggshinobi2,127
theincrediblecrashdummies8bit,172
thelionking,163
theproyakyuu91,149
thequizgearfight,133
thesimpsonsbvtw,149
tomandjerrythemovie,141
toraretetamaruka,126
truelies,21
ultimatesoccer,114
virtuafightermini,12
wagyanland,98
wimbledon,141
wonderboy,120
woodypop,151
worldderby,29
yuyuhakushohng,90
yuyuhakusho2gnnt,90
zangear,199
zooltnotnthd,60
5in1funpak,21
aerialassault,151
aladdin8bit,141
aladdin8bit,141
alien3,107
andreagassitennis,46
arcadeclassics,6
archrivals,9
arena,43
arielthelittlemermaid,26
asterixatgr,38
axbattleraloga,13
supermonacogp2,124
bakubakuanimal,90
thesimpsonsbmrm,171
batmanforever,108
batmanreturnsgg,13
gearstadium,91
battleshipgg,93
battletoads,10
beavisandbuttheadgg,99
bonkerswaxup,6
bramstokersdracula8bit,107
bubblebobble,100
bugsbunnyyindoubletrouble,109
puzzlebobble,149
caesarspalace,171
caesarspalace,171
captainamericaandtheavengers,115
casinofunpak,21
castleofillusion8bit,120
chakan,104
taitochasehq,168
cheesecatastrophessg,30
chicagosyndicate,138
choplifter3,22
chuckrock,39
chuckrock2soc,39
cjelephantfugitive,23
cliffhanger8bit,157
clutchhitter,120
columns,120
columns,120
coolspot,194
linusspaceheadscosmiccrusade,161
arlielcrystaldensetsu,123
cutthroatisland,155
deepducktrouble,13
deepducktrouble,13
shadamcrusaderho,123
desertspeedtrapsrrawec,107
desertstrike,186
devilish,56
doubledragon,170
puyopuyo,36
dragontbls,3
dragoncrystal,120
dynamiteheaddy,189
earthwormjim,47
eccothedolphin,96
ecco2ttot,96
evanderholyfieldsboxing,96
f1,79
f15strikeeagle,94
fantasticdizzy,32
fantasyzonegear,148
garoudensetsuspecial,52
fifainternationalsoccer,187
fifasoccer96,110
foremanforreal,153
frankthomasbighurtbaseball,115
fredcouplesgolf,141
glocairbattle,120
garfieldcaughtintheact,97
gearworks,178
heavyweightchamp,141
gprider,121
greendog,135
halleywars,65
homealonesega,28
hook,159
indianajonesandthelastcrusadetag,188
ironmanxomanowarinheavymetalgg,115
jamespond2codenamerobocod,87
jeopardy,54
jeopradysportsedition,54
joemontanafootball8bit,25
strider2usg,184
judgedredd,107
cuebrick,86
junglestrike,193
jurassicparksega8bit,123
kawasakisuperbikechallengegg,178
klax,184
rattrap,16
landofillusion,128
lastactionhero,17
legendofillusion,14
lemmings,107
madden96,184
maddennfl95,184
magicalpuzzlepopils,175
marblemadness,176
megaman,51
mickeysultimatechallenge,197
micromachines,33
mightymorphinpowerrangersgg,142
mightymorphinpowerrangersthemoviegg,142
mlbpabaseball,21
monstertruckwars,60
mortalkombat,112
mortalkombat2,111
mspacman,91
mspacman,91
nbaactionstarringdavidrobinson,134
nbajam,66
nbajam,66
nbajamte,67
nfl95,25
nflquarterbackclub95,37
nflquarterbackclub96,37
nhlallstarhockey,59
nhlhockey,61
ninjagaiden,74
olympicgold,184
winterolympicgames,184
outruneuropa,113
pacattack,91
pacman,91
pacman,91
paperboy,184
paperboy2,83
petesamprastennis,23
pgatourgolf,106
pgatourgolf,106
pgatourgolf2,106
pgatour96,31
phantom2040gg,193
pinballdreams,157
pokerfacepaulsblackjack,157
pokerfacepaulsgin,158
pokerfacepaulspoker,158
pokerfacepaulssolitaire,157
predator2,171
primalrage,107
princeofpersia,180
psychicworld,148
puttandputter,141
questfortheshavenyaksrhands,115
rbibaseball94,6
rcgrandprix,1
wonderboy,120
riddickboweboxing,86
riseoftherobots,167
ristar,74
roadrash,113
robocop3,43
robocopversustheterminator,94
samuraispirits,149
scartchgolf,45
shaqfu,184
shiningforcegaiden2,156
sidepocket,102
slider,81
solitairefunpak,21
ryuukyuu,48
sonicthehedgehog8bit,7
sonicthehedgehog8bit,7
sonicthehedgehog28bit,125
sonicthehedgehog28bit,125
gsonic,12
sonicandtails,12
sonicandtails,12
sonicdrift2,122
soniclabyrinth,89
sonicspinball,134
sonicspinball,134
sonicandtails2,12
smashtv,107
spaceharrier,151
spidermanrotss,18
spidermanxmeninarcaderevenge,154
spidermanvsthekingpin8bit,137
sportsillustratedcfb,193
sportstrivia,5
sportstriviace,5
startrekthenextgeneration,68
startrekgenerationsbtn,1
starwars,184
stargategg,112
bareknuckle,75
bareknuckle,75
bareknuckle2,76
superbattletank,1
supercolumns,130
supergolf,152
supermonacogp,120
superoffroad,58
superspaceinvaders,181
superstarwarsrotj,115
surfninjas,99
t2thearcadegame,107
talespinsega,134
tailsadventure,12
tazinescapefrommars,6
tazmania8bit,99
tempojr,146
kickandrush,141
terminator2judgmentday,9
tesserae,47
theaddamsfamily8bit,9
theadventuresofbatmanandrobin,96
theberenstainbearscampingadventure,116
thechessmaster,182
theggshinobi,140
theggshinobi2,127
theincrediblecrashdummies8bit,172
theincrediblehulk,107
theitchyandscratchygame,19
thejunglebook,164
thejunglebook,164
thelionking,163
thelionking,163
thelostworldjurassicpark,12
theluckydimecapersdd,120
themajorsprobaseball,65
thesimpsonsbvtsm,150
thesimpsonsbvtw,149
theterminator,113
tomandjerrythemovie,141
truelies,21
urbanstrike,50
masterofdarkness,145
virtuafightermini,12
vrtroopers,162
wheeloffortunefeaturingvannawhite,69
wimbledon,141
woodypop,151
worldclassleaderboard,2
worldcupusa94,184
proyakyuuggleague,65
proyakyuuggleague,65
tatakaeproyakyuutwinleague,65
wwfraw,115
wwfwrestlemaniascc,173
xmengg,139
xmengamesmasterslegacy,139
xmenmojoworld,139
zooltnotnthd,60
zoop,62
aerialassault,151
aladdin8bit,141
alien3,107
aliensyndrome,141
arena,43
arielthelittlemermaid,26
asterixatgr,38
asterixatsm,123
axbattleraloga,13
supermonacogp2,124
bakubakuanimal,90
batmanforever,108
batmanreturnsgg,13
batmanreturnsgg,13
battletoads,10
beavisandbuttheadgg,99
bonkerswaxup,6
bramstokersdracula8bit,107
bugsbunnyyindoubletrouble,109
castleofillusion8bit,120
chakan,104
championshiphockey,70
cheesecatastrophessg,30
chuckrock,39
chuckrock2soc,39
chuckrock2soc,39
cjelephantfugitive,23
columns,120
coolspot,194
linusspaceheadscosmiccrusade,161
arlielcrystaldensetsu,123
arlielcrystaldensetsu,123
daffyduckinhollywood,107
deepducktrouble,13
shadamcrusaderho,123
desertspeedtrapsrrawec,107
desertstrike,186
devilish,56
devilish,56
doubledragon,170
doubledragon,170
puyopuyo,36
dragontbls,3
dragoncrystal,120
dropzone,23
dynamiteheaddy,189
earthwormjim,47
eccothedolphin,96
ecco2ttot,96
ernieelsgolf,33
evanderholyfieldsboxing,96
evanderholyfieldsboxing,96
f1,79
f1worldchampionshipedition,105
f15strikeeagle,94
ganbaregorby,74
fantasyzonegear,148
fantasticdizzy,32
garoudensetsuspecial,52
fifainternationalsoccer,187
fifasoccer96,110
glocairbattle,120
galaga91,91
garfieldcaughtintheact,97
heavyweightchamp,141
gprider,121
halleywars,65
homealonesega,28
hook,159
hurricanes,192
indianajonesandthelastcrusadetag,188
jamesbond007td,42
jamespond2codenamerobocod,87
jamespond2codenamerobocod,87
jamespond3operationstarfish,88
joemontanafootball8bit,25
strider2usg,184
strider2usg,184
judgedredd,107
jurassicparksega8bit,123
kawasakisuperbikechallengegg,178
klax,184
rattrap,16
landofillusion,128
legendofillusion,14
lemmings,107
madden96,184
magicalpuzzlepopils,175
marblemadness,176
markosmagicfootball,41
masterofdarkness,145
megaman,51
globalgladiators,195
globalgladiators,195
micromachines,33
micromachines2tt,11
mightymorphinpowerrangersgg,142
mightymorphinpowerrangersthemoviegg,142
monstertruckwars,60
mortalkombat,112
mortalkombat2,111
mortalkombat3,153
nbajam,66
nbajamte,67
nflquarterbackclub95,37
nhlhockey,61
ninjagaiden,74
olympicgold,184
winterolympicgames,184
winterolympicgames,184
outrun,120
outrun,120
outruneuropa,113
paperboy,184
pengo,136
petesamprastennis,23
pgatourgolf,106
pgatourgolf2,106
pgatour96,31
phantom2040gg,193
ggaleste2,34
powerdrive,114
predator2,171
primalrage,107
princeofpersia,180
psychicworld,148
puttandputter,141
questfortheshavenyaksrhands,115
ristar,74
riseoftherobots,167
roadrash,113
roadrash,113
robocop3,43
robocopversustheterminator,94
sinkorswim,23
segagamepack4in1,120
sensiblesoccerec,47
slider,81
smashtv,107
ryuukyuu,48
sonicthehedgehog8bit,7
sonicthehedgehog28bit,125
gsonic,12
sonicandtails,12
sonicdrift2,122
