game_id,publisher_id
aaharimanada,51
aerialassault,51
aladdin8bit,51
alien3,2
aliensyndrome,56
arlielcrystaldensetsu,51
axbattleraloga,51
supermonacogp2,51
supermonacogp2,51
bakubakuanimal,51
bareknuckle,51
bareknuckle2,51
batmanforever,2
batmanreturnsgg,51
battletoads,51
berlinnokabe,35
bishoujosenshisailormoonsgg,6
busterball,50
busterfight,51
carlicence,46
castleofillusion8bit,51
chuckrock,51
cocacolakid,51
columns,51
columns,51
crayonshinchantkp,6
devilish,26
deepducktrouble,51
donaldnomagicalworld,51
doraemonnoranosukenoyabou,51
doraemonwakuwakupocketparadise,51
dragoncrystal,51
dunkkids,51
dynamiteheaddy,51
eccothedolphin,51
ecco2ttot,51
eternallegend,51
eternallegend,51
midimaze,50
fantasyzonegear,60
fantasyzonegear,60
fifainternationalsoccer,18
foremanforreal,2
frayshugyouhen,40
fredcouplesgolf,51
slamdunksens5,6
galaga91,45
gamblepanic,51
gamblerjikochuushinha,51
gamblerjikochuushinha,51
ganbaregorby,51
garoudensetsuspecial,67
gearstadium,45
gearstadiumheisenban,45
gsonic,51
ggaleste,11
ggaleste2,51
ggaleste3,37
ggportraitpaichen,51
ggportraityuukiakira,51
glocairbattle,51
glocairbattle,51
godzillakaijuudaishingeki,51
gprider,51
gprider,51
griffin,49
gunstarheroes,51
halleywars,66
headbuster,39
heavyweightchamp,56
honoonotoukyuujidodgedanpeisega,51
houseoftarot,51
hyokkorihoyutanjimahjnd,51
hyperproyakyuu92,51
masterofdarkness,57
jleagueggprostriker94,51
jleaguesoccerdreameleven,51
joemontanafootball8bit,51
cuebrick,42
jurassicparksega8bit,51
kaitousainttail,51
kenyuudensetsuyaiba,51
kickandrush,56
kineticconnection,51
kishindoujinzenki,51
kunichannogametengoku,51
kunichannogametengokupart2,51
lemmings,51
donaldducknoluckydime,51
lunarsanposurugakuen,23
madoumonogatariadokidokivacation,11
madoumonogatari13tsunomadoukyuu,51
madoumonogatari2arle16sai,51
madoumonogatari3kyuukyokujoousama,51
madoumonogatari3kyuukyokujoousama,51
magicknightrayearth,51
magicknightrayearth2momk,51
magicalpuzzlepopils,71
magicaltaruruutokungg,75
landofillusion,51
mappy,45
megamitenseigaidenlastbible,51
megamitenseigaidenlastbiblespecial,51
legendofillusion,51
moldorianhikaritoyaminosister,51
wonderboy3tdt,51
mortalkombat,2
mortalkombat2,2
nazopuyo,51
nazopuyo,51
nazopuyo2,51
nazopuyoarlenoroux,51
nbajam,2
nbajamte,2
nekodaisuki,51
nflquarterbackclub95,2
ninjagaiden,51
ninkuu,51
ninkuu2tenm,51
ninkuugaidenhiroyukidaikatsugeki,51
nomosworldseriesbaseball,51
olympicgold,51
winterolympicgames,51
outrun,51
outrun,51
pacman,45
panzerdragoonmini,51
pengo,51
petclubinudaisuki,51
phantasystaradventure,51
phantasystargaiden,51
pocketjansou,45
popbreaker,40
popeyebeachvolleyball,70
proyakyuuggleague,51
proyakyuuggleague94,51
psychicworld,51
puttandputter,51
puyopuyo,51
puyopuyo2,11
tantr,51
ichidantr,51
puzzlebobble,66
rastansaga,66
riddickboweboxing,42
ristar,51
robocop3,2
royalstone,51
ryuukyuu,21
samuraispirits,67
scartchgolf,78
sdgundamwinnershistory,6
shadamcrusaderho,51
shanghai2,64
shanghai2,64
shikinjou,64
shiningforcegaiden,51
shiningforcegaiden,51
shiningforcegaiden2,51
shiningforcegaidenfc,51
slider,81
smashtv,2
sonicthehedgehog8bit,51
sonicthehedgehog8bit,51
sonicthehedgehog28bit,51
sonicthehedgehog28bit,51
sonicandtails,51
sonicandtails2,51
sonicdrift,51
sonicdrift2,51
soniclabyrinth,51
soukoban,50
spaceharrier,51
stargategg,2
supercolumns,51
supergolf,61
supergolf,61
supermomotaroudetetsu3,30
supermonacogp,51
sylvantale,51
t2thearcadegame,2
tailsadventure,51
tailsskypatrol,51
taisenmahjonghaopai,51
taisenmahjonghaopai,51
taisenmahjonghaopai,51
taisengatadaisenryakug,65
taisengatadaisenryakug,65
taitochasehq,66
tamaandfriends3ckt,51
tatakaeproyakyuutwinleague,51
tempojr,51
terminator2judgmentday,2
theaddamsfamily8bit,2
theggshinobi,51
theggshinobi,51
theggshinobi2,51
theincrediblecrashdummies8bit,2
thelionking,83
theproyakyuu91,51
thequizgearfight,51
thesimpsonsbvtw,2
tomandjerrythemovie,51
toraretetamaruka,51
truelies,2
ultimatesoccer,51
virtuafightermini,51
wagyanland,45
wimbledon,51
wonderboy,51
woodypop,51
worldderby,9
yuyuhakushohng,51
yuyuhakusho2gnnt,51
zangear,84
zooltnotnthd,31
5in1funpak,34
aerialassault,51
aladdin8bit,51
aladdin8bit,38
alien3,5
andreagassitennis,69
arcadeclassics,51
archrivals,22
arena,51
arielthelittlemermaid,51
asterixatgr,51
axbattleraloga,51
supermonacogp2,51
bakubakuanimal,51
thesimpsonsbmrm,22
batmanforever,2
batmanreturnsgg,51
gearstadium,44
battleshipgg,43
battletoads,74
beavisandbuttheadgg,80
bonkerswaxup,51
bramstokersdracula8bit,62
bubblebobble,66
bugsbunnyyindoubletrouble,51
puzzlebobble,66
caesarspalace,82
caesarspalace,38
captainamericaandtheavengers,43
casinofunpak,34
castleofillusion8bit,51
chakan,51
taitochasehq,66
cheesecatastrophessg,51
chicagosyndicate,51
choplifter3,20
chuckrock,51
chuckrock2soc,71
cjelephantfugitive,10
cliffhanger8bit,62
clutchhitter,51
columns,51
columns,51
coolspot,82
linusspaceheadscosmiccrusade,10
arlielcrystaldensetsu,51
cutthroatisland,2
deepducktrouble,51
deepducktrouble,38
shadamcrusaderho,51
desertspeedtrapsrrawec,51
desertstrike,15
devilish,58
doubledragon,82
puyopuyo,51
dragontbls,2
dragoncrystal,51
dynamiteheaddy,51
earthwormjim,47
eccothedolphin,51
ecco2ttot,51
evanderholyfieldsboxing,51
f1,16
f15strikeeagle,41
fantasticdizzy,10
fantasyzonegear,51
garoudensetsuspecial,67
fifainternationalsoccer,17
fifasoccer96,7
foremanforreal,2
frankthomasbighurtbaseball,2
fredcouplesgolf,51
glocairbattle,51
garfieldcaughtintheact,51
gearworks,62
heavyweightchamp,22
gprider,51
greendog,51
halleywars,51
homealonesega,51
hook,62
indianajonesandthelastcrusadetag,76
ironmanxomanowarinheavymetalgg,2
jamespond2codenamerobocod,76
jeopardy,24
jeopradysportsedition,24
joemontanafootball8bit,51
strider2usg,76
judgedredd,2
cuebrick,42
junglestrike,7
jurassicparksega8bit,51
kawasakisuperbikechallengegg,15
klax,71
rattrap,22
landofillusion,51
lastactionhero,62
legendofillusion,51
lemmings,51
madden96,7
maddennfl95,17
magicalpuzzlepopils,71
marblemadness,71
megaman,76
mickeysultimatechallenge,29
micromachines,10
mightymorphinpowerrangersgg,51
mightymorphinpowerrangersthemoviegg,51
mlbpabaseball,17
monstertruckwars,2
mortalkombat,5
mortalkombat2,2
mspacman,44
mspacman,38
nbaactionstarringdavidrobinson,51
nbajam,5
nbajam,5
nbajamte,2
nfl95,51
nflquarterbackclub95,2
nflquarterbackclub96,2
nhlallstarhockey,51
nhlhockey,17
ninjagaiden,51
olympicgold,76
winterolympicgames,76
outruneuropa,76
pacattack,44
pacman,44
pacman,38
paperboy,71
paperboy2,71
petesamprastennis,10
pgatourgolf,71
pgatourgolf,71
pgatourgolf2,73
pgatour96,7
phantom2040gg,80
pinballdreams,24
pokerfacepaulsblackjack,4
pokerfacepaulsgin,4
pokerfacepaulspoker,4
pokerfacepaulssolitaire,4
predator2,5
primalrage,73
princeofpersia,71
psychicworld,51
puttandputter,51
questfortheshavenyaksrhands,51
rbibaseball94,73
rcgrandprix,51
wonderboy,51
riddickboweboxing,20
riseoftherobots,73
ristar,51
roadrash,76
robocop3,22
robocopversustheterminator,82
samuraispirits,67
scartchgolf,78
shaqfu,17
shiningforcegaiden2,51
sidepocket,14
slider,51
solitairefunpak,34
ryuukyuu,51
sonicthehedgehog8bit,51
sonicthehedgehog8bit,51
sonicthehedgehog28bit,51
sonicthehedgehog28bit,53
gsonic,51
sonicandtails,51
sonicandtails,38
sonicdrift2,51
soniclabyrinth,51
sonicspinball,51
sonicspinball,38
sonicandtails2,51
smashtv,22
spaceharrier,51
spidermanrotss,22
spidermanxmeninarcaderevenge,22
spidermanvsthekingpin8bit,22
sportsillustratedcfb,7
sportstrivia,51
sportstriviace,51
startrekthenextgeneration,1
startrekgenerationsbtn,1
starwars,76
stargategg,2
bareknuckle,51
bareknuckle,51
bareknuckle2,51
superbattletank,38
supercolumns,51
supergolf,58
supermonacogp,51
superoffroad,82
superspaceinvaders,72
superstarwarsrotj,7
surfninjas,51
t2thearcadegame,5
talespinsega,51
tailsadventure,51
tazinescapefrommars,51
tazmania8bit,51
tempojr,51
kickandrush,71
terminator2judgmentday,22
tesserae,24
theaddamsfamily8bit,22
theadventuresofbatmanandrobin,51
theberenstainbearscampingadventure,51
thechessmaster,51
theggshinobi,51
theggshinobi2,51
theincrediblecrashdummies8bit,22
theincrediblehulk,76
theitchyandscratchygame,2
thejunglebook,82
thejunglebook,38
thelionking,83
thelionking,38
thelostworldjurassicpark,51
theluckydimecapersdd,51
themajorsprobaseball,51
thesimpsonsbvtsm,22
thesimpsonsbvtw,22
theterminator,82
tomandjerrythemovie,51
truelies,2
urbanstrike,8
masterofdarkness,51
virtuafightermini,51
vrtroopers,51
wheeloffortunefeaturingvannawhite,24
wimbledon,51
woodypop,51
worldclassleaderboard,76
worldcupusa94,76
proyakyuuggleague,51
proyakyuuggleague,51
tatakaeproyakyuutwinleague,51
wwfraw,2
wwfwrestlemaniascc,22
xmengg,51
xmengamesmasterslegacy,51
xmenmojoworld,51
zooltnotnthd,24
zoop,80
aerialassault,51
aladdin8bit,51
alien3,5
aliensyndrome,51
arena,51
arielthelittlemermaid,51
asterixatgr,51
asterixatsm,51
axbattleraloga,51
supermonacogp2,51
bakubakuanimal,51
batmanforever,2
batmanreturnsgg,51
batmanreturnsgg,51
battletoads,51
beavisandbuttheadgg,80
bonkerswaxup,51
bramstokersdracula8bit,62
bugsbunnyyindoubletrouble,51
castleofillusion8bit,51
chakan,51
championshiphockey,76
cheesecatastrophessg,51
chuckrock,51
chuckrock2soc,12
chuckrock2soc,51
cjelephantfugitive,10
columns,51
coolspot,82
linusspaceheadscosmiccrusade,10
arlielcrystaldensetsu,51
arlielcrystaldensetsu,51
daffyduckinhollywood,51
deepducktrouble,51
shadamcrusaderho,51
desertspeedtrapsrrawec,51
desertstrike,15
devilish,28
devilish,51
doubledragon,82
doubledragon,54
puyopuyo,51
dragontbls,82
dragoncrystal,51
dropzone,10
dynamiteheaddy,51
earthwormjim,82
eccothedolphin,51
ecco2ttot,51
ernieelsgolf,10
evanderholyfieldsboxing,51
evanderholyfieldsboxing,51
f1,15
f1worldchampionshipedition,15
f15strikeeagle,41
ganbaregorby,51
fantasyzonegear,51
fantasticdizzy,10
garoudensetsuspecial,67
fifainternationalsoccer,17
fifasoccer96,7
glocairbattle,51
galaga91,44
garfieldcaughtintheact,51
heavyweightchamp,22
gprider,51
halleywars,51
homealonesega,51
hook,62
hurricanes,76
indianajonesandthelastcrusadetag,76
jamesbond007td,15
jamespond2codenamerobocod,76
jamespond2codenamerobocod,36
jamespond3operationstarfish,76
joemontanafootball8bit,51
strider2usg,76
strider2usg,36
judgedredd,2
jurassicparksega8bit,51
kawasakisuperbikechallengegg,15
klax,71
rattrap,22
landofillusion,51
legendofillusion,51
lemmings,51
madden96,7
magicalpuzzlepopils,72
marblemadness,72
markosmagicfootball,15
masterofdarkness,51
megaman,76
globalgladiators,82
globalgladiators,51
micromachines,10
micromachines2tt,10
mightymorphinpowerrangersgg,51
mightymorphinpowerrangersthemoviegg,51
monstertruckwars,2
mortalkombat,5
mortalkombat2,2
mortalkombat3,2
nbajam,5
nbajamte,2
nflquarterbackclub95,2
nhlhockey,17
ninjagaiden,51
olympicgold,76
winterolympicgames,76
winterolympicgames,36
outrun,51
outrun,51
outruneuropa,76
paperboy,72
pengo,51
petesamprastennis,10
pgatourgolf,71
pgatourgolf2,73
pgatour96,7
phantom2040gg,80
ggaleste2,51
powerdrive,76
predator2,5
primalrage,73
princeofpersia,72
psychicworld,51
puttandputter,51
questfortheshavenyaksrhands,51
ristar,51
riseoftherobots,73
roadrash,76
roadrash,36
robocop3,22
robocopversustheterminator,82
sinkorswim,10
segagamepack4in1,51
sensiblesoccerec,62
slider,51
smashtv,22
ryuukyuu,51
sonicthehedgehog8bit,51
sonicthehedgehog28bit,51
gsonic,51
sonicandtails,51
sonicdrift2,51
soniclabyrinth,51
sonicspinball,51
sonicandtails2,51
spaceharrier,51
spidermanrotss,22
spidermanvsthekingpin8bit,22
starwars,76
starwars,36
stargategg,2
bareknuckle,51
bareknuckle,51
bareknuckle2,51
strikergg,51
supercolumns,51
superkickoff,51
supermonacogp,51
superoffroad,82
superspaceinvaders,15
superstarwarsrotj,7
supermantmos,82
supermantmos,51
t2thearcadegame,5
tailsadventure,51
talespinsega,51
tarzanlordofthejungle,24
tazinescapefrommars,51
tazmania8bit,51
tempojr,51
kickandrush,71
terminator2judgmentday,22
theaddamsfamily8bit,22
theadventuresofbatmanandrobin,51
thechessmaster,51
theexcellentdizzycollection,10
theggshinobi,51
theggshinobi2,51
theincrediblecrashdummies8bit,22
theincrediblehulk,76
theincrediblehulk,36
theitchyandscratchygame,2
thejunglebook,82
thejunglebook,82
thejunglebook,82
thejunglebook,82
thejunglebook,82
thelionking,83
thelionking,83
thelionking,83
thelionking,83
thelionking,83
thelionking,83
theluckydimecapersdd,51
theottifants,51
theottifants,51
thesimpsonsbvtsm,22
thesimpsonsbvtw,22
thesmurfs,32
thesmurfs,32
lesschtroumpfsadm,51
theterminator,82
theterminator,54
tintinintibet,32
tomandjerrythemovie,51
truelies,2
ultimatesoccer,51
ultimatesoccer,51
virtuafightermini,51
vrtroopers,51
wimbledon,51
wimbledon,51
wizardpinball,15
wolfchild,82
wonderboy,51
wonderboy3tdt,51
woodypop,51
worldclassleaderboard,76
worldclassleaderboard,51
worldcupusa94,76
wwfraw,2
wwfwrestlemaniascc,22
xmengamesmasterslegacy,51
zooltnotnthd,27
aerialassault,68
aladdin8bit,68
arielthelittlemermaid,68
asterixatgr,68
axbattleraloga,68
supermonacogp2,68
batmanreturnsgg,51
castleofillusion8bit,68
cheesecatastrophessg,68
chicagosyndicate,68
columns,68
chuckrock,51
chuckrock2soc,68
daffyduckinhollywood,68
deepducktrouble,68
desertspeedtrapsrrawec,68
devilish,68
eccothedolphin,68
ecco2ttot,68
ganbaregorby,68
fantasyzonegear,68
glocairbattle,68
greendog,68
halleywars,68
homealonesega,68
indianajonesandthelastcrusadetag,68
joemontanafootball8bit,68
jurassicparksega8bit,68
landofillusion,68
lemmings,51
masterofdarkness,68
mightymorphinpowerrangersthemoviegg,68
nbaactionstarringdavidrobinson,68
ninjagaiden,68
olympicgold,68
outrun,68
outruneuropa,68
psychicworld,68
puttandputter,68
sonicthehedgehog8bit,68
sonicthehedgehog28bit,68
sonicandtails,68
sonicspinball,68
sonicandtails2,68
spaceharrier,68
bareknuckle,68
bareknuckle2,68
supermonacogp,68
surfninjas,68
talespinsega,68
tazinescapefrommars,68
tazmania8bit,68
theadventuresofbatmanandrobin,68
thechessmaster,68
theggshinobi,68
theggshinobi2,68
theluckydimecapersdd,68
theottifants,68
thesimpsonsbvtw,3
tomandjerrythemovie,68
ultimatesoccer,68
vrtroopers,68
wonderboy,68
woodypop,68
worldcupusa94,77
bareknuckle,59
ganbaregorby,59
kineticconnection,59
outrun,59
puttandputter,59
supermonacogp,59
surfninjas,51
nhlallstarhockey,51
aerialassault,51
barbiesupermodel,29
breakthruzoo,63
crazyfaces,15
dinobashersbtc,10
frogger,51
ernieelsgolf,10
lemmings2thetribes,48
offthewall,71
furyofthefurries,44
pokerfacepaulscribagge,4
pokerfacepaulscribagge,4
spirou,32
janggunuiadeul,13
janggunuiadeul,13
wildsnake,63
yogibearsgoldrush,24
aladdin8bit,51
aladdin8bit,51
aladdin8bit,51
andreagassitennis,69
asterixatgr,51
asterixatgr,51
asterixatgr,51
asterixatgr,51
asterixatgr,51
axbattleraloga,51
supermonacogp2,51
bareknuckle2,51
beavisandbuttheadgg,80
bonkerswaxup,51
bonkerswaxup,51
bonkerswaxup,51
bonkerswaxup,51
bonkerswaxup,51
bonkerswaxup,51
bonkerswaxup,51
bonkerswaxup,51
bonkerswaxup,51
bonkerswaxup,51
bonkerswaxup,51
bonkerswaxup,51
bonkerswaxup,51
bubblebobble,66
chicagosyndicate,51
chicagosyndicate,51
chicagosyndicate,51
chicagosyndicate,51
chicagosyndicate,51
chicagosyndicate,51
chicagosyndicate,51
chicagosyndicate,51
chicagosyndicate,51
chicagosyndicate,51
chicagosyndicate,51
chicagosyndicate,51
chicagosyndicate,51
chicagosyndicate,51
chicagosyndicate,51
chicagosyndicate,51
chicagosyndicate,51
chicagosyndicate,51
chicagosyndicate,51
chicagosyndicate,51
chicagosyndicate,51
chicagosyndicate,51
chicagosyndicate,51
chicagosyndicate,51
chuckrock,51
cjelephantfugitive,10
cutthroatisland,2
shadamcrusaderho,51
doubledragon,82
dragontbls,82
dynamiteheaddy,51
dynamiteheaddy,51
dynamiteheaddy,51
dynamiteheaddy,51
eccothedolphin,51
eccothedolphin,51
chicagosyndicate,51
gsonic,51
gsonic,51
gsonic,51
gsonic,51
gsonic,51
gsonic,51
gprider,51
legendofillusion,51
legendofillusion,51
legendofillusion,51
legendofillusion,51
legendofillusion,51
legendofillusion,51
lemmings,51
micromachines,10
mightymorphinpowerrangersgg,51
mortalkombat,5
nazopuyoarlenoroux,51
nbaactionstarringdavidrobinson,51
nbaactionstarringdavidrobinson,51
nbaactionstarringdavidrobinson,51
nbaactionstarringdavidrobinson,51
nbaactionstarringdavidrobinson,51
nbaactionstarringdavidrobinson,51
nbaactionstarringdavidrobinson,51
nbaactionstarringdavidrobinson,51
nbaactionstarringdavidrobinson,51
nbaactionstarringdavidrobinson,51
nbaactionstarringdavidrobinson,51
nbaactionstarringdavidrobinson,51
nbaactionstarringdavidrobinson,51
nbaactionstarringdavidrobinson,51
nbaactionstarringdavidrobinson,51
nbaactionstarringdavidrobinson,51
nbaactionstarringdavidrobinson,51
nbaactionstarringdavidrobinson,51
nbaactionstarringdavidrobinson,51
nbaactionstarringdavidrobinson,51
nbaactionstarringdavidrobinson,51
nbaactionstarringdavidrobinson,51
nbaactionstarringdavidrobinson,51
nbaactionstarringdavidrobinson,51
nbaactionstarringdavidrobinson,51
nbaactionstarringdavidrobinson,51
nbaactionstarringdavidrobinson,51
nbaactionstarringdavidrobinson,51
