game_id,region_id
aaharimanada,9
aerialassault,9
aladdin8bit,9
alien3,9
aliensyndrome,9
arlielcrystaldensetsu,9
axbattleraloga,9
supermonacogp2,9
supermonacogp2,9
bakubakuanimal,9
bareknuckle,9
bareknuckle2,9
batmanforever,9
batmanreturnsgg,9
battletoads,9
berlinnokabe,9
bishoujosenshisailormoonsgg,9
busterball,9
busterfight,9
carlicence,9
castleofillusion8bit,9
chuckrock,9
cocacolakid,9
columns,9
columns,9
crayonshinchantkp,9
devilish,9
deepducktrouble,9
donaldnomagicalworld,9
doraemonnoranosukenoyabou,9
doraemonwakuwakupocketparadise,9
dragoncrystal,9
dunkkids,9
dynamiteheaddy,9
eccothedolphin,9
ecco2ttot,9
eternallegend,9
eternallegend,9
midimaze,9
fantasyzonegear,9
fantasyzonegear,9
fifainternationalsoccer,9
foremanforreal,9
frayshugyouhen,9
fredcouplesgolf,9
slamdunksens5,9
galaga91,9
gamblepanic,9
gamblerjikochuushinha,9
gamblerjikochuushinha,9
ganbaregorby,9
garoudensetsuspecial,9
gearstadium,9
gearstadiumheisenban,9
gsonic,9
ggaleste,9
ggaleste2,9
ggaleste3,9
ggportraitpaichen,9
ggportraityuukiakira,9
glocairbattle,9
glocairbattle,9
godzillakaijuudaishingeki,9
gprider,9
gprider,9
griffin,9
gunstarheroes,9
halleywars,9
headbuster,9
heavyweightchamp,9
honoonotoukyuujidodgedanpeisega,9
houseoftarot,9
hyokkorihoyutanjimahjnd,9
hyperproyakyuu92,9
masterofdarkness,9
jleagueggprostriker94,9
jleaguesoccerdreameleven,9
joemontanafootball8bit,9
cuebrick,9
jurassicparksega8bit,9
kaitousainttail,9
kenyuudensetsuyaiba,9
kickandrush,9
kineticconnection,9
kishindoujinzenki,9
kunichannogametengoku,9
kunichannogametengokupart2,9
lemmings,9
donaldducknoluckydime,9
lunarsanposurugakuen,9
madoumonogatariadokidokivacation,9
madoumonogatari13tsunomadoukyuu,9
madoumonogatari2arle16sai,9
madoumonogatari3kyuukyokujoousama,9
madoumonogatari3kyuukyokujoousama,9
magicknightrayearth,9
magicknightrayearth2momk,9
magicalpuzzlepopils,9
magicaltaruruutokungg,9
landofillusion,9
mappy,9
megamitenseigaidenlastbible,9
megamitenseigaidenlastbiblespecial,9
legendofillusion,9
moldorianhikaritoyaminosister,9
wonderboy3tdt,9
mortalkombat,9
mortalkombat2,9
nazopuyo,9
nazopuyo,9
nazopuyo2,9
nazopuyoarlenoroux,9
nbajam,9
nbajamte,9
nekodaisuki,9
nflquarterbackclub95,9
ninjagaiden,9
ninkuu,9
ninkuu2tenm,9
ninkuugaidenhiroyukidaikatsugeki,9
nomosworldseriesbaseball,9
olympicgold,9
winterolympicgames,9
outrun,9
outrun,9
pacman,9
panzerdragoonmini,9
pengo,9
petclubinudaisuki,9
phantasystaradventure,9
