game_id,tag_id
aaharimanada,198
aerialassault,319
aladdin8bit,80
alien3,10
aliensyndrome,166
arlielcrystaldensetsu,409
axbattleraloga,236
supermonacogp2,400
supermonacogp2,401
bakubakuanimal,373
bareknuckle,315
bareknuckle2,315
batmanforever,46
batmanreturnsgg,11
battletoads,188
berlinnokabe,312
bishoujosenshisailormoonsgg,149
busterball,421
busterfight,349
carlicence,209
castleofillusion8bit,63
chuckrock,119
cocacolakid,142
columns,371
columns,375
crayonshinchantkp,360
devilish,40
deepducktrouble,58
donaldnomagicalworld,107
doraemonnoranosukenoyabou,70
doraemonwakuwakupocketparadise,360
dragoncrystal,239
dunkkids,324
dynamiteheaddy,92
eccothedolphin,30
ecco2ttot,30
eternallegend,247
eternallegend,248
midimaze,411
fantasyzonegear,258
fantasyzonegear,259
fifainternationalsoccer,297
foremanforreal,197
frayshugyouhen,264
fredcouplesgolf,469
slamdunksens5,436
galaga91,256
gamblepanic,202
gamblerjikochuushinha,336
gamblerjikochuushinha,337
ganbaregorby,38
garoudensetsuspecial,352
gearstadium,428
gearstadiumheisenban,431
gsonic,127
ggaleste,262
ggaleste2,262
ggaleste3,262
ggportraitpaichen,201
ggportraityuukiakira,201
glocairbattle,413
glocairbattle,414
godzillakaijuudaishingeki,274
gprider,403
gprider,404
griffin,265
gunstarheroes,167
halleywars,262
headbuster,418
heavyweightchamp,355
honoonotoukyuujidodgedanpeisega,284
houseoftarot,210
hyokkorihoyutanjimahjnd,1
hyperproyakyuu92,434
masterofdarkness,125
jleagueggprostriker94,455
jleaguesoccerdreameleven,454
joemontanafootball8bit,440
cuebrick,219
jurassicparksega8bit,158
kaitousainttail,360
kenyuudensetsuyaiba,70
kickandrush,448
kineticconnection,212
kishindoujinzenki,70
kunichannogametengoku,341
kunichannogametengokupart2,203
lemmings,363
donaldducknoluckydime,58
lunarsanposurugakuen,247
madoumonogatariadokidokivacation,241
madoumonogatari13tsunomadoukyuu,241
madoumonogatari2arle16sai,241
madoumonogatari3kyuukyokujoousama,241
madoumonogatari3kyuukyokujoousama,242
magicknightrayearth,243
magicknightrayearth2momk,172
magicalpuzzlepopils,218
magicaltaruruutokungg,257
landofillusion,63
mappy,331
megamitenseigaidenlastbible,247
megamitenseigaidenlastbiblespecial,407
legendofillusion,63
moldorianhikaritoyaminosister,247
wonderboy3tdt,162
mortalkombat,350
mortalkombat2,350
nazopuyo,224
nazopuyo,225
nazopuyo2,222
nazopuyoarlenoroux,232
nbajam,278
nbajamte,278
nekodaisuki,415
nflquarterbackclub95,285
ninjagaiden,25
ninkuu,190
ninkuu2tenm,353
ninkuugaidenhiroyukidaikatsugeki,47
nomosworldseriesbaseball,423
olympicgold,282
winterolympicgames,473
outrun,389
outrun,392
pacman,332
panzerdragoonmini,268
pengo,48
petclubinudaisuki,273
phantasystaradventure,173
phantasystargaiden,247
pocketjansou,338
popbreaker,329
popeyebeachvolleyball,459
proyakyuuggleague,426
proyakyuuggleague94,432
psychicworld,164
puttandputter,445
puyopuyo,377
puyopuyo2,371
tantr,365
ichidantr,365
puzzlebobble,373
rastansaga,96
riddickboweboxing,357
ristar,92
robocop3,170
royalstone,249
ryuukyuu,362
samuraispirits,192
scartchgolf,446
sdgundamwinnershistory,420
shadamcrusaderho,247
shanghai2,322
shanghai2,323
shikinjou,216
shiningforcegaiden,254
shiningforcegaiden,255
shiningforcegaiden2,254
shiningforcegaidenfc,254
slider,18
smashtv,166
sonicthehedgehog8bit,130
sonicthehedgehog8bit,135
sonicthehedgehog28bit,130
sonicthehedgehog28bit,138
sonicandtails,127
sonicandtails2,127
sonicdrift,387
sonicdrift2,393
soniclabyrinth,36
soukoban,215
spaceharrier,269
stargategg,366
supercolumns,370
supergolf,465
supergolf,467
supermomotaroudetetsu3,340
supermonacogp,397
sylvantale,236
t2thearcadegame,267
tailsadventure,123
tailsskypatrol,39
taisenmahjonghaopai,338
taisenmahjonghaopai,339
taisenmahjonghaopai,338
taisengatadaisenryakug,416
taisengatadaisenryakug,417
taitochasehq,228
tamaandfriends3ckt,200
tatakaeproyakyuutwinleague,431
tempojr,92
terminator2judgmentday,7
theaddamsfamily8bit,73
theggshinobi,92
theggshinobi,94
theggshinobi2,117
theincrediblecrashdummies8bit,301
thelionking,84
theproyakyuu91,434
thequizgearfight,379
thesimpsonsbvtw,91
tomandjerrythemovie,73
toraretetamaruka,34
truelies,169
ultimatesoccer,451
virtuafightermini,345
wagyanland,148
wimbledon,326
wonderboy,139
woodypop,40
worldderby,462
yuyuhakushohng,182
yuyuhakusho2gnnt,328
zangear,419
zooltnotnthd,143
5in1funpak,307
aerialassault,319
aladdin8bit,77
aladdin8bit,88
alien3,10
andreagassitennis,299
arcadeclassics,330
archrivals,435
arena,24
arielthelittlemermaid,20
asterixatgr,109
axbattleraloga,234
supermonacogp2,398
bakubakuanimal,371
thesimpsonsbmrm,91
batmanforever,46
batmanreturnsgg,11
gearstadium,427
battleshipgg,175
battletoads,188
beavisandbuttheadgg,103
bonkerswaxup,77
bramstokersdracula8bit,76
bubblebobble,313
bugsbunnyyindoubletrouble,64
puzzlebobble,371
caesarspalace,334
caesarspalace,335
captainamericaandtheavengers,2
casinofunpak,179
castleofillusion8bit,60
chakan,49
taitochasehq,228
cheesecatastrophessg,65
chicagosyndicate,13
choplifter3,310
chuckrock,119
chuckrock2soc,97
cjelephantfugitive,92
cliffhanger8bit,73
clutchhitter,422
columns,371
columns,374
coolspot,141
linusspaceheadscosmiccrusade,147
arlielcrystaldensetsu,408
cutthroatisland,195
deepducktrouble,57
deepducktrouble,59
shadamcrusaderho,244
desertspeedtrapsrrawec,64
desertstrike,260
devilish,40
doubledragon,185
puyopuyo,376
dragontbls,73
dragoncrystal,237
dynamiteheaddy,92
earthwormjim,101
eccothedolphin,28
ecco2ttot,28
evanderholyfieldsboxing,356
f1,402
f15strikeeagle,272
fantasticdizzy,174
fantasyzonegear,258
garoudensetsuspecial,350
fifainternationalsoccer,298
fifasoccer96,453
foremanforreal,197
frankthomasbighurtbaseball,275
fredcouplesgolf,468
glocairbattle,412
garfieldcaughtintheact,103
gearworks,215
heavyweightchamp,359
gprider,403
greendog,101
halleywars,262
homealonesega,6
hook,75
indianajonesandthelastcrusadetag,114
ironmanxomanowarinheavymetalgg,113
jamespond2codenamerobocod,97
jeopardy,385
jeopradysportsedition,385
joemontanafootball8bit,440
strider2usg,92
judgedredd,171
cuebrick,219
junglestrike,260
jurassicparksega8bit,158
kawasakisuperbikechallengegg,406
klax,226
rattrap,154
landofillusion,60
lastactionhero,45
legendofillusion,60
lemmings,363
madden96,286
maddennfl95,288
magicalpuzzlepopils,218
marblemadness,17
megaman,117
mickeysultimatechallenge,204
micromachines,394
mightymorphinpowerrangersgg,342
mightymorphinpowerrangersthemoviegg,346
mlbpabaseball,276
monstertruckwars,227
mortalkombat,350
mortalkombat2,350
mspacman,302
mspacman,303
nbaactionstarringdavidrobinson,437
nbajam,278
nbajam,279
nbajamte,278
nfl95,441
nflquarterbackclub95,285
nflquarterbackclub96,287
nhlallstarhockey,291
nhlhockey,447
ninjagaiden,24
olympicgold,282
winterolympicgames,473
outruneuropa,229
pacattack,378
pacman,332
pacman,333
paperboy,17
paperboy2,18
petesamprastennis,458
pgatourgolf,471
pgatourgolf,472
pgatourgolf2,470
pgatour96,470
phantom2040gg,156
pinballdreams,211
pokerfacepaulsblackjack,176
pokerfacepaulsgin,176
pokerfacepaulspoker,176
pokerfacepaulssolitaire,176
predator2,168
primalrage,350
princeofpersia,26
psychicworld,163
puttandputter,444
questfortheshavenyaksrhands,103
rbibaseball94,429
rcgrandprix,461
wonderboy,139
riddickboweboxing,356
riseoftherobots,193
ristar,92
roadrash,230
robocop3,170
robocopversustheterminator,165
samuraispirits,191
scartchgolf,446
shaqfu,194
shiningforcegaiden2,251
sidepocket,361
slider,18
solitairefunpak,176
ryuukyuu,362
sonicthehedgehog8bit,130
sonicthehedgehog8bit,132
sonicthehedgehog28bit,130
sonicthehedgehog28bit,136
gsonic,127
sonicandtails,127
sonicandtails,137
sonicdrift2,393
soniclabyrinth,36
sonicspinball,150
sonicspinball,153
sonicandtails2,127
smashtv,166
spaceharrier,269
spidermanrotss,72
spidermanxmeninarcaderevenge,3
spidermanvsthekingpin8bit,71
sportsillustratedcfb,277
sportstrivia,380
sportstriviace,380
startrekthenextgeneration,271
startrekgenerationsbtn,270
starwars,145
stargategg,366
bareknuckle,315
bareknuckle,317
bareknuckle2,315
superbattletank,266
supercolumns,367
supergolf,465
supermonacogp,396
superoffroad,389
superspaceinvaders,321
superstarwarsrotj,157
surfninjas,6
t2thearcadegame,267
talespinsega,56
tailsadventure,123
tazinescapefrommars,67
tazmania8bit,64
tempojr,92
kickandrush,448
terminator2judgmentday,7
tesserae,213
theaddamsfamily8bit,73
theadventuresofbatmanandrobin,21
theberenstainbearscampingadventure,49
thechessmaster,180
theggshinobi,92
theggshinobi2,117
theincrediblecrashdummies8bit,301
theincrediblehulk,43
theitchyandscratchygame,90
thejunglebook,77
thejunglebook,88
thelionking,81
thelionking,85
thelostworldjurassicpark,89
theluckydimecapersdd,57
themajorsprobaseball,433
thesimpsonsbvtsm,32
thesimpsonsbvtw,91
theterminator,8
tomandjerrythemovie,73
truelies,169
urbanstrike,260
masterofdarkness,125
virtuafightermini,344
vrtroopers,189
wheeloffortunefeaturingvannawhite,460
wimbledon,326
woodypop,40
worldclassleaderboard,465
worldcupusa94,457
proyakyuuggleague,424
proyakyuuggleague,425
tatakaeproyakyuutwinleague,429
wwfraw,199
wwfwrestlemaniascc,199
xmengg,4
xmengamesmasterslegacy,4
xmenmojoworld,4
zooltnotnthd,143
zoop,213
aerialassault,319
aladdin8bit,77
alien3,10
aliensyndrome,166
arena,24
arielthelittlemermaid,20
asterixatgr,111
asterixatsm,304
axbattleraloga,234
supermonacogp2,398
bakubakuanimal,371
batmanforever,46
batmanreturnsgg,11
batmanreturnsgg,12
battletoads,188
beavisandbuttheadgg,103
bonkerswaxup,77
bramstokersdracula8bit,76
bugsbunnyyindoubletrouble,64
castleofillusion8bit,60
chakan,49
championshiphockey,290
cheesecatastrophessg,65
chuckrock,119
chuckrock2soc,97
chuckrock2soc,98
cjelephantfugitive,92
columns,371
coolspot,141
linusspaceheadscosmiccrusade,147
arlielcrystaldensetsu,408
arlielcrystaldensetsu,410
daffyduckinhollywood,66
deepducktrouble,57
shadamcrusaderho,244
desertspeedtrapsrrawec,66
desertstrike,261
devilish,40
devilish,42
doubledragon,185
doubledragon,187
puyopuyo,376
dragontbls,73
dragoncrystal,237
dropzone,311
dynamiteheaddy,92
earthwormjim,101
eccothedolphin,28
ecco2ttot,28
ernieelsgolf,464
evanderholyfieldsboxing,356
evanderholyfieldsboxing,358
f1,402
f1worldchampionshipedition,402
f15strikeeagle,272
ganbaregorby,35
fantasyzonegear,258
fantasticdizzy,174
garoudensetsuspecial,350
fifainternationalsoccer,298
fifasoccer96,453
glocairbattle,412
galaga91,256
garfieldcaughtintheact,103
heavyweightchamp,359
gprider,403
halleywars,262
homealonesega,6
hook,75
hurricanes,100
indianajonesandthelastcrusadetag,114
jamesbond007td,121
jamespond2codenamerobocod,97
jamespond2codenamerobocod,99
jamespond3operationstarfish,122
joemontanafootball8bit,440
strider2usg,92
strider2usg,102
judgedredd,171
jurassicparksega8bit,158
kawasakisuperbikechallengegg,406
klax,226
rattrap,154
landofillusion,60
legendofillusion,60
lemmings,363
madden96,286
magicalpuzzlepopils,218
marblemadness,17
markosmagicfootball,118
masterofdarkness,125
megaman,117
globalgladiators,141
globalgladiators,144
micromachines,394
micromachines2tt,386
mightymorphinpowerrangersgg,342
mightymorphinpowerrangersthemoviegg,346
monstertruckwars,227
mortalkombat,350
mortalkombat2,350
mortalkombat3,354
nbajam,278
nbajamte,278
nflquarterbackclub95,285
nhlhockey,447
ninjagaiden,24
olympicgold,282
winterolympicgames,473
winterolympicgames,474
outrun,389
outrun,390
outruneuropa,229
paperboy,17
pengo,48
petesamprastennis,458
pgatourgolf,471
pgatourgolf2,470
pgatour96,470
phantom2040gg,156
ggaleste2,262
powerdrive,475
predator2,168
primalrage,350
princeofpersia,26
psychicworld,163
puttandputter,444
questfortheshavenyaksrhands,103
ristar,92
riseoftherobots,193
roadrash,230
roadrash,231
robocop3,170
robocopversustheterminator,165
sinkorswim,309
segagamepack4in1,205
sensiblesoccerec,296
slider,18
smashtv,166
ryuukyuu,362
sonicthehedgehog8bit,130
sonicthehedgehog28bit,130
gsonic,127
sonicandtails,127
sonicdrift2,393
soniclabyrinth,36
sonicspinball,150
sonicandtails2,127
spaceharrier,269
spidermanrotss,72
spidermanvsthekingpin8bit,71
starwars,145
starwars,146
stargategg,366
bareknuckle,315
bareknuckle,318
bareknuckle2,315
strikergg,450
supercolumns,367
superkickoff,325
supermonacogp,396
superoffroad,389
superspaceinvaders,321
superstarwarsrotj,157
supermantmos,53
supermantmos,55
t2thearcadegame,267
tailsadventure,123
talespinsega,56
tarzanlordofthejungle,49
tazinescapefrommars,67
tazmania8bit,64
tempojr,92
