name,publisher_id
Absolute,1
Acclaim,2
Acclaim/Tec Toy,3
Adrenalin,4
Arena,5
Bandai,6
Black Pearl,7
Black Pearl/Borta,8
CRI,9
Codemasters,10
Compile,11
Core Design,12
Daou Infosys,13
Data East,14
Domark,15
Domark/Tengen,16
Electronic Arts,17
Electronic Arts Victor,18
Elite,19
Extreme,20
Face,21
Flying Edge,22
Game Arts,23
GameTek,24
Gametech,25
Genki,26
Gremlin,27
HOT-B,28
Hi Tech Expressions,29
Hudson,30
Infocom,31
Infogrames,32
Innovation Tech,33
Interplay,34
Kaneko,35
Kixx,36
M2,37
Majesco,38
Masaya,39
Micro Cabin,40
MicroProse,41
Micronet,42
Mindscape,43
NAMCO,44
NAMCOT,45
Nayuta,46
Playmates,47
Psygnosis,48
Reno,49
Riverhill,50
SEGA,51
SEGA/M2,52
SEGA/Majesco,53
SEGA/Virgin,54
SIECO,55
SIMS,56
SIMS/SEGA,57
Sage's Creation,58
Samsung,59
Sanritsu,60
Sigma,61
Sony Imagesoft,62
Spectrum HoloByte,63
Sunsoft,64
SystemSoft,65
Taito,66
Takara,67
Tec Toy,68
TecMagik,69
Technōs,70
Tengen,71
Tengen/Domark,72
Time Warner,73
Tradewest,74
Tsukuda Ideal,75
U.S.Gold,76
U.S.Gold/Tec Toy,77
VIC Tokai,78
Viacom,79
Viacom New Media,80
Victor,81
Virgin,82
Virgin/SEGA,83
Wolf Team,84
