tag_name,tag_id
#players:1 #genre:action #based #lang:ja,1
#players:1 #genre:action #based:marvel #port:arcade #lang:en,2
#players:1 #genre:action #based:marvel #search:feature>spiderman>xmen #lang:en,3
#players:1 #genre:action #based:marvel #search:feature>xmen #lang:en,4
#players:1 #genre:action #based:marvel #search:feature>xmen #lang:en #unfinished:beta,5
#players:1 #genre:action #based:movie #lang:en,6
#players:1 #genre:action #based:movie #port:nintendo>famicom #lang:en,7
#players:1 #genre:action #based:movie #port:sega>megadrive #lang:en,8
#players:1 #genre:action #based:movie #port:sega>megadrive #reboxed:classicedition #lang:en,9
#players:1 #genre:action #based:movie #search:feature>alien #port:sega>megadrive #lang:en,10
#players:1 #genre:action #based:movie #search:feature>batman #lang:en,11
#players:1 #genre:action #based:movie #search:feature>batman #reboxed:classicedition #lang:en,12
#players:1 #genre:action #lang:en,13
#players:1 #genre:action #lang:en #unfinished:beta,14
#players:1 #genre:action #lang:en #unfinished:beta #alt,15
#players:1 #genre:action #lang:en #unfinished:proto,16
#players:1 #genre:action #port:arcade #lang:en,17
#players:1 #genre:action #port:commodore>amiga #lang:en,18
#players:1 #genre:action #port:commodore>amiga #lang:en #unfinished:beta,19
#players:1 #genre:action #port:sega>megadrive #based:movie:disney #lang:en,20
#players:1 #genre:action #save:password #based #search:feature>batman #lang:en,21
#players:1 #genre:action #save:password #based #search:feature>batman #lang:en #unfinished:beta,22
#players:1 #genre:action #save:password #based #search:feature>batman #lang:en #unfinished:beta #alt,23
#players:1 #genre:action #save:password #lang:en,24
#players:1 #genre:action #save:password #lang:ja,25
#players:1 #genre:action #save:password #port:apple>apple2 #lang:en,26
#players:1 #genre:action #save:password #port:apple>apple2 #lang:en #unfinished:beta,27
#players:1 #genre:action #save:password #port:sega>megadrive #lang:en,28
#players:1 #genre:action #save:password #port:sega>megadrive #lang:en #unfinished:beta,29
#players:1 #genre:action #save:password #port:sega>megadrive #lang:ja,30
#players:1 #genre:action #search:keyword>official #search:feature>xmen #lang:en,31
#players:1 #genre:action:adventure #based:simpsons #port:nintendo>famicom #lang:en,32
#players:1 #genre:action:minigames #port:sega>megadrive #based #lang:en #unfinished:proto,33
#players:1 #genre:action:puzzle #based:movie #lang:ja,34
#players:1 #genre:action:puzzle #lang:en,35
#players:1 #genre:action:puzzle #search:feature>sonic #lang:en,36
#players:1 #genre:action:puzzle #search:feature>sonic #lang:en #rerelease:virtualconsole>3ds,37
#players:1 #genre:action:puzzle #search:keyword>endorsed #lang:en,38
#players:1 #genre:action:shmup>h #lang:en,39
#players:1 #genre:action>blockbreaker #lang:en,40
#players:1 #genre:action>blockbreaker #port:arcade #lang:en #unfinished:proto,41
#players:1 #genre:action>blockbreaker #reboxed:classicedition #lang:en,42
#players:1 #genre:action>hackandslash #based:marvel #lang:en,43
#players:1 #genre:action>hackandslash #based:marvel #reboxed:kixxedition #lang:en,44
#players:1 #genre:action>hackandslash #based:movie #lang:en,45
#players:1 #genre:action>hackandslash #based:movie #search:feature>batman #lang:en,46
#players:1 #genre:action>maze #based:manganime #lang:ja,47
#players:1 #genre:action>maze:puzzle #port:arcade #lang:en,48
#players:1 #genre:action>platformer #based #lang:en,49
