name,developer_id
Absolute,1
Acclaim,2
Aicom,3
Al Baker & Associates,4
Alpha Denshi/SNK,5
Ancient,6
Ancient/SEGA,7
Arc Developments,8
Arc Developments/Software Creations,9
Arc System Works/Technōs,10
Aspect,11
Aspect/SEGA,12
Aspect/SEGA CS2,13
Audiogenic/Fox Williams,14
BITS/The Black Team,15
Bit Managers,16
BlueSky,17
C0DE T0 G0/Bullfrog,18
CRYO,19
Chameleon,20
Clover,21
Codemasters,22
Compile,23
Compile/Irem,24
Compile/SEGA CS2,25
Compile/Taito,26
Core Design,27
Core Design/Krisalis,28
Cream/Taito,29
Cross Talk,30
Daou Infosys,31
Daou Infosys/Open Corp,32
Data Design Interactive/The Bitmap Brothers,33
Developer Resources/Atari,34
Domark/The Kremlin,35
Eden,36
Epyx/TecMagik,37
Eurocom,38
FA Soft/Fresh Fishes,39
Graftgold,40
Graftgold/Sunsoft,41
Gremlin,42
Hello Soft,43
HiCom,44
HiCom/Konami,45
HiCom/NAMCO,46
HiCom/SEGA,47
ICM/SEGA,48
ITL/Taito,49
Ian Wall/SEGA,50
Iguana/Midway,51
Images,52
Imagineering/Arc Developments,53
Imagitec Design/Electronic Arts,54
Interactive Studios,55
Japan System House,56
Jumbo/Konami,57
Konami,58
Krisalis,59
M2,60
M2/SEGA,61
MBiTM/Taito,62
Matsuhita Electric,63
Microsmiths/Sierra,64
Millenium,65
Minato Giken/Treasure,66
Mirrorsoft/The Bitmap Brothers,67
NAMCO,68
NMS,69
Natsume/Taito,70
Natsume/Technōs,71
Nexa,72
Novotrade,73
Open Corp,74
Open Corp/Game Line,75
Open Corp/Panda,76
Opera House,77
Optimus,78
Parker Brothers/Utopia,79
Polygames,80
Probe,81
Probe/Grey Team,82
Probe/Krisalis,83
Prosoft,84
Rage Software,85
Realtime,86
SEGA,87
SEGA CS2,88
SEGA InterActive,89
SEGA/Arc System Works,90
SEGA/Arc System Works/Irem,91
SEGA/Bally Midway,92
SEGA/Compile,93
SEGA/Coreland,94
SEGA/Data East,95
SEGA/Epyx,96
SEGA/Falcom,97
SEGA/First Star,98
SEGA/Kogado,99
SEGA/Konami,100
SEGA/Konami/Jaleco,101
SEGA/NAMCO/Konami,102
SEGA/Nexa,103
SEGA/Origin System,104
SEGA/Paul Hutchinson,105
SEGA/Sanritsu,106
SEGA/Seibu Kaihatsu,107
SEGA/Taito,108
SEGA/Tec Toy,109
SEGA/Tec Toy/Epyx,110
SEGA/Technopop,111
SEGA/Tokio Marine,112
SEGA/Westone,113
SEGA/Westone/Tec Toy,114
SIECO,115
SIMS,116
SIMS/Herts,117
SIMS/Minato Giken/SEGA,118
SIMS/SEGA,119
SIS Co./Nintendo,120
Salio/Tecmo,121
Sanritsu,122
Sanritsu/CAPCOM,123
Sanritsu/Opera House,124
Sanritsu/SEGA,125
Screen Software/Taito,126
Shimada Kikaku,127
Software Creations,128
Spidersoft/DMA Design,129
Spidersoft/Krisalis,130
Syrox,131
Syrox Developments,132
Taito,133
Tec Toy,134
Tec Toy/CAPCOM,135
TecMagik,136
TecMagik/NAMCO,137
TecMagik/Reflections,138
Technical Wave,139
Tecmo/Salio,140
Teeny Weeny,141
Teeny Weeny/The Black Team,142
Tengen,143
Teque London,144
The Kremlin/Atari,145
The Kremlin/Electronic Arts,146
The Kremlin/Krisalis,147
The Kremlin/Tiertex,148
Tiertex,149
Tiertex/Access,150
Tiertex/Anco,151
Tiertex/Artech,152
Tiertex/Atari,153
Tiertex/CAPCOM,154
Tiertex/Electronic Arts,155
Tiertex/Lucasfilm,156
Tiertex/SEGA,157
Tiertex/SSI,158
Tiertex/Teque,159
Titus,160
U.S.Gold/Epyx,161
VIC Tokai,162
VIC Tokai/Tec Toy,163
Venture Technologies/Brøderbund,164
Virgin,165
Virgin/Graftgold/Krisalis,166
Virtual Studio,167
WayForward/Designer,168
Westone,169
Whiteboard,170
Whiteboard/Aicom,171
Whiteboard/Epyx,172
Whiteboard/SEGA,173
Zap/Epyx,174
Zemina,175
Zemina/Konami,176
Zemina/Konami/Compile,177
Zemina/Konami/SEGA,178
Zemina/NAMCO,179
Zemina/Taito,180
