game_id,developer_id
actionfighter,87
afterburner,87
akaikoudanzillion,87
aleste,23
alexkiddmw,87
alexkiddtls,173
aliensyndrome,87
anmitsuhime,87
argosnojuujiken,121
ashura,87
astroflash,87
astrowarrior,87
bladeeagle,87
alexkiddbmxtrial,87
bomberraid,122
borgman,87
captainsilver,95
dokidokipenguinlandud,87
doubledragon,10
doubletargetcnm,87
enduroracer,87
f16ff,103
familygames,23
fantasyzone,87
fantasyzone2oonn,87
bubblebobble,133
galacticprotector,87
ghosthouse,87
dumpmatsumoto,87
maougolvellius,93
greatbaseball,87
greatbasketball,87
greatfootball,87
greatgolf,87
greaticehockey,87
greatsoccer,87
greatvolleyball,87
hajanofuuin,99
hangon,87
kimengumi,87
hokutonoken,87
hoshiwosagashite,87
kenseiden,87
kujakuou,87
lordofsword,87
lorettanoshozou,87
comicalmachinegunjoe,87
mahjongsengokujidai,122
makairetsuden,87
mastersgolf,170
mazewalker,87
megumirescue,171
nazca88,87
nekkyuukoshien,170
outrun,87
opaopa,170
phantasystar,87
pitpot,87
rtype,24
rocky,87
satellite7,87
sdi,87
seishunscandal,94
shinobi,87
solomonnokagiornn,140
spaceharrier,87
spaceharrier3d,87
worldsoccer,87
spyvsspy,98
sukebandeka2std,87
superracing,87
greattennis,87
superwonderboy,87
superwonderboymw,113
teddyboyblues,87
tenseibakabon,87
thecircuit,87
ninja,87
theproyakyuupr,87
thunderblade,87
triformation,87
woodypopsnbk,87
worldsoccer,87
ys,97
zaxxon3d,87
actionfighter,87
aerialassault,122
anmitsuhime,87
alexkiddtls,173
alexkiddmw,87
alexkiddsw,87
alf,72
aliensyndrome,125
juuouki,87
americanprofootball,87
assaultcity,122
astrowarrior,87
afterburner,87
nazca88,87
hokutonoken,87
bladeeagle,87
bomberraid,122
californiagames,96
captainsilver,95
casinogames,23
castleofillusion8bit,87
choplifter,87
chuukataisen,77
columns,87
borgman,87
deadangle,107
dicktracy,17
doubledragon,10
eswat,125
enduroracer,87
f16ff,103
f16ff,103
opaopa,170
fantasyzone2oonn,87
galaxyforce,87
gangstertown,87
ghosthouse,87
ghostbusters,23
daimakaimura,90
sdi,87
