game_id,publisher_id
actionfighter,26
afterburner,26
akaikoudanzillion,26
aleste,26
alexkiddmw,26
alexkiddtls,26
aliensyndrome,26
anmitsuhime,26
argosnojuujiken,26
ashura,26
astroflash,26
astrowarrior,26
bladeeagle,26
alexkiddbmxtrial,26
bomberraid,26
borgman,26
captainsilver,26
dokidokipenguinlandud,26
doubledragon,26
doubletargetcnm,26
enduroracer,26
f16ff,26
familygames,26
fantasyzone,26
fantasyzone2oonn,26
bubblebobble,26
galacticprotector,26
ghosthouse,26
dumpmatsumoto,26
maougolvellius,26
greatbaseball,26
greatbasketball,26
greatfootball,26
greatgolf,26
greaticehockey,26
greatsoccer,26
greatvolleyball,26
hajanofuuin,26
hangon,26
kimengumi,26
hokutonoken,26
hoshiwosagashite,26
kenseiden,26
kujakuou,26
lordofsword,26
lorettanoshozou,26
comicalmachinegunjoe,26
mahjongsengokujidai,26
makairetsuden,26
mastersgolf,26
mazewalker,26
megumirescue,26
nazca88,26
nekkyuukoshien,26
outrun,26
opaopa,26
phantasystar,26
pitpot,26
rtype,26
rocky,26
satellite7,26
sdi,26
seishunscandal,26
shinobi,26
solomonnokagiornn,26
spaceharrier,26
spaceharrier3d,26
worldsoccer,26
spyvsspy,26
sukebandeka2std,26
superracing,26
greattennis,26
superwonderboy,26
superwonderboymw,26
teddyboyblues,26
tenseibakabon,26
thecircuit,26
ninja,26
theproyakyuupr,26
thunderblade,26
triformation,26
woodypopsnbk,26
worldsoccer,26
ys,26
zaxxon3d,26
actionfighter,26
aerialassault,26
anmitsuhime,26
alexkiddtls,26
alexkiddmw,26
alexkiddsw,26
alf,26
aliensyndrome,26
juuouki,26
americanprofootball,41
assaultcity,26
astrowarrior,26
afterburner,26
nazca88,26
hokutonoken,26
bladeeagle,26
bomberraid,4
californiagames,26
captainsilver,26
casinogames,26
castleofillusion8bit,26
choplifter,26
chuukataisen,26
columns,26
borgman,4
deadangle,26
dicktracy,26
doubledragon,26
eswat,26
enduroracer,26
f16ff,26
f16ff,26
opaopa,26
fantasyzone2oonn,26
galaxyforce,4
gangstertown,26
ghosthouse,26
ghostbusters,26
daimakaimura,26
sdi,26
goldenaxe,26
goldenaxewarrior,26
maougolvellius,26
theproyakyuupr,26
greatbasketball,26
greatfootball,26
mastersgolf,26
greaticehockey,26
worldsoccer,26
greatvolleyball,26
hangonastrowarrior,26
hangonsafarihunt,26
heavyweightchamp,26
joemontanafootball8bit,26
kenseiden,26
kingsquestqftc,24
makairetsuden,26
lordofsword,26
marksmanshootingtrapshooting,26
mazewalker,26
michaeljacksonsmoonwalker,26
hajatofuuin,26
missiledefense3d,26
monopolysms,26
montezumasrevengefpj,24
seishunscandal,26
outrun,26
paperboy,26
familygames,26
dokidokipenguinlandud,26
phantasystar,26
poseidonwars3d,26
aleste,26
dumpmatsumoto,26
psychofox,26
doubletargetcnm,26
rtype,26
rcgrandprix,30
ashura,26
rambo3,26
rampage,4
rastansaga,26
americanbaseball,26
rescuemission,26
rocky,26
shanghai,26
shinobi,26
shootinggallery,26
slapshot,26
sonicthehedgehog8bit,26
spaceharrier,26
spaceharrier3d,26
kujakuou,26
spidermanvsthekingpin8bit,26
sportspadfootball,26
spyvsspy,26
striderhiryuu,26
supermonacogp,26
greattennis,26
teddyboyblues,26
ninja,26
thunderblade,26
timesoldiers,26
astroflash,26
vigilante,26
wanted,26
whereintheworldiscarmensandiego,24
superwonderboy,26
wonderboy3tdt,26
superwonderboymw,26
thecircuit,26
ys,26
zaxxon3d,26
akaikoudanzillion,26
triformation,26
aceofaces,26
actionfighter,26
actionfighter,26
aerialassault,26
afterburner,26
airrescue,26
aladdin8bit,26
anmitsuhime,26
alexkiddtls,26
alexkiddmw,26
alexkiddsw,26
alien3,5
alienstorm,26
aliensyndrome,26
juuouki,26
americanbaseball,26
americanprofootball,26
