game_id,region_id
actionfighter,9
afterburner,9
akaikoudanzillion,9
aleste,9
alexkiddmw,9
alexkiddtls,9
aliensyndrome,9
anmitsuhime,9
argosnojuujiken,9
ashura,9
astroflash,9
astrowarrior,9
bladeeagle,9
alexkiddbmxtrial,9
bomberraid,9
borgman,9
captainsilver,9
dokidokipenguinlandud,9
doubledragon,9
doubletargetcnm,9
enduroracer,9
f16ff,9
familygames,9
fantasyzone,9
fantasyzone2oonn,9
bubblebobble,9
galacticprotector,9
ghosthouse,9
dumpmatsumoto,9
maougolvellius,9
greatbaseball,9
greatbasketball,9
greatfootball,9
greatgolf,9
greaticehockey,9
greatsoccer,9
greatvolleyball,9
hajanofuuin,9
hangon,9
kimengumi,9
hokutonoken,9
hoshiwosagashite,9
kenseiden,9
kujakuou,9
lordofsword,9
lorettanoshozou,9
comicalmachinegunjoe,9
mahjongsengokujidai,9
makairetsuden,9
mastersgolf,9
mazewalker,9
megumirescue,9
nazca88,9
nekkyuukoshien,9
outrun,9
opaopa,9
phantasystar,9
pitpot,9
rtype,9
rocky,9
satellite7,9
sdi,9
seishunscandal,9
shinobi,9
solomonnokagiornn,9
spaceharrier,9
spaceharrier3d,9
worldsoccer,9
spyvsspy,9
sukebandeka2std,9
superracing,9
greattennis,9
superwonderboy,9
superwonderboymw,9
teddyboyblues,9
tenseibakabon,9
thecircuit,9
ninja,9
theproyakyuupr,9
thunderblade,9
triformation,9
woodypopsnbk,9
worldsoccer,9
ys,9
zaxxon3d,9
actionfighter,15
aerialassault,15
anmitsuhime,15
alexkiddtls,15
alexkiddmw,15
alexkiddsw,15
alf,15
aliensyndrome,15
juuouki,15
americanprofootball,15
assaultcity,15
astrowarrior,15
afterburner,15
nazca88,15
hokutonoken,15
bladeeagle,15
bomberraid,15
californiagames,15
captainsilver,15
casinogames,15
castleofillusion8bit,15
choplifter,15
chuukataisen,15
columns,15
borgman,15
deadangle,15
dicktracy,15
doubledragon,15
eswat,15
enduroracer,15
f16ff,15
f16ff,15
opaopa,15
fantasyzone2oonn,15
galaxyforce,15
gangstertown,15
ghosthouse,15
ghostbusters,15
daimakaimura,15
sdi,15
goldenaxe,15
goldenaxewarrior,15
maougolvellius,15
theproyakyuupr,15
greatbasketball,15
greatfootball,15
mastersgolf,15
greaticehockey,15
worldsoccer,15
greatvolleyball,15
hangonastrowarrior,15
hangonsafarihunt,15
heavyweightchamp,15
joemontanafootball8bit,15
kenseiden,15
kingsquestqftc,15
makairetsuden,15
lordofsword,15
marksmanshootingtrapshooting,15
mazewalker,15
michaeljacksonsmoonwalker,15
hajatofuuin,15
missiledefense3d,15
monopolysms,15
montezumasrevengefpj,15
seishunscandal,15
outrun,15
paperboy,15
familygames,15
dokidokipenguinlandud,15
phantasystar,15
poseidonwars3d,15
aleste,15
dumpmatsumoto,15
psychofox,15
doubletargetcnm,15
rtype,15
rcgrandprix,15
ashura,15
rambo3,15
rampage,15
rastansaga,15
americanbaseball,15
rescuemission,15
rocky,15
shanghai,15
shinobi,15
shootinggallery,15
slapshot,15
sonicthehedgehog8bit,15
spaceharrier,15
spaceharrier3d,15
kujakuou,15
spidermanvsthekingpin8bit,15
sportspadfootball,15
spyvsspy,15
striderhiryuu,15
supermonacogp,15
greattennis,15
teddyboyblues,15
ninja,15
thunderblade,15
timesoldiers,15
astroflash,15
vigilante,15
wanted,15
whereintheworldiscarmensandiego,15
superwonderboy,15
wonderboy3tdt,15
superwonderboymw,15
thecircuit,15
ys,15
zaxxon3d,15
akaikoudanzillion,15
triformation,15
aceofaces,3
actionfighter,3
actionfighter,3
aerialassault,3
afterburner,3
airrescue,3
aladdin8bit,3
anmitsuhime,3
alexkiddtls,3
alexkiddmw,3
alexkiddsw,3
alien3,3
alienstorm,3
aliensyndrome,3
juuouki,3
americanbaseball,3
americanprofootball,3
andreagassitennis,3
arcadesmashhits,3
assaultcity,3
assaultcity,3
asterixsega,3
asterixatgr,3
asterixatgr,11
asterixatsm,3
asterixatsm,3
astrowarriorpitpot,3
supermonacogp2,3
supermonacogp2,3
nazca88,3
backtothefuture2,3
backtothefuture3,3
bankpanic,3
bankpanic,3
basketballnightmare,3
batmanreturnssms,3
batmanreturnssms,3
battleoutrun,3
hokutonoken,3
bladeeagle,3
bomberraid,3
bonanzabros,3
bramstokersdracula8bit,3
bubblebobble,3
buggyrun,3
californiagames,3
californiagames2,3
captainsilver,3
casinogames,3
castleofillusion8bit,3
championsofeurope,3
championshiphockey,3
cheesecatastrophessg,3
cheesecatastrophessg,11
choplifter,3
chuckrock,3
chuckrock2soc,3
chuukataisen,3
columns,3
coolspot,3
linusspaceheadscosmiccrusade,3
borgman,3
daffyduckinhollywood,3
danantjf,3
deadangle,3
deepducktroublesdd,3
desertspeedtrapsrrawec,3
desertspeedtrapsrrawec,3
desertspeedtrapsrrawec,11
desertstrike,3
dicktracy,3
doubledragon,3
doublehawk,3
drrobotnikmeanbeanmachine,3
dragontbls,3
dragoncrystaltnm,3
dynamiteduke,3
dynamitedux,3
eccothedolphin,3
eswat,3
enduroracer,3
f16ff,3
f16ff,3
f1,3
fantasticdizzy,3
opaopa,3
fantasyzone2oonn,3
fireandforget2,3
lostworlds,3
glocairbattle,3
gainground,3
galaxyforce,3
gameboxserieesportes,11
gangstertown,3
gauntlet,3
heavyweightchamp,3
ghosthouse,3
ghosthouse,3
ghostbusters,3
daimakaimura,3
sdi,3
goldenaxe,3
goldenaxewarrior,3
golfamania,3
maougolvellius,3
gprider,3
theproyakyuupr,3
greatbasketball,15
greatfootball,3
mastersgolf,3
greatsoccer,3
greatvolleyball,3
hangon,3
hangon,3
heavyweightchamp,3
heroesofthelance,3
homealonesms,3
impossiblemission,3
indianajonesandthelastcrusadetag,3
indianajonesandthelastcrusadetag,3
indianajonesandthelastcrusadetag,11
jamesbond007td,3
jamespond2codenamerobocod,3
jamespond2codenamerobocod,3
joemontanafootball8bit,3
jurassicparksega8bit,3
jurassicparksega8bit,11
kenseiden,3
klax,3
rattrap,3
makairetsuden,3
landofillusionsmm,3
laserghost,3
lemmings,3
lineoffire,3
lordofsword,3
marblemadness,3
marksmanshootingtrapshootingsafarihunt,3
mastergames1,3
masterofdarkness,3
masterofdarkness,3
mastersofcombat,3
mazewalker,3
senjounoookami2,3
michaeljacksonsmoonwalker,3
globalgladiators,3
micromachines,3
hajatofuuin,3
missiledefense3d,3
monopolysms,3
monopolysms,3
mortalkombat,3
mortalkombat2,3
mspacman,3
seishunscandal,3
seishunscandal,3
seishunscandal,11
ninjagaiden,3
olympicgold,3
winterolympicgames,3
winterolympicgames,3
operationwolf,3
outrun,3
outrun3d,3
outruneuropa,3
pacmania,3
paperboy,3
familygames,3
dokidokipenguinlandud,3
pgatourgolf,3
phantasystar,3
pitfighter,3
populous,3
poseidonwars3d,3
aleste,3
powerstrike2,3
predator2,3
princeofpersia,3
dumpmatsumoto,3
psychicworld,3
psychofox,3
puttandputter,3
doubletargetcnm,3
rtype,3
rcgrandprix,3
rainbowislands,3
rambo3,3
rampage,3
rampart,3
rastansaga,3
renegade,3
rescuemission,3
roadrash,3
roadrash,3
roadrash,11
robocop3,3
robocopversustheterminator,3
robocopversustheterminator,3
rocky,3
runningbattle,3
sagaia,3
astrowarrior,11
scramblespirits,3
ashura,3
segachess,3
segaworldtournamentgolf,3
sensiblesoccerec,3
shadowdancer,3
shadowofthebeast,3
shanghai,3
shinobi,3
shootinggallery,3
slapshot,3
slapshot,3
sonicthehedgehog8bit,3
sonicthehedgehog28bit,3
sonicthehedgehog28bit,3
sonicandtails,3
sonicspinball,3
sonicspinball,11
spacegun,3
spaceharrier,3
spaceharrier3d,3
specialcriminalinvestigation,3
speedball,3
speedball,3
speedball2brutaldeluxe,3
kujakuou,3
spidermanvsthekingpin8bit,3
spidermanrotss,3
spidermanrotss,11
spyvsspy,3
spyvsspy,3
starwars,3
starwars,3
stretsofrage,3
streetsofrage2,3
striderhiryuu,3
strider2usg,3
submarineattack,3
summergames,3
superkickoff,3
supermonacogp,3
superoffroad,3
smashtv,3
superspaceinvaders,3
greattennis,3
