game_id,tag_id
actionfighter,194
afterburner,360
akaikoudanzillion,155
aleste,324
alexkiddmw,164
alexkiddtls,66
aliensyndrome,425
anmitsuhime,175
argosnojuujiken,399
ashura,477
astroflash,449
astrowarrior,329
bladeeagle,364
alexkiddbmxtrial,256
bomberraid,325
borgman,37
captainsilver,54
dokidokipenguinlandud,241
doubledragon,482
doubletargetcnm,467
enduroracer,273
f16ff,371
familygames,623
fantasyzone,444
fantasyzone2oonn,313
bubblebobble,471
galacticprotector,488
ghosthouse,409
dumpmatsumoto,552
maougolvellius,296
greatbaseball,575
greatbasketball,579
greatfootball,590
greatgolf,632
greaticehockey,597
greatsoccer,605
greatvolleyball,618
hajanofuuin,299
hangon,275
kimengumi,207
hokutonoken,395
hoshiwosagashite,208
kenseiden,65
kujakuou,182
lordofsword,179
lorettanoshozou,210
comicalmachinegunjoe,353
mahjongsengokujidai,247
makairetsuden,432
mastersgolf,629
mazewalker,213
megumirescue,63
nazca88,1
nekkyuukoshien,573
outrun,253
opaopa,464
phantasystar,300
pitpot,391
rtype,314
rocky,586
satellite7,460
sdi,489
seishunscandal,418
shinobi,199
solomonnokagiornn,245
spaceharrier,359
spaceharrier3d,367
worldsoccer,603
spyvsspy,524
sukebandeka2std,219
superracing,266
greattennis,508
superwonderboy,414
superwonderboymw,70
teddyboyblues,99
tenseibakabon,162
thecircuit,267
ninja,428
theproyakyuupr,574
thunderblade,359
triformation,203
woodypopsnbk,51
worldsoccer,604
ys,292
zaxxon3d,370
actionfighter,196
aerialassault,319
anmitsuhime,176
alexkiddtls,69
alexkiddmw,165
alexkiddsw,104
alf,206
aliensyndrome,426
juuouki,55
americanprofootball,593
assaultcity,347
astrowarrior,330
afterburner,361
nazca88,2
hokutonoken,397
bladeeagle,365
bomberraid,326
californiagames,644
captainsilver,55
casinogames,236
castleofillusion8bit,78
choplifter,437
chuukataisen,443
columns,505
borgman,39
deadangle,356
dicktracy,10
doubledragon,483
eswat,20
enduroracer,274
f16ff,372
f16ff,373
opaopa,465
fantasyzone2oonn,315
galaxyforce,361
gangstertown,499
ghosthouse,410
ghostbusters,34
daimakaimura,20
sdi,490
goldenaxe,221
goldenaxewarrior,295
maougolvellius,297
theproyakyuupr,576
greatbasketball,580
greatfootball,591
mastersgolf,630
greaticehockey,598
worldsoccer,607
greatvolleyball,619
hangonastrowarrior,435
hangonsafarihunt,280
heavyweightchamp,549
joemontanafootball8bit,594
kenseiden,67
kingsquestqftc,209
makairetsuden,433
lordofsword,180
marksmanshootingtrapshooting,343
mazewalker,214
michaeljacksonsmoonwalker,10
hajatofuuin,301
missiledefense3d,348
monopolysms,382
montezumasrevengefpj,104
seishunscandal,419
outrun,254
paperboy,20
familygames,624
dokidokipenguinlandud,242
phantasystar,301
poseidonwars3d,358
aleste,326
dumpmatsumoto,551
psychofox,104
doubletargetcnm,468
rtype,316
rcgrandprix,625
ashura,476
rambo3,346
rampage,461
rastansaga,109
americanbaseball,577
rescuemission,347
rocky,547
shanghai,502
shinobi,200
shootinggallery,342
slapshot,599
sonicthehedgehog8bit,147
spaceharrier,361
spaceharrier3d,368
kujakuou,163
spidermanvsthekingpin8bit,87
sportspadfootball,589
spyvsspy,527
striderhiryuu,109
supermonacogp,568
greattennis,509
teddyboyblues,100
ninja,429
thunderblade,361
timesoldiers,475
astroflash,450
vigilante,218
wanted,342
whereintheworldiscarmensandiego,217
superwonderboy,415
wonderboy3tdt,186
superwonderboymw,71
thecircuit,268
ys,294
zaxxon3d,368
akaikoudanzillion,156
triformation,204
aceofaces,374
actionfighter,196
actionfighter,197
aerialassault,319
afterburner,361
airrescue,311
aladdin8bit,132
anmitsuhime,176
alexkiddtls,69
alexkiddmw,165
alexkiddsw,104
alien3,407
alienstorm,224
aliensyndrome,426
juuouki,55
americanbaseball,576
americanprofootball,592
andreagassitennis,511
arcadesmashhits,441
assaultcity,339
assaultcity,347
asterixsega,402
asterixatgr,126
asterixatgr,141
asterixatsm,404
asterixatsm,405
astrowarriorpitpot,455
supermonacogp2,272
supermonacogp2,271
