name,publisher_id
Aaronix,1
Acclaim,2
Acclaim/Tec Toy,3
Activision,4
Arena,5
Arena/Acclaim,6
Clover,7
Codemasters,8
Daou Infosys,9
Domark,10
FA Soft,11
Flying Edge,12
Flying Edge/Tec Toy,13
Game Line,14
HES,15
HTH,16
HiCom,17
Hwaseong,18
Image Works,19
Infogrames,20
Joy Soft,21
Keun-Woo Trading,22
Kixx,23
Parker Brothers,24
Psygnosis,25
SEGA,26
SEGA/Psygnosis,27
SIECO,28
Samsung,29
Seismic,30
Sony Imagesoft,31
Taito,32
Tec Toy,33
TecMagik,34
Tengen,35
Tengen/Domark,36
U.S.Gold,37
U.S.Gold/Tec Toy,38
Virgin,39
Virgin/Tec Toy,40
Whiteboard,41
YM Soft/Hana Engineering,42
Zemina,43
