tag_name,tag_id
#players:1 #genre:action #addon:expansion>fmsoundunit #compatibility:mark3>goldcartridge1 #lang:en,1
#players:1 #genre:action #addon:expansion>fmsoundunit #lang:en,2
#players:1 #genre:action #addon:expansion>fmsoundunit #lang:en #unlicensed,3
#players:1 #genre:action #addon:expansion>fmsoundunit #port:arcade #lang:en,4
#players:1 #genre:action #addon:expansion>fmsoundunit #port:arcade #lang:en #unfinished:beta,5
#players:1 #genre:action #based:marvel #search:feature>xmen #port:sega>gamegear #lang:en,6
#players:1 #genre:action #based:movie #lang:en,7
#players:1 #genre:action #based:movie #port:commodore>c64 #lang:en,8
#players:1 #genre:action #based:movie #port:nintendo>famicom #lang:en,9
#players:1 #genre:action #based:movie #port:sega>megadrive #lang:en,10
#players:1 #genre:action #based:movie #port:sega>megadrive #lang:en #unfinished:beta,11
#players:1 #genre:action #based:movie #search:feature>batman #lang:en,12
#players:1 #genre:action #based:movie #search:feature>batman #reboxed:classicedition #lang:en,13
#players:1 #genre:action #embedded:chip>ram #based #lang:en,14
#players:1 #genre:action #embedded:chip>ram #based:movie #port:sega>megadrive #lang:en,15
#players:1 #genre:action #embedded:chip>ram #reboxed:classicedition #based #lang:en,16
#players:1 #genre:action #lang:en,17
#players:1 #genre:action #lang:en #unfinished:beta,18
#players:1 #genre:action #multigame:compilation>shinobi>ninja>makairetsuden #lang:en,19
#players:1 #genre:action #port:arcade #lang:en,20
#players:1 #genre:action #port:arcade #lang:en #rev:a,21
#players:1 #genre:action #port:arcade #lang:en #unfinished:beta,22
#players:1 #genre:action #port:arcade #lang:en #unfinished:beta>1,23
#players:1 #genre:action #port:arcade #lang:en #unfinished:beta>2,24
#players:1 #genre:action #port:arcade #lang:en #unfinished:beta>3,25
#players:1 #genre:action #port:arcade #lang:en #unfinished:demo,26
#players:1 #genre:action #port:arcade #lang:en #unlicensed,27
#players:1 #genre:action #port:commodore>amiga #lang:en,28
#players:1 #genre:action #port:commodore>amiga #lang:en #unlicensed,29
#players:1 #genre:action #port:msx #lang:en #unlicensed,30
#players:1 #genre:action #port:nintendo>famicom #based:movie #lang:en #unlicensed,31
#players:1 #genre:action #port:sega>megadrive>gamegear #based:movie:disney #lang:en,32
#players:1 #genre:action #reboxed:bluebox #port:arcade #lang:en,33
#players:1 #genre:action #save:password #based:movie #port:commodore>c64 #lang:en,34
#players:1 #genre:action #save:password #port:apple>apple2 #lang:en,35
#players:1 #genre:action #save:password #port:apple>apple2 #lang:en #unlicensed,36
#players:1 #genre:action:adventure #addon:expansion>fmsoundunit #based:manganime #compatibility:mark3>goldcartridge1 #lang:ja,37
#players:1 #genre:action:adventure #addon:expansion>fmsoundunit #based:manganime #lang:ja #unfinished:beta,38
#players:1 #genre:action:adventure #addon:expansion>fmsoundunit #lang:en,39
#players:1 #genre:action:adventure #addon:expansion>fmsoundunit #lang:en #unfinished:beta,40
#players:1 #genre:action:adventure #based:simpsons #port:nintendo>famicom #lang:en,41
#players:1 #genre:action:adventure #lang:en,42
#players:1 #genre:action:adventure #port:sega>megadrive #based:movie #lang:en,43
#players:1 #genre:action:adventure #reboxed:purplebox #based:simpsons #port:nintendo>famicom #lang:en,44
#players:1 #genre:action:adventure #save:password #port:sega>gamegear #lang:en,45
