name,developer_id
A-Wave/T's Music,1
ACC,2
Absolute,3
Access/Papyrus,4
Activision/Freestyle/Krisalis,5
Aisystem Tokyo,6
Aisystem Tokyo/Arrow,7
Aisystem Tokyo/Zuntata,8
Alexandria/Orca,9
American Laser Games,10
Arnowitz,11
BEC/Cube/Layup,12
Batlab,13
Beam,14
Bits Laboratory,15
Brian A. Rice,16
Bullfrog,17
CRC,18
CRI,19
CRYO,20
CapDisc/Philips,21
Clockwork Tortoise,22
Compile,23
Compile/LMS,24
Compton's NewMedia,25
Core Design,26
Cream,27
Crosstalk/T's Music,28
Data West,29
Delphine,30
Digital Developments,31
Digital Pictures,32
Digital Pictures/Hasbro,33
Dragnet/Kan's,34
Dynamix/Sierra,35
Eleven/T's Music,36
Extended Play,37
FTL,38
FVRING,39
Funcom,40
G-Sat/T's Music,41
Game Arts,42
Game Arts/Bits Laboratory,43
Game Arts/Bits Laboratory/CRI,44
Game Arts/Mecano,45
Game Arts/Studio Alex/Cube,46
GameTek,47
Genki/Micronet,48
Hammond & Leyland,49
Hertz,50
High Score,51
Hot-B/Darts,52
Human,53
ICOM Simulations,54
ICOM Simulations/Viacom New Media,55
Iguana,56
Imagineering,57
Infinite Laser Dog,58
Interactive Studios,59
Interplay/Delphine,60
JVC,61
KAZe/SEGA CS3,62
Koei,63
Kogado,64
Kogado/T's Music,65
Konami,66
LucasArts,67
MBA/Flashback/Ocarina System/Grouper,68
Malibu,69
Micro Design/Pandora Box,70
Micronet,71
Monkey Do/New Level,72
Mumin,73
NCS,74
New World Computing/CRI/Cube,75
Novotrade,76
Opera House,77
Orion,78
Pandora Box,79
Park Place,80
Probe/Grey Team,81
Psygnosis,82
Psygnosis/Traveller's Tales,83
ReadySoft,84
Ringler/Absolute,85
Rocket Science,86
SCi/Online Entertainment,87
SEGA,88
SEGA AM3,89
SEGA CS1,90
SEGA CS2/SEGA CS3,91
SEGA CS3/Fuji TV,92
SEGA CS3/SEGA CS1/Sonic Team/HIC,93
SEGA CS3/SEGA CS2/SEGA CS1,94
SEGA CS3/SEGA CS2/SEGA CS1/Arc System Works/Shout!,95
SEGA FALCOM,96
SEGA Interactive,97
SEGA Multimedia,98
SEGA/Foley Hi-Tech,99
SEGA/TLA,100
SIMS,101
Sculptured/The Black Team,102
Seraphic/Rit's/Winds,103
Shiny/Tommy Tallarico Studios,104
Sony Imagesoft,105
Sprytes,106
Stargames,107
Stargate,108
System Sacom/SEGA CS/DMP,109
Takeru,110
Team Megamix,111
Technosoft,112
Tecmo/T's Music,113
Telenet,114
Telenet/Opera House,115
The 8th Day,116
The Code Monkeys,117
The Code Monkeys/Stargames,118
The Code Monkeys/Stargate Films,119
The Edge/Foley Hi-Tech,120
The Kremlin,121
The Software Toolworks/LucasArts,122
Tiertex,123
Traveller's Tales,124
Traveller's Tales/Psygnosis/Disney,125
Victor,126
Virgin,127
WaterMelon,128
WayForward,129
Western Technologies,130
Westone/Hudson,131
Wolf Team,132
Wolf Team/Telenet,133
Yellow Horn,134
