game_id,screen_title_en,screen_title_native,cover_title_en,cover_title_native,release_date
arankthundertanjouhen,A-Rank Thunder: Tanjō-hen,A-Rank サンダー　誕生編,A-Rank Thunder: Tanjō-hen,A-Rank サンダー　誕生編,1993-06-25
afterarmageddongaidenmajuutoushoudeneclipse,After Armageddon Gaiden: Majū Tōshōden Eclipse,アフターハルマゲドン外伝　魔獣闘将伝エクリプス,After Armageddon Gaiden: Majū Tōshōden Eclipse,アフターハルマゲドン外伝　魔獣闘将伝エクリプス,1994-11-11
afterburner3,After Burner III,,After Burner III,After Burner III アフターバーナーIII,1992-12-18
aislelord,Aisle Lord,,Aisle Lord,,1992-05-29
alshark,Alshark,,Alshark,Alshark アルシャーク,1993-11-26
annettfutatabi,Annett Futatabi: Earnest Evans Series,アネット再び アーネスト・エバンス・シリーズ,Annett Futatabi,アネット再び,1993-03-30
aokiookamitoshirokimejikagh,Aoki Ookami to Shiroki Mejika: Genchō Hishi,蒼き狼と白き牝鹿 元朝秘史,Aoki Ookami to Shiroki Mejika: Genchō Hishi,蒼き狼と白き牝鹿 元朝秘史,1993-09-24
arcus123,Arcus I・II・III,Arcus アークス I・II・III,Arcus I・II・III,Arcus アークス I・II・III,1993-07-23
arslansenki,Arslān Senki,アルスラーン戦記,Arslān Senki: The Heroic Legend of Arslān,アルスラーン戦記 The Heroic Legend of Arslān,1993-11-19
ax101,AX-101,,AX-101,AX-101 エーエックス101,1994-03-25
ayapsychicdetectiveseriesvol3,[AÝA] Psychic Detective Series Vol 3,,[AÝA] Psychic Detective Series Vol.3,,1993-01-03
bakudenunbalancezone,Bakuden: Unbalance Zone,爆伝 Bakufu-Slump　アンバランスゾーン,Bakuden,爆伝,1994-04-22
bariarm,Bari-Arm,,Bari-Arm,,1993-07-30
battlefantasy,Battle Fantasy,,Battle Fantasy,Battle Fantasy バトル ファンタジー,1994-04-15
battlecorps,Battlecorps,,Battlecorps,Battlecorps バトルコープス,1994-09-30
blackholeassault,Black Hole Assault,,Black Hole Assault,Black Hole Assault ブラックホールアサルト,1992-10-23
buraihachigyokunoyuushidensetsu,Burai: Hachigyoku no Yūshi Densetsu,Burai 八玉の勇士伝説,Burai: Hachigyoku no Yūshi Densetsu,Burai ブライ 八玉の勇士伝説,1992-09-11
