game_id,developer_id
arankthundertanjouhen,114
afterarmageddongaidenmajuutoushoudeneclipse,70
afterburner3,19
aislelord,132
alshark,18
annettfutatabi,132
aokiookamitoshirokimejikagh,63
arcus123,132
arslansenki,12
ax101,48
ayapsychicdetectiveseriesvol3,29
bakudenunbalancezone,64
bariarm,53
battlefantasy,71
battlecorps,26
blackholeassault,71
buraihachigyokunoyuushidensetsu,79
captaintsubasacd,113
cosmicfantasystories,114
cyborg009cd,114
daihoushinden,68
darkwizardyynm,91
deathbringer,115
denninalestenobunagaandhisninjaforce,23
detonatororgun,52
devastator,133
doubleswitch,32
dragonslair,84
dungeonmaster2skullkeep,38
dynamiccc,89
earnestevans,132
eccothedolphincd,76
eccothedolphincd,76
egawasugurunosuperleaguecd,88
eyeofthebeholder,77
f1circuscd,27
fahrenheit,100
finalfight,1
finalfight,1
heavenlysymphony,92
freshcleaner,73
gamblerjikochuushinsha2gtmh,134
gamegarden,61
gamenokanzume1,88
gamenokanzume2,88
garoudensetsuspecial,40
geneitoshi,7
heavynova,71
heimdall,116
ishiihisaichinodaiseikai,41
jaguarxj220,26
jangouworldcup,126
jurassicparkcd,98
kamenriderzo,132
keiouyuugekitai,126
keiouyuugekitai,126
lethalenforcers,66
lethalenforcers,66
lethalenforcers2thewestern,66
lethalenforcers2thewestern,66
lunarthesilverstar,46
lunareternalblue,46
lunareternalblue,46
mahounoshoujosilkylip,114
microcosm,82
mightandmagic3islesofterra,75
mortalkombat,81
nbajam,56
nightstriker,6
nighttrap,33
nighttrap,33
nobunaganoyabouhaouden,63
nostalgia1907,110
orgelpsychicdetectiveseriesvol4,29
popfulmail,96
princeofpersia,15
prizefighter,32
prizefighter,32
proyakyuusuperleaguecd,88
quizscramblespecial,90
quiztonosamanoyabou,101
ranmanibunnoichibyakuranaika,74
recordoflodosswareiyuusensou,64
recordoflodosswareiyuusensou,64
riseofthedragonabladehuntermystery,43
roadblaster,132
sangokushi3,63
schwarzschild2,65
segaclassicarcadecollection,88
seimadensetsu3x3eyes,95
seireishinseikifheyarea,132
sengokudenshou,34
shadowofthebeast2,31
shadowruncd,24
shinmegamitensei,101
shiningforcecd,103
silpheed,45
simearth,42
teddyboyblues,88
solfeace,132
sonicthehedgehogcd,93
soulstar,26
rebelassault,67
starblade,112
surgicalstrike,118
switch,94
tenbu,132
tenkafubueiyuutachinohoukou,42
thethirdworldwar,71
theninjawarriors,8
thesecretofmonkeyisland,67
thunderstorm,132
thunderhawk,26
timegal,132
tomcatalley,117
uruseiyatsuradearmyfriends,43
vay,50
wakuseiwoodstockfunkyhorrorband,2
warausalesman,23
wingcommander,44
winningpost,63
wolfchild,26
wonderdog,26
wwfrageinthecagecd,102
yumemiyakatanomonogatari,109
yumimimix,45
3ninjaskickbackhook,69
ax101,48
afterburner3,19
thunderhawk,26
bariarm,53
batmanreturns,69
batmanreturns,69
battlecorps,26
bcracers,26
billwalshcollegefootball,51
blackholeassault,71
blackholeassault,71
bouncers,35
bramstokersdraculacd,82
bramstokersdraculacd,82
bramstokersdraculacd,82
bramstokersdraculamaryshelleysfrankenstein,82
brutalpawsoffury,47
cadillacsanddinosaursthesecondcataclysm,86
sensiblesoccerec,82
chuckrock,26
chuckrock2soc,26
cliffhanger,69
thunderstorm,132
comptonsinterativeencyclopedia,25
comptonsinterativeencyclopedia,25
comptonsinterativeencyclopedia,25
comptonsinterativeencyclopedia,25
corpsekiller,32
corpsekiller,32
crimepatrol,10
darkwizardyynm,91
demolitionman,9
doubleswitch,32
draculaunleashed,55
draculaunleashed,55
dragonslair,84
dune,20
dungeonexplorercd,131
dungeonmaster2skullkeep,38
earthwormjim,104
eccothedolphin,76
segaclassicsarcadecollectioneccothedolphin,76
eccothetidesoftime,76
eccothetidesoftime,76
espnbaseballtonight,105
espnnationalhockeynight,105
espnnbahangtime95,105
espnsundaynightnfl,85
eternalchampions,97
eternalchampions,97
eyeofthebeholder,77
fahrenheit,100
fahrenheit,100
garoudensetsuspecial,40
fifa94,37
finalfight,1
finalfight,1
finalfight,1
flashback,30
heavenlysymphony,92
groundzerotexas,32
groundzerotexas,32
groundzerotexas,32
heartofthealien,60
heimdall,116
hook,26
3ninjaskickbackhook,26
ironhelix,16
jaguarxj220,26
jeopardycd,3
joemontanasnflfootball,69
joemontanasnflfootball,69
jurassicparkcd,98
keiouyuugekitai,126
kidsonsite,32
lethalenforcers,66
lethalenforcers,66
lethalenforcers2thewestern,66
linksthechallengeofgolf,4
linksthechallengeofgolf,4
loadstarthelegendoftullybodine,86
windsofthunder,36
lunarthesilverstar,46
lunarthesilverstar,46
lunareternalblue,46
maddogmccree,10
maddog2thelostgold,10
powerfactory,32
makemyvideoinxs,32
makemyvideokriskross,32
makemyvideomarkymarkandthefunkybunch,32
yumemiyakatanomonogatari,109
bramstokersdraculamaryshelleysfrankenstein,82
megarace,20
mickeymaniattaomm,125
midnightraiders,108
mightymorphinpowerrangerscd,78
mortalkombat,81
whatisxeye,61
mypaint,129
nbajam,56
nflfootballtriviachallenge,21
nflsgreatestsanfranciscovsdallas,80
nhl94,51
nighttrap,33
nighttrap,33
nighttrap,33
nighttrap,33
nighttrap,33
nighttrap,33
nighttrap,33
nighttrap,33
nighttrap,33
novastorm,82
switch,94
pitfallthemayanadventure,5
popfulmail,96
powermonger,106
ultraverseprimemicrocosm,69
princeofpersia,15
prizefighter,32
prizefighter,32
prizefighter,32
prizefighter,32
puggsy,124
racingaces,49
babytrex,14
rdfglobalconflict,57
ninjahayate,132
battlefantasy,71
riseofthedragonabladehuntermystery,43
riseofthedragonabladehuntermystery,43
roadblaster,132
roadrash3do,72
denninalestenobunagaandhisninjaforce,23
samuraispirits,40
segaclassicarcadecollectionsherlockholmesconsultingdetective,88
segaclassicarcadecollectionsherlockholmesconsultingdetective,88
segaclassicsarcadecollectioneccothedolphin,88
sewershark,32
sewershark,32
sewershark,32
sewershark,32
sewershark,32
shadowofthebeast2,31
segaclassicarcadecollectionsherlockholmesconsultingdetective,54
sherlockholmesconsultingdetective2,54
sherlockholmesconsultingdetective2,54
shiningforcecd,103
shiningforcecd,103
silpheed,45
slamcitywithscottiepippen,32
slamcitywithscottiepippen,32
slamcitywithscottiepippen,32
slamcitywithscottiepippen,32
slamcitywithscottiepippen,32
slamcitywithscottiepippen,32
slamcitywithscottiepippen,32
slamcitywithscottiepippen,32
snatcher,66
solfeace,132
solfeace,132
sonicthehedgehogcd,93
sonicthehedgehogcd,93
sonicthehedgehogcd,93
soulstar,26
spaceace,84
theamazingspidermanvsthekingpin,99
theamazingspidermanvsthekingpin,99
rebelassault,67
rebelassault,67
starblade,112
stellarfire,58
supremewarrior,32
supremewarrior,32
supremewarrior,32
supremewarrior,32
supremewarrior,32
surgicalstrike,119
surgicalstrike,119
theadventuresofbatmanandrobincd,22
theadventuresofwillybeamish,58
theadventuresofwillybeamish,58
theanimals,11
thecolorsofmodernrock,32
thelawnmowermancd,87
kamenriderzo,132
flink,82
thesecretofmonkeyisland,67
thesecretofmonkeyisland,67
thesoftwaretoolworksstarwarschess,122
thesoftwaretoolworksstarwarschess,122
spaceadventurecobra2dno,28
theterminatorcd,127
thethirdworldwar,71
timegal,132
tomcatalley,117
tomcatalley,117
trivialpursuit,130
vay,50
wheeloffortunecd,3
whoshotjohnnyrock,10
wildwoody,98
wingcommander,44
wirehead,117
wolfchild,26
wonderdog,26
wonderdog,26
worldcupusa94,123
wwfrageinthecagecd,102
afterburner3,19
batmanreturns,69
batmanreturns,69
battlecorps,26
bcracers,26
shadowofthebeast2,31
billwalshcollegefootball,51
blackholeassault,71
bloodshot,121
bloodshot,121
brutalpawsoffury,47
brutalpawsoffury,47
chuckrock,26
chuckrock2soc,26
solfeacecobracommand,132
corpsekiller,32
corpsekiller,32
doubleswitch,32
draculaunleashed,55
draculaunleashed,55
draculaunleashed,55
draculaunleashed,55
dragonslair,84
dune,20
dungeonexplorercd,131
dungeonmaster2skullkeep,38
earthwormjim,104
eccothedolphin,76
eccothedolphin,76
eccothetidesoftime,76
espnbaseballtonight,105
eternalchampions,97
eyeofthebeholder,77
fahrenheit,100
fahrenheit,100
garoudensetsuspecial,40
fifa94,37
finalfight,1
heavenlysymphony,92
groundzerotexas,32
groundzerotexas,32
hook,26
jaguarxj220,26
jurassicparkcd,98
jurassicparkcd,98
jurassicparkcd,98
jurassicparkcd,98
jurassicparkcd,98
keiouyuugekitai,126
kidsonsite,32
