game_id,publisher_id
arankthundertanjouhen,49
afterarmageddongaidenmajuutoushoudeneclipse,52
afterburner3,9
aislelord,67
alshark,56
annettfutatabi,76
aokiookamitoshirokimejikagh,32
arcus123,76
arslansenki,52
ax101,52
ayapsychicdetectiveseriesvol3,16
bakudenunbalancezone,60
bariarm,28
battlefantasy,37
battlecorps,73
blackholeassault,37
buraihachigyokunoyuushidensetsu,52
captaintsubasacd,66
cosmicfantasystories,49
cyborg009cd,49
daihoushinden,73
darkwizardyynm,52
deathbringer,49
denninalestenobunagaandhisninjaforce,11
detonatororgun,26
devastator,76
doubleswitch,52
dragonslair,52
dungeonmaster2skullkeep,73
dynamiccc,52
earnestevans,76
eccothedolphincd,52
eccothedolphincd,52
egawasugurunosuperleaguecd,52
eyeofthebeholder,45
f1circuscd,42
fahrenheit,52
finalfight,52
finalfight,52
heavenlysymphony,52
freshcleaner,39
gamblerjikochuushinsha2gtmh,23
gamegarden,73
gamenokanzume1,52
gamenokanzume2,52
garoudensetsuspecial,73
geneitoshi,36
heavynova,37
heimdall,73
ishiihisaichinodaiseikai,52
jaguarxj220,73
jangouworldcup,73
jurassicparkcd,52
kamenriderzo,70
keiouyuugekitai,73
keiouyuugekitai,73
lethalenforcers,33
lethalenforcers,33
lethalenforcers2thewestern,33
lethalenforcers2thewestern,33
lunarthesilverstar,23
lunareternalblue,23
lunareternalblue,23
mahounoshoujosilkylip,49
microcosm,73
mightandmagic3islesofterra,9
mortalkombat,2
nbajam,2
nightstriker,63
nighttrap,52
nighttrap,52
nobunaganoyabouhaouden,32
nostalgia1907,62
orgelpsychicdetectiveseriesvol4,16
popfulmail,52
princeofpersia,73
prizefighter,52
prizefighter,52
proyakyuusuperleaguecd,52
quizscramblespecial,52
quiztonosamanoyabou,53
ranmanibunnoichibyakuranaika,35
recordoflodosswareiyuusensou,52
recordoflodosswareiyuusensou,52
riseofthedragonabladehuntermystery,52
roadblaster,76
sangokushi3,32
schwarzschild2,52
segaclassicarcadecollection,52
seimadensetsu3x3eyes,52
seireishinseikifheyarea,76
sengokudenshou,55
shadowofthebeast2,73
shadowruncd,11
shinmegamitensei,53
shiningforcecd,52
silpheed,23
simearth,52
teddyboyblues,6
solfeace,76
sonicthehedgehogcd,52
soulstar,73
rebelassault,73
starblade,41
surgicalstrike,52
switch,52
tenbu,76
tenkafubueiyuutachinohoukou,23
thethirdworldwar,37
theninjawarriors,63
thesecretofmonkeyisland,73
thunderstorm,76
thunderhawk,73
timegal,76
tomcatalley,52
uruseiyatsuradearmyfriends,23
vay,53
wakuseiwoodstockfunkyhorrorband,52
warausalesman,52
wingcommander,52
winningpost,32
wolfchild,73
wonderdog,73
wwfrageinthecagecd,2
yumemiyakatanomonogatari,52
yumimimix,23
3ninjaskickbackhook,58
ax101,1
afterburner3,52
thunderhawk,31
bariarm,7
batmanreturns,52
batmanreturns,52
battlecorps,13
bcracers,14
billwalshcollegefootball,20
blackholeassault,8
blackholeassault,8
bouncers,52
bramstokersdraculacd,58
bramstokersdraculacd,58
bramstokersdraculacd,58
bramstokersdraculamaryshelleysfrankenstein,58
brutalpawsoffury,24
cadillacsanddinosaursthesecondcataclysm,50
sensiblesoccerec,59
chuckrock,58
chuckrock2soc,74
cliffhanger,58
thunderstorm,52
comptonsinterativeencyclopedia,12
comptonsinterativeencyclopedia,12
comptonsinterativeencyclopedia,12
comptonsinterativeencyclopedia,12
corpsekiller,17
corpsekiller,17
crimepatrol,4
darkwizardyynm,52
demolitionman,2
doubleswitch,52
draculaunleashed,52
draculaunleashed,52
dragonslair,52
dune,74
dungeonexplorercd,52
dungeonmaster2skullkeep,31
earthwormjim,30
eccothedolphin,52
segaclassicsarcadecollectioneccothedolphin,52
eccothetidesoftime,52
eccothetidesoftime,52
espnbaseballtonight,58
espnnationalhockeynight,58
espnnbahangtime95,58
espnsundaynightnfl,58
eternalchampions,52
eternalchampions,52
eyeofthebeholder,22
fahrenheit,52
fahrenheit,52
garoudensetsuspecial,31
fifa94,20
finalfight,52
finalfight,52
finalfight,52
flashback,71
heavenlysymphony,52
groundzerotexas,58
groundzerotexas,58
groundzerotexas,58
heartofthealien,74
heimdall,31
hook,58
3ninjaskickbackhook,58
ironhelix,61
jaguarxj220,31
jeopardycd,58
joemontanasnflfootball,52
joemontanasnflfootball,52
jurassicparkcd,52
keiouyuugekitai,31
kidsonsite,17
lethalenforcers,33
lethalenforcers,33
lethalenforcers2thewestern,33
linksthechallengeofgolf,74
linksthechallengeofgolf,74
loadstarthelegendoftullybodine,50
windsofthunder,52
lunarthesilverstar,77
lunarthesilverstar,77
lunareternalblue,77
maddogmccree,4
maddog2thelostgold,4
powerfactory,58
makemyvideoinxs,52
makemyvideokriskross,58
makemyvideomarkymarkandthefunkybunch,52
yumemiyakatanomonogatari,72
bramstokersdraculamaryshelleysfrankenstein,58
megarace,69
mickeymaniattaomm,58
midnightraiders,52
mightymorphinpowerrangerscd,52
mortalkombat,5
whatisxeye,31
mypaint,54
nbajam,2
nflfootballtriviachallenge,10
nflsgreatestsanfranciscovsdallas,52
nhl94,20
nighttrap,52
nighttrap,52
nighttrap,52
nighttrap,17
nighttrap,17
nighttrap,17
nighttrap,17
nighttrap,17
