game_id,region_id
arankthundertanjouhen,6
afterarmageddongaidenmajuutoushoudeneclipse,6
afterburner3,6
aislelord,6
alshark,6
annettfutatabi,6
aokiookamitoshirokimejikagh,6
arcus123,6
arslansenki,6
ax101,6
ayapsychicdetectiveseriesvol3,6
bakudenunbalancezone,6
bariarm,6
battlefantasy,6
battlecorps,6
blackholeassault,6
buraihachigyokunoyuushidensetsu,6
captaintsubasacd,6
cosmicfantasystories,6
cyborg009cd,6
daihoushinden,6
darkwizardyynm,6
deathbringer,6
denninalestenobunagaandhisninjaforce,6
detonatororgun,6
devastator,6
doubleswitch,6
dragonslair,6
dungeonmaster2skullkeep,6
dynamiccc,6
earnestevans,6
eccothedolphincd,6
eccothedolphincd,6
egawasugurunosuperleaguecd,6
eyeofthebeholder,6
f1circuscd,6
fahrenheit,6
finalfight,6
finalfight,6
heavenlysymphony,6
freshcleaner,6
gamblerjikochuushinsha2gtmh,6
gamegarden,6
gamenokanzume1,6
gamenokanzume2,6
garoudensetsuspecial,6
geneitoshi,6
heavynova,6
heimdall,6
ishiihisaichinodaiseikai,6
jaguarxj220,6
jangouworldcup,6
jurassicparkcd,6
kamenriderzo,6
keiouyuugekitai,6
keiouyuugekitai,6
lethalenforcers,6
lethalenforcers,6
lethalenforcers2thewestern,6
lethalenforcers2thewestern,6
lunarthesilverstar,6
lunareternalblue,6
lunareternalblue,6
mahounoshoujosilkylip,6
microcosm,6
mightandmagic3islesofterra,6
mortalkombat,6
nbajam,6
nightstriker,6
nighttrap,6
nighttrap,6
nobunaganoyabouhaouden,6
nostalgia1907,6
orgelpsychicdetectiveseriesvol4,6
popfulmail,6
princeofpersia,6
prizefighter,6
prizefighter,6
proyakyuusuperleaguecd,6
quizscramblespecial,6
quiztonosamanoyabou,6
ranmanibunnoichibyakuranaika,6
recordoflodosswareiyuusensou,6
recordoflodosswareiyuusensou,6
riseofthedragonabladehuntermystery,6
roadblaster,6
sangokushi3,6
schwarzschild2,6
segaclassicarcadecollection,6
seimadensetsu3x3eyes,6
seireishinseikifheyarea,6
sengokudenshou,6
shadowofthebeast2,6
shadowruncd,6
shinmegamitensei,6
shiningforcecd,6
silpheed,6
simearth,6
teddyboyblues,6
solfeace,6
sonicthehedgehogcd,6
soulstar,6
rebelassault,6
starblade,6
surgicalstrike,6
switch,6
tenbu,6
tenkafubueiyuutachinohoukou,6
thethirdworldwar,6
theninjawarriors,6
thesecretofmonkeyisland,6
thunderstorm,6
thunderhawk,6
timegal,6
tomcatalley,6
uruseiyatsuradearmyfriends,6
vay,6
wakuseiwoodstockfunkyhorrorband,6
warausalesman,6
wingcommander,6
winningpost,6
wolfchild,6
wonderdog,6
wwfrageinthecagecd,6
yumemiyakatanomonogatari,6
yumimimix,6
3ninjaskickbackhook,8
ax101,8
afterburner3,8
thunderhawk,8
bariarm,8
batmanreturns,8
batmanreturns,8
battlecorps,8
bcracers,8
billwalshcollegefootball,8
blackholeassault,8
blackholeassault,8
bouncers,8
bramstokersdraculacd,8
bramstokersdraculacd,8
bramstokersdraculacd,8
