game_id,tag_id
arankthundertanjouhen,146
afterarmageddongaidenmajuutoushoudeneclipse,211
afterburner3,282
aislelord,200
alshark,216
annettfutatabi,163
aokiookamitoshirokimejikagh,375
arcus123,201
arslansenki,218
ax101,279
ayapsychicdetectiveseriesvol3,131
bakudenunbalancezone,130
bariarm,229
battlefantasy,343
battlecorps,246
blackholeassault,346
buraihachigyokunoyuushidensetsu,215
captaintsubasacd,374
cosmicfantasystories,207
cyborg009cd,22
daihoushinden,206
darkwizardyynm,221
deathbringer,202
denninalestenobunagaandhisninjaforce,238
detonatororgun,128
devastator,94
doubleswitch,114
dragonslair,8
dungeonmaster2skullkeep,205
dynamiccc,396
earnestevans,55
eccothedolphincd,28
eccothedolphincd,29
egawasugurunosuperleaguecd,400
eyeofthebeholder,204
f1circuscd,364
fahrenheit,114
finalfight,313
finalfight,314
heavenlysymphony,189
freshcleaner,173
gamblerjikochuushinsha2gtmh,160
gamegarden,193
gamenokanzume1,339
gamenokanzume2,338
garoudensetsuspecial,351
geneitoshi,214
heavynova,337
heimdall,195
ishiihisaichinodaiseikai,303
jaguarxj220,363
jangouworldcup,161
jurassicparkcd,157
kamenriderzo,24
keiouyuugekitai,231
keiouyuugekitai,236
lethalenforcers,317
lethalenforcers,322
lethalenforcers2thewestern,317
lethalenforcers2thewestern,321
lunarthesilverstar,211
lunareternalblue,211
lunareternalblue,212
mahounoshoujosilkylip,130
microcosm,270
mightandmagic3islesofterra,196
mortalkombat,348
nbajam,386
nightstriker,283
nighttrap,103
nighttrap,109
nobunaganoyabouhaouden,402
nostalgia1907,116
orgelpsychicdetectiveseriesvol4,131
popfulmail,198
princeofpersia,18
prizefighter,167
prizefighter,170
proyakyuusuperleaguecd,378
quizscramblespecial,361
quiztonosamanoyabou,359
ranmanibunnoichibyakuranaika,98
recordoflodosswareiyuusensou,218
recordoflodosswareiyuusensou,219
riseofthedragonabladehuntermystery,130
roadblaster,42
sangokushi3,401
schwarzschild2,306
segaclassicarcadecollection,331
seimadensetsu3x3eyes,208
seireishinseikifheyarea,206
sengokudenshou,164
shadowofthebeast2,14
shadowruncd,225
shinmegamitensei,217
shiningforcecd,224
silpheed,240
simearth,298
teddyboyblues,90
solfeace,235
sonicthehedgehogcd,80
soulstar,327
rebelassault,289
starblade,273
surgicalstrike,267
switch,184
tenbu,300
tenkafubueiyuutachinohoukou,301
thethirdworldwar,305
theninjawarriors,309
thesecretofmonkeyisland,141
thunderstorm,261
thunderhawk,296
timegal,20
tomcatalley,259
uruseiyatsuradearmyfriends,134
vay,211
wakuseiwoodstockfunkyhorrorband,206
warausalesman,152
wingcommander,150
winningpost,291
wolfchild,57
wonderdog,68
wwfrageinthecagecd,358
yumemiyakatanomonogatari,138
yumimimix,130
3ninjaskickbackhook,308
ax101,278
afterburner3,282
thunderhawk,292
bariarm,229
batmanreturns,92
batmanreturns,93
battlecorps,243
bcracers,366
billwalshcollegefootball,388
blackholeassault,344
blackholeassault,345
bouncers,336
bramstokersdraculacd,2
bramstokersdraculacd,3
bramstokersdraculacd,4
bramstokersdraculamaryshelleysfrankenstein,5
brutalpawsoffury,353
cadillacsanddinosaursthesecondcataclysm,326
sensiblesoccerec,382
chuckrock,69
chuckrock2soc,58
cliffhanger,165
thunderstorm,260
comptonsinterativeencyclopedia,174
comptonsinterativeencyclopedia,175
comptonsinterativeencyclopedia,176
comptonsinterativeencyclopedia,177
corpsekiller,275
corpsekiller,277
crimepatrol,323
darkwizardyynm,220
demolitionman,97
doubleswitch,112
draculaunleashed,117
draculaunleashed,120
dragonslair,9
dune,151
dungeonexplorercd,385
dungeonmaster2skullkeep,205
earthwormjim,73
eccothedolphin,27
segaclassicsarcadecollectioneccothedolphin,33
eccothetidesoftime,31
eccothetidesoftime,32
espnbaseballtonight,376
espnnationalhockeynight,390
espnnbahangtime95,387
espnsundaynightnfl,379
eternalchampions,355
eternalchampions,356
eyeofthebeholder,203
fahrenheit,100
fahrenheit,144
garoudensetsuspecial,348
fifa94,393
finalfight,310
finalfight,311
finalfight,312
flashback,63
heavenlysymphony,188
groundzerotexas,248
groundzerotexas,249
groundzerotexas,250
heartofthealien,21
heimdall,194
hook,53
3ninjaskickbackhook,54
ironhelix,159
jaguarxj220,362
jeopardycd,384
joemontanasnflfootball,380
joemontanasnflfootball,380
jurassicparkcd,154
keiouyuugekitai,229
kidsonsite,112
lethalenforcers,317
lethalenforcers,318
lethalenforcers2thewestern,317
linksthechallengeofgolf,398
linksthechallengeofgolf,399
loadstarthelegendoftullybodine,274
windsofthunder,232
lunarthesilverstar,209
lunarthesilverstar,210
lunareternalblue,209
maddogmccree,324
maddog2thelostgold,324
powerfactory,178
makemyvideoinxs,178
makemyvideokriskross,178
makemyvideomarkymarkandthefunkybunch,178
yumemiyakatanomonogatari,136
bramstokersdraculamaryshelleysfrankenstein,145
megarace,191
mickeymaniattaomm,59
midnightraiders,253
mightymorphinpowerrangerscd,1
mortalkombat,348
whatisxeye,172
mypaint,181
nbajam,386
nflfootballtriviachallenge,360
nflsgreatestsanfranciscovsdallas,373
nhl94,389
nighttrap,100
nighttrap,101
nighttrap,107
nighttrap,104
nighttrap,105
nighttrap,110
nighttrap,111
nighttrap,143
nighttrap,144
novastorm,280
switch,183
pitfallthemayanadventure,88
popfulmail,197
powermonger,299
ultraverseprimemicrocosm,162
princeofpersia,17
prizefighter,166
prizefighter,169
prizefighter,168
prizefighter,171
puggsy,91
racingaces,192
babytrex,307
rdfglobalconflict,247
ninjahayate,9
battlefantasy,342
riseofthedragonabladehuntermystery,129
riseofthedragonabladehuntermystery,133
roadblaster,41
roadrash3do,365
denninalestenobunagaandhisninjaforce,237
samuraispirits,348
segaclassicarcadecollectionsherlockholmesconsultingdetective,330
segaclassicarcadecollectionsherlockholmesconsultingdetective,332
segaclassicsarcadecollectioneccothedolphin,333
sewershark,262
sewershark,263
sewershark,264
sewershark,253
sewershark,255
shadowofthebeast2,12
segaclassicarcadecollectionsherlockholmesconsultingdetective,123
sherlockholmesconsultingdetective2,119
sherlockholmesconsultingdetective2,122
shiningforcecd,222
shiningforcecd,223
silpheed,239
slamcitywithscottiepippen,43
slamcitywithscottiepippen,45
slamcitywithscottiepippen,46
slamcitywithscottiepippen,47
slamcitywithscottiepippen,48
slamcitywithscottiepippen,49
slamcitywithscottiepippen,50
slamcitywithscottiepippen,51
snatcher,147
solfeace,233
solfeace,234
sonicthehedgehogcd,80
sonicthehedgehogcd,81
sonicthehedgehogcd,82
soulstar,327
spaceace,9
theamazingspidermanvsthekingpin,70
theamazingspidermanvsthekingpin,71
rebelassault,285
rebelassault,286
starblade,273
stellarfire,243
supremewarrior,34
supremewarrior,35
supremewarrior,36
supremewarrior,37
supremewarrior,38
surgicalstrike,265
surgicalstrike,266
theadventuresofbatmanandrobincd,187
theadventuresofwillybeamish,125
theadventuresofwillybeamish,126
theanimals,182
thecolorsofmodernrock,180
thelawnmowermancd,39
kamenriderzo,23
flink,62
thesecretofmonkeyisland,140
thesecretofmonkeyisland,142
thesoftwaretoolworksstarwarschess,340
thesoftwaretoolworksstarwarschess,341
spaceadventurecobra2dno,124
theterminatorcd,52
thethirdworldwar,304
timegal,19
tomcatalley,253
tomcatalley,254
trivialpursuit,397
vay,209
wheeloffortunecd,383
whoshotjohnnyrock,324
wildwoody,65
wingcommander,149
wirehead,6
wolfchild,56
wonderdog,67
wonderdog,76
worldcupusa94,394
wwfrageinthecagecd,358
afterburner3,282
batmanreturns,92
batmanreturns,93
battlecorps,245
bcracers,369
shadowofthebeast2,12
billwalshcollegefootball,388
blackholeassault,344
bloodshot,370
bloodshot,372
brutalpawsoffury,354
brutalpawsoffury,352
chuckrock,69
chuckrock2soc,58
solfeacecobracommand,251
corpsekiller,275
corpsekiller,277
doubleswitch,112
draculaunleashed,117
draculaunleashed,118
draculaunleashed,120
draculaunleashed,121
dragonslair,11
dune,151
dungeonexplorercd,385
dungeonmaster2skullkeep,205
earthwormjim,73
eccothedolphin,27
eccothedolphin,26
eccothetidesoftime,30
espnbaseballtonight,377
eternalchampions,355
eyeofthebeholder,203
fahrenheit,112
fahrenheit,113
garoudensetsuspecial,348
fifa94,393
finalfight,310
heavenlysymphony,188
groundzerotexas,248
groundzerotexas,249
hook,53
jaguarxj220,363
jurassicparkcd,154
jurassicparkcd,158
jurassicparkcd,156
jurassicparkcd,153
jurassicparkcd,155
keiouyuugekitai,229
kidsonsite,112
lethalenforcers,317
lethalenforcers2thewestern,317
windsofthunder,232
powerfactory,178
makemyvideoinxs,178
makemyvideokriskross,178
markosmagicfootball,75
mickeymaniattaomm,59
microcosm,269
microcosm,272
microcosm,269
ultraverseprimemicrocosm,268
midnightraiders,253
mightymorphinpowerrangerscd,1
mortalkombat,348
nbajam,386
nhl94,389
nighttrap,100
nighttrap,107
nighttrap,102
nighttrap,108
nighttrap,143
nighttrap,144
novastorm,280
pitfallthemayanadventure,88
powermonger,299
princeofpersia,17
prizefighter,166
prizefighter,169
puggsy,91
roadblaster,41
denninalestenobunagaandhisninjaforce,237
samuraispirits,348
segaclassicsarcadecollection,334
segaclassicsarcadecollection,335
sensiblesoccerec,382
sewershark,253
sherlockholmesconsultingdetective,127
sherlockholmesconsultingdetective2,119
sherlockholmesconsultingdetective2,122
shiningforcecd,222
silpheed,239
slamcitywithscottiepippen,43
slamcitywithscottiepippen,45
slamcitywithscottiepippen,46
slamcitywithscottiepippen,47
slamcitywithscottiepippen,48
slamcitywithscottiepippen,49
slamcitywithscottiepippen,50
slamcitywithscottiepippen,51
snatcher,147
solfeacecobracommand,227
solfeacecobracommand,228
sonicthehedgehogcd,80
soulstar,329
theamazingspidermanvsthekingpin,70
rebelassault,284
starblade,273
supremewarrior,34
supremewarrior,36
supremewarrior,37
supremewarrior,38
surgicalstrike,265
syndicate,302
theadventuresofbatmanandrobincd,187
theanimals,182
thelawnmowermancd,39
flink,62
thesmurfs,72
thesoftwaretoolworksstarwarschess,340
spaceadventurecobra2dno,124
theterminatorcd,52
themepark,290
thunderhawk,293
timegal,19
tomcatalley,253
tomcatalley,258
tomcatalley,252
tomcatalley,257
wolfchild,56
wonderdog,67
worldcupusa94,394
wwfrageinthecagecd,358
yumemiyakatanomonogatari,136
yumemiyakatanomonogatari,137
slamcitywithscottiepippen,43
slamcitywithscottiepippen,45
slamcitywithscottiepippen,46
