name,publisher_id
Absolute,1
Acclaim,2
Activision,3
American Laser Games,4
Arena,5
BMG Victor,6
Big Fun,7
Bignet,8
CRI,9
CapDisc,10
Compile,11
Compton's NewMedia,12
Core Design,13
Core Design/SEGA,14
Data East,15
Data West,16
Digital Pictures,17
Domark,18
Dynamix,19
Electronic Arts,20
Extreme,21
FCI,22
Game Arts,23
GameTek,24
Good Deal,25
Hot-B,26
Hudson,27
Human,28
Infogrames,29
Interplay,30
JVC,31
Koei,32
Konami,33
Limited Run,34
Masaya,35
Micro Cabin,36
Micronet,37
Mindscape,38
Mumin,39
NAMCO,40
NAMCOT,41
Nichibutsu,42
Note!,43
Parker Brothers,44
Pony Canyon,45
Psygnosis,46
ReadySoft,47
Renovation,48
Riot,49
Rocket Science,50
SCi/Time Warner,51
SEGA,52
SIMS,53
Saddleback Graphics,54
Sammy,55
Sandstorm,56
Sony Electronic,57
Sony Imagesoft,58
Sony Imagesoft/Renegade,59
Sony/Amuse,60
Spectrum Holobyte,61
Sur Dé Wave,62
Taito,63
Team Megamix,64
Tec Toy,65
Tecmo,66
Telenet,67
Tengen,68
The Software Toolworks,69
Toei,70
U.S.Gold,71
VIC Tokai,72
Victor,73
Virgin,74
WaterMelon,75
Wolf Team,76
Working Designs,77
