tag_name,tag_id
#players:1 #genre:action #addon:peripheral>megacd #based #lang:en,1
#players:1 #genre:action #addon:peripheral>megacd #based:movie #search:feature>dracula #lang:en,2
#players:1 #genre:action #addon:peripheral>megacd #based:movie #search:feature>dracula #lang:en #alt:1,3
#players:1 #genre:action #addon:peripheral>megacd #based:movie #search:feature>dracula #lang:en #alt:2,4
#players:1 #genre:action #addon:peripheral>megacd #disc:2>2 #based:movie #search:feature>dracula #multigame:compilation>bramstokersdraculacd #reboxed #lang:en,5
#players:1 #genre:action #addon:peripheral>megacd #lang:en,6
#players:1 #genre:action #addon:peripheral>megacd #lang:en #unfinished:proto,7
#players:1 #genre:action #addon:peripheral>megacd #lang:en:fr:de:it:ja,8
#players:1 #genre:action #addon:peripheral>megacd #port:arcade #lang:en,9
#players:1 #genre:action #addon:peripheral>megacd #port:arcade #lang:en #unfinished:demo,10
#players:1 #genre:action #addon:peripheral>megacd #port:arcade #lang:en:fr:de:it,11
#players:1 #genre:action #addon:peripheral>megacd #port:commodore>amiga #lang:en,12
#players:1 #genre:action #addon:peripheral>megacd #port:commodore>amiga #lang:en #unfinished:demo,13
#players:1 #genre:action #addon:peripheral>megacd #port:commodore>amiga #lang:ja,14
#players:1 #genre:action #addon:peripheral>megacd #port:nintendo>superfamicom #based:movie #lang:en #unfinished:demo,15
#players:1 #genre:action #addon:peripheral>megacd #port:nintendo>superfamicom #based:movie #lang:en #unfinished:proto,16
#players:1 #genre:action #addon:peripheral>megacd #save:backup #port:apple>apple2 #lang:en,17
#players:1 #genre:action #addon:peripheral>megacd #save:backup #port:apple>apple2 #lang:ja,18
#players:1 #genre:action #addon:peripheral>megacd #save:password #port:arcade #lang:en,19
#players:1 #genre:action #addon:peripheral>megacd #save:password #port:arcade #lang:ja,20
#players:1 #genre:action #addon:peripheral>megacd #save:password #port:commodore>amiga #multigame:compilation>anotherworld>heartofthealien #lang:en,21
#players:1 #genre:action #addon:peripheral>megacd:backup>backupramcart #save:backup #based:manganime #lang:ja,22
#players:1 #genre:action:adventure #addon:peripheral>megacd #based:movie #lang:en,23
#players:1 #genre:action:adventure #addon:peripheral>megacd #based:movie #lang:ja,24
#players:1 #genre:action:adventure #addon:peripheral>megacd #lang:en #unlicensed,25
#players:1 #genre:action:adventure #addon:peripheral>megacd #port:sega>megadrive #reboxed #save:password #lang:en,26
#players:1 #genre:action:adventure #addon:peripheral>megacd #port:sega>megadrive #save:password #lang:en,27
#players:1 #genre:action:adventure #addon:peripheral>megacd #save:password #disc:1>2 #multigame:compilation>eccothedolphin #lang:ja,28
#players:1 #genre:action:adventure #addon:peripheral>megacd #save:password #disc:2>2 #multigame:compilation>eccothetidesoftime #lang:ja,29
#players:1 #genre:action:adventure #addon:peripheral>megacd #save:password #lang:en:fr:de:es,30
#players:1 #genre:action:adventure #addon:peripheral>megacd #save:password #port:sega>megadrive #lang:en,31
#players:1 #genre:action:adventure #addon:peripheral>megacd #save:password #port:sega>megadrive #lang:en #alt,32
#players:1 #genre:action:adventure #addon:peripheral>megacd #save:password #port:sega>megadrive #multigame:compilation>eccothedolphin #reboxed #lang:en,33
#players:1 #genre:action:fighting #addon:peripheral>megacd:controller>6button #disc:1>2 #save:backup #lang:en:ch,34
#players:1 #genre:action:fighting #addon:peripheral>megacd:controller>6button #disc:1>2 #save:backup #lang:en:ch #alt,35
#players:1 #genre:action:fighting #addon:peripheral>megacd:controller>6button #disc:2>2 #save:backup #lang:en:ch,36
#players:1 #genre:action:fighting #addon:peripheral>megacd>super32x:controller>6button #disc:1>2 #save:backup #lang:en:ch,37
#players:1 #genre:action:fighting #addon:peripheral>megacd>super32x:controller>6button #disc:2>2 #save:backup #lang:en:ch,38
#players:1 #genre:action:puzzle #addon:peripheral>megacd #based:movie #lang:en,39
#players:1 #genre:action:puzzle #addon:peripheral>megacd #based:movie #lang:en #unfinished:demo,40
#players:1 #genre:action:racing #addon:peripheral>megacd #port:arcade #lang:en,41
#players:1 #genre:action:racing #addon:peripheral>megacd #port:arcade #lang:ja,42
#players:1 #genre:action:sports>basketball #addon:peripheral>megacd #save:backup #disc:1>4 #search:keyword>endorsed #lang:en,43
#players:1 #genre:action:sports>basketball #addon:peripheral>megacd #save:backup #disc:1>4 #search:keyword>endorsed #lang:en #unfinished:demo,44
#players:1 #genre:action:sports>basketball #addon:peripheral>megacd #save:backup #disc:2>4 #search:keyword>endorsed #lang:en,45
#players:1 #genre:action:sports>basketball #addon:peripheral>megacd #save:backup #disc:3>4 #search:keyword>endorsed #lang:en,46
#players:1 #genre:action:sports>basketball #addon:peripheral>megacd #save:backup #disc:4>4 #search:keyword>endorsed #lang:en,47
#players:1 #genre:action:sports>basketball #addon:peripheral>megacd>super32x #save:backup #disc:1>4 #search:keyword>endorsed #lang:en,48
