name,developer_id
A.I,1
AV Artisam,2
AV Artisan,3
Abalone/Fat Box,4
Absolute,5
Access/Tiertex,6
Acclaim,7
Acclaim/The Grey Team,8
Accolade,9
Accolade/Al Baker & Associates,10
Acid,11
Acme,12
Acme/Nu Romantic,13
Acme/SEGA,14
Adrenalin,15
Affect,16
Aicom/ALU,17
Aisyste Tokyo,18
Aisystem Tokyo,19
Aisystem Tokyo/Varie,20
Al Baker & Associates,21
Alexandria/Orca,22
Almanic/Team Saga/ALU,23
Alpine,24
Ancient/Shout!,25
Anco,26
Anco/Tiertex,27
Apache,28
Aplix,29
Appaloosa,30
Aprinet/Varie,31
Arc Developments,32
Arc System Works,33
Arc System Works/TNS,34
Archer MacLean,35
Arsys,36
Artech,37
Artech/SEGA Girls Task Force,38
Asmik,39
Asmik/ISCO/Opera House,40
Aspect,41
AstroArts/SEGA,42
Atlus,43
Atlus/Telenet,44
Audiogenic,45
Audiogenic/Fox Williams/Nu Romantic,46
Avalanche,47
BBD,48
BGS/ASCII,49
BGS/ZAT,50
BITS,51
BITS/White Team,52
BMB,53
Beam,54
Beam/The White Team,55
Betop,56
Bitmasters,57
Bits of Magic,58
Black Pearl,59
Blizzard,60
Blizzard/Sunsoft/Realtime,61
Blue Turtle/Graftgold,62
BlueSky,63
BlueSky/Disney,64
BlueSky/Nu Romantic/Zono,65
BlueSky/SEGA,66
BlueSky/Western Technologies,67
Bonsai,68
Brian A. Rice,69
Brian A. Rice/Mediagenic,70
Brian A. Rice/Silicon & Synapse,71
Brian A. Rice/Waterman Designs,72
BudgeCo/Nu Romantic,73
Bullfrog,74
Bullfrog/PanelComp,75
Bullfrog/Sprytes,76
C&E,77
CAPCOM,78
CAPCOM/Sculptured,79
CRI,80
CRYO,81
California Dreams/Logical Design Works,82
CareerSoft,83
CareerSoft/Winsen,84
Chameleon,85
Chuanpu,86
Chuck Peavey,87
Cinemaware,88
Climax,89
Climax/Sonic,90
Clockwork Tortoise,91
Codemasters,92
Compile,93
Compile/LMS,94
Compile/SEGA,95
Compile/SEGA CS1,96
Copya System,97
Core Design,98
Core Design/Krisalis,99
Creative Assembly,100
Creaton,101
Cyclone System,102
Cygnus,103
DMA Design/Digital Developments/Krisalis,104
Data East,105
Datel,106
Delphine,107
Dempa,108
Designer,109
Developer Resources,110
Devworks,111
Digital Eclipse,112
Dino Dini/Krisalis,113
Disney Interactive,114
Disney/Virgin,115
Disney/Westwood/Krisalis,116
Distinctive,117
Distinctive/Accolade,118
Domark,119
Domark/PanelComp/The Kremlin/Tiertex,120
Domark/The Kremlin,121
Double Diamond/FarSight,122
Dragnet,123
Dragons Team,124
