game_id,developer_id
16t,358
16t,358
aresshadeikou3,241
aaharimanada,249
advanceddaisenryakudeutschdengekisakusen,353
airbuster,211
afterburner2,108
airdiver,97
airmanagementoozoranikakeru,228
airmanagement2koukuuouwomezase,228
aladdin,115
alexkiddtenkuumajou,353
aliensoldier,510
alienstorm,355
alisiadragoon,150
ambitionofcaesar,253
ambitionofcaesar2,253
aokiookamitoshirokimejikagh,228
arcusodyssey,542
arrowflash,191
artalive,532
assaultsuitleynos,275
atomicrobokid,225
awesomepossumkicksdrmachinosbutt,484
aworgherointhesky,358
ayrtonsennassupermonacogp2,367
badomen,19
bahamutsenki,353
balljacks,272
bareknuckle,353
bareknuckle2,364
bareknuckle3,368
batmanmd,453
batmanforever,321
batmanreturns,247
battlegolferyui,357
battlemania,516
battlemaniadaiginjou,516
battletoads,33
shadowofthebeast,346
beastwarriors,477
bishoujosenshisailormoon,34
blockout,82
bluealmanac,184
bonanzabros,389
boogiewoogiebowling,432
burningforce,292
captainlang,105
castleofillusionfushiginooshirodaibouken,353
kidchameleon,381
championsworldclasssoccer,8
atomicrunnerchelnov,105
chibimarukochanwakuwakushopping,272
chikichikiboys,397
choukyuukaimiraclenine,367
chuckrock2soc,99
columns,353
columns3,420
comixzone,379
contrathehardcorps,230
coolspot,522
crackdown,183
crayonchinchanarashiwoyobuenji,401
crudebuster,190
crueball,298
cryingaseimeisensou,358
curse,253
cutiesuzukinoringsideangel,97
cyberpoliceeswat,353
cyberball,353
dahnamegamitanjou,188
daikoukaijidai,228
daikoukaijidai2,228
daimakaimura,353
daisenpuu,501
dangerousseed,272
darius2,467
superrealdarwin,353
davidrobinsonssupremecourt,14
tenniscup,237
desertstrike,130
devilcrash,474
dialqwomawase,451
dicktracy,379
dinoland,542
divinesealing,451
djboy,210
doraemonyumedorobouto7ninnogozans,356
doubledragon2therevenge,332
dragonballzbuyuuretsuden,465
dragonslayerthelegendofheroes,371
dragonslayerthelegendofheroes2,371
dragonseyeshanghai3,181
dragonsrevenge,485
riskywoods,130
dynabrothers,80
dynabrothers2,80
dynamiteduke,170
dynamiteheaddy,510
nhlhockey,312
eccothedolphin,296
eccothetidesoftime,295
elviento,542
elementalmaster,474
eliminatedown,31
eternalchampions,376
europasensen,228
evanderholyfieldsrealdealboxing,13
exiletokinohazamae,478
exranza,156
f1circus91,225
f117nightstorm,130
f22interceptoradvancedtacticalfighter,129
fantasia,207
f1triplebattle,185
tongueofthefatman,70
fifa94,130
fightingmasters,17
finalblow,540
usaafmustang,279
flashback,107
foremanforreal,437
lostworlds,353
fromtvanimationslamdunkkyougoumakkoutaiketsu,401
fushiginouminonadia,272
fzsenkiaxis,542
glocairbattle,326
gaiares,477
gainground,411
galaxyforce2,80
gamblerjikochuushinhakmnmd,545
gamenokanzumeotokuyou,353
garoudensetsusnt,147
garoudensetsu2at,147
gauntlet,240
generalchaos,152
ghostbustersmd,95
glaylancer,274
gonet,19
gods,159
goldenaxe,353
goldenaxe2,358
goldenaxe3,358
gouketsujiichizoku,43
granada,542
grandslamthetennistournament92,480
greatestheavyweights,353
gunstarheroes,510
gynoug,278
harddrivin,447
heavyunit,142
hellfire,274
herzogzwei,474
hokutonokenshinseikimatsukyuuseishudensetsu,353
honoonotoukyuujidodgedanpeisega,358
hyokkorihyoutanjimadaitouryouwomezase,217
hyperdunk,230
hypermarbles,353
hypermarbles,353
ikasuzekoinodokidokipenguinlandmd,358
ikasuzekoinodokidokipenguinlandmd,358
insectorx,158
manchesterunitedeurope,231
jleagueprostriker,358
jleagueprostriker,358
jleagueprostriker2,369
jleagueprostrikerkanzenban,358
jamesbondtheduel,121
jamespond2codenamerobocod,258
janoutouryuumon2,391
janteimonogatari,44
bladeofthegreatelements,353
joemontanafootball,313
joemontana2sportstalkfootball,66
johnmadden92,236
judgedredd,319
jujudensetsumd,413
cuebrick,253
junglestrike,174
juuouki,353
juuouki,353
jurassicparksega,66
justiceleaguetaskforce,455
kageki,223
kingofthemonsters,407
kingsalmon,183
kishidensetsu,227
kissshot,358
klax,272
koutetsuteikoku,183
kujakuou2geneijou,353
kuugaoperationcodevaportrail,105
kyuukaidouchuuki,272
kyuukyokutiger,145
landstalkerkouteinozaihou,89
langrisser,83
langrisser2,83
langrisser2,83
langrisser2,83
lemmings,453
lethalenforcers,230
lhxattackchopper,130
lightcrusader,510
lordmonarchtokotonsentoudensetsu,372
maddennfl94,173
madoumonogatari1,94
magicalhatnobuttobiturbodaibouken,515
magicaltaruruutokun,151
mahjongcopryuu,539
