game_id,publisher_id
16t,126
16t,126
aresshadeikou3,126
aaharimanada,126
advanceddaisenryakudeutschdengekisakusen,126
airbuster,81
afterburner2,126
airdiver,14
airmanagementoozoranikakeru,85
airmanagement2koukuuouwomezase,85
aladdin,126
alexkiddtenkuumajou,126
aliensoldier,126
alienstorm,126
alisiadragoon,57
ambitionofcaesar,99
ambitionofcaesar2,99
aokiookamitoshirokimejikagh,85
arcusodyssey,196
arrowflash,126
artalive,126
assaultsuitleynos,95
atomicrobokid,177
awesomepossumkicksdrmachinosbutt,168
aworgherointhesky,126
ayrtonsennassupermonacogp2,126
badomen,67
bahamutsenki,126
balljacks,106
bareknuckle,126
bareknuckle2,126
bareknuckle3,126
batmanmd,153
batmanforever,5
batmanreturns,126
battlegolferyui,126
battlemania,183
battlemaniadaiginjou,183
battletoads,126
shadowofthebeast,186
beastwarriors,125
bishoujosenshisailormoon,93
blockout,126
bluealmanac,84
bonanzabros,126
boogiewoogiebowling,190
burningforce,106
captainlang,36
castleofillusionfushiginooshirodaibouken,126
kidchameleon,126
championsworldclasssoccer,5
atomicrunnerchelnov,36
chibimarukochanwakuwakushopping,106
chikichikiboys,126
choukyuukaimiraclenine,126
chuckrock2soc,189
columns,126
columns3,126
comixzone,126
contrathehardcorps,86
coolspot,189
crackdown,126
crayonchinchanarashiwoyobuenji,93
crudebuster,36
crueball,50
cryingaseimeisensou,126
curse,99
cutiesuzukinoringsideangel,14
cyberpoliceeswat,126
cyberball,126
dahnamegamitanjou,71
daikoukaijidai,85
daikoukaijidai2,85
daimakaimura,126
daisenpuu,126
dangerousseed,106
darius2,160
superrealdarwin,126
davidrobinsonssupremecourt,126
tenniscup,168
desertstrike,50
devilcrash,165
dialqwomawase,150
dicktracy,126
dinoland,196
divinesealing,28
djboy,126
doraemonyumedorobouto7ninnogozans,126
doubledragon2therevenge,114
dragonballzbuyuuretsuden,18
dragonslayerthelegendofheroes,126
dragonslayerthelegendofheroes2,126
dragonseyeshanghai3,66
dragonsrevenge,168
riskywoods,50
dynabrothers,26
dynabrothers2,26
dynamiteduke,126
dynamiteheaddy,126
nhlhockey,50
eccothedolphin,126
eccothetidesoftime,126
elviento,196
elementalmaster,165
eliminatedown,143
eternalchampions,126
europasensen,85
evanderholyfieldsrealdealboxing,126
exiletokinohazamae,125
exranza,126
f1circus91,108
f117nightstorm,50
f22interceptoradvancedtacticalfighter,50
fantasia,126
f1triplebattle,70
tongueofthefatman,137
fifa94,50
fightingmasters,177
finalblow,160
usaafmustang,160
flashback,153
foremanforreal,5
lostworlds,126
fromtvanimationslamdunkkyougoumakkoutaiketsu,18
fushiginouminonadia,106
fzsenkiaxis,196
glocairbattle,126
gaiares,123
gainground,126
galaxyforce2,26
gamblerjikochuushinhakmnmd,57
gamenokanzumeotokuyou,126
garoudensetsusnt,126
garoudensetsu2at,161
gauntlet,168
generalchaos,50
ghostbustersmd,126
glaylancer,95
gonet,126
gods,113
goldenaxe,126
goldenaxe2,126
goldenaxe3,126
gouketsujiichizoku,16
granada,196
grandslamthetennistournament92,167
greatestheavyweights,126
gunstarheroes,126
gynoug,95
harddrivin,168
heavyunit,174
hellfire,95
herzogzwei,165
hokutonokenshinseikimatsukyuuseishudensetsu,126
honoonotoukyuujidodgedanpeisega,126
hyokkorihyoutanjimadaitouryouwomezase,126
hyperdunk,86
hypermarbles,126
hypermarbles,126
ikasuzekoinodokidokipenguinlandmd,126
ikasuzekoinodokidokipenguinlandmd,126
insectorx,67
manchesterunitedeurope,57
jleagueprostriker,126
jleagueprostriker,126
jleagueprostriker2,126
jleagueprostrikerkanzenban,126
jamesbondtheduel,168
jamespond2codenamerobocod,50
janoutouryuumon2,126
janteimonogatari,123
bladeofthegreatelements,126
joemontanafootball,126
joemontana2sportstalkfootball,126
johnmadden92,49
judgedredd,5
jujudensetsumd,126
cuebrick,99
junglestrike,50
juuouki,126
juuouki,126
jurassicparksega,126
justiceleaguetaskforce,5
kageki,67
kingofthemonsters,126
kingsalmon,67
kishidensetsu,84
kissshot,126
klax,106
koutetsuteikoku,67
kujakuou2geneijou,126
kuugaoperationcodevaportrail,125
kyuukaidouchuuki,106
kyuukyokutiger,177
landstalkerkouteinozaihou,126
langrisser,95
langrisser2,95
langrisser2,95
langrisser2,95
lemmings,153
lethalenforcers,86
lhxattackchopper,50
lightcrusader,126
lordmonarchtokotonsentoudensetsu,126
maddennfl94,50
madoumonogatari1,33
magicalhatnobuttobiturbodaibouken,126
magicaltaruruutokun,126
mahjongcopryuu,126
mamonohunteryoukodai7nokeishou,95
maourenjishi,160
marblemadness,168
marvelland,106
masterofmonsters,175
masterofweapon,160
matennosoumetsu,84
mazinsaga,126
treasurelandadventure,126
medalcity,126
megaanser,126
megalomania,47
megamind,126
megapanel,106
fourtrax,106
metalfangs,186
michaeljacksonsmoonwalker,126
mickeymaniattaomm,126
midnightresistance,36
mig29fulcrum,168
minatonotraysia,125
monsterworld4,126
mortalkombat,5
mortalkombat2,5
mugensenshivalistloafs,125
mushaaleste,173
mutantleaguefootball,50
nakajimasatorukanshuuf1grandprix,184
nakajimasatorukanshuuf1heromd,184
nakajimasatorukanshuuf1superlicense,184
nbajam,5
nbajamte,5
bullsvsblazersandthenbaplayoffs,50
bullsvslakersandthenbaplayoffs,50
nbashowdown,50
nekketsukoukoudodgeballbusoccerhen,114
devilscourse,126
harukanaruaugusta,157
pebblebeachnohatou,126
waialaenokiseki,126
newmanhaasindycarfeaturingnigelmansell,5
nflfootball94starringjoemontana,126
nflfootball94starringjoemontana,126
nflquarterbackclub95,5
nhktaigadramataiheiki,126
nikkansportsproyakyuuvan,126
ninjaburaidensetsu,126
nobunaganoyaboubushoufuuunroku,85
nobunaganoyaboubushoufuuunroku,85
nobunaganoyabouhaouden,85
nobunaganoyabouzenkokuban,85
nyuushichokuzenchecknanmonkimonkikikaikai,186
olympicgold,126
winterolympicgames,126
osomatsukunhachamechagekijou,126
outrun,126
outrun2019,130
outrunners,126
ozakinaomichisupermasters,126
pachinkokuunyan,143
paddlefighter,126
paddlefighter,126
panoramacotton,153
paperboy,168
partyquizmegaq,126
kidoukeisatsupatlabor98shikikidouseyo,93
pepengapengo,126
pgatourgolf2,50
phantasystar,126
phantasystartheendofthemillennium,126
phantasystartheendofthemillennium,126
phantasystar2kaerazarutokinoowarini,126
phantasystar2amiasadventure,126
phantasystar2annesadventure,126
phantasystar2hueysadventure,126
phantasystar2kindssadventure,126
phantasystar2neisadventure,126
phantasystar2rudgersadventure,126
phantasystar2shilkasadventure,126
phantasystar2yushissadventure,126
phantasystar3tokinokeishousha,126
phelios,106
pitfighter,168
planetmessagequiz,192
populous,126
powerathlete,81
powermonger,50
prostrikerfinalstage,126
proyakyuusuperleague91,126
psyoblade,141
pulseman,126
puttergolf,126
