game_id,region_id
16t,13
16t,13
aresshadeikou3,13
aaharimanada,13
advanceddaisenryakudeutschdengekisakusen,13
airbuster,13
afterburner2,13
airdiver,13
airmanagementoozoranikakeru,13
airmanagement2koukuuouwomezase,13
aladdin,13
alexkiddtenkuumajou,13
aliensoldier,13
alienstorm,13
alisiadragoon,13
ambitionofcaesar,13
ambitionofcaesar2,13
aokiookamitoshirokimejikagh,13
arcusodyssey,13
arrowflash,13
artalive,13
assaultsuitleynos,13
atomicrobokid,13
awesomepossumkicksdrmachinosbutt,13
aworgherointhesky,13
ayrtonsennassupermonacogp2,13
badomen,13
bahamutsenki,13
balljacks,13
bareknuckle,13
bareknuckle2,13
bareknuckle3,13
batmanmd,13
batmanforever,13
batmanreturns,13
battlegolferyui,13
battlemania,13
battlemaniadaiginjou,13
battletoads,13
shadowofthebeast,13
beastwarriors,13
bishoujosenshisailormoon,13
blockout,13
bluealmanac,13
bonanzabros,13
boogiewoogiebowling,13
burningforce,13
captainlang,13
castleofillusionfushiginooshirodaibouken,13
kidchameleon,13
championsworldclasssoccer,13
atomicrunnerchelnov,13
chibimarukochanwakuwakushopping,13
chikichikiboys,13
choukyuukaimiraclenine,13
chuckrock2soc,13
columns,13
columns3,13
comixzone,13
contrathehardcorps,13
coolspot,13
crackdown,13
crayonchinchanarashiwoyobuenji,13
crudebuster,13
crueball,13
cryingaseimeisensou,13
curse,13
cutiesuzukinoringsideangel,13
cyberpoliceeswat,13
cyberball,13
dahnamegamitanjou,13
daikoukaijidai,13
daikoukaijidai2,13
daimakaimura,13
daisenpuu,13
dangerousseed,13
darius2,13
superrealdarwin,13
davidrobinsonssupremecourt,13
tenniscup,13
desertstrike,13
devilcrash,13
dialqwomawase,13
dicktracy,13
dinoland,13
divinesealing,13
djboy,13
doraemonyumedorobouto7ninnogozans,13
doubledragon2therevenge,13
dragonballzbuyuuretsuden,13
dragonslayerthelegendofheroes,13
dragonslayerthelegendofheroes2,13
dragonseyeshanghai3,13
dragonsrevenge,13
riskywoods,13
dynabrothers,13
dynabrothers2,13
dynamiteduke,13
dynamiteheaddy,13
nhlhockey,13
eccothedolphin,13
eccothetidesoftime,13
elviento,13
elementalmaster,13
eliminatedown,13
eternalchampions,13
europasensen,13
evanderholyfieldsrealdealboxing,13
exiletokinohazamae,13
exranza,13
f1circus91,13
f117nightstorm,13
f22interceptoradvancedtacticalfighter,13
fantasia,13
f1triplebattle,13
tongueofthefatman,13
fifa94,13
fightingmasters,13
finalblow,13
usaafmustang,13
flashback,13
foremanforreal,13
lostworlds,13
fromtvanimationslamdunkkyougoumakkoutaiketsu,13
fushiginouminonadia,13
fzsenkiaxis,13
glocairbattle,13
gaiares,13
gainground,13
galaxyforce2,13
gamblerjikochuushinhakmnmd,13
gamenokanzumeotokuyou,13
garoudensetsusnt,13
garoudensetsu2at,13
gauntlet,13
generalchaos,13
ghostbustersmd,13
glaylancer,13
gonet,13
gods,13
goldenaxe,13
goldenaxe2,13
goldenaxe3,13
gouketsujiichizoku,13
granada,13
grandslamthetennistournament92,13
greatestheavyweights,13
gunstarheroes,13
gynoug,13
harddrivin,13
heavyunit,13
hellfire,13
herzogzwei,13
hokutonokenshinseikimatsukyuuseishudensetsu,13
honoonotoukyuujidodgedanpeisega,13
hyokkorihyoutanjimadaitouryouwomezase,13
hyperdunk,13
hypermarbles,13
hypermarbles,13
ikasuzekoinodokidokipenguinlandmd,13
ikasuzekoinodokidokipenguinlandmd,13
insectorx,13
manchesterunitedeurope,13
jleagueprostriker,13
jleagueprostriker,13
jleagueprostriker2,13
jleagueprostrikerkanzenban,13
jamesbondtheduel,13
jamespond2codenamerobocod,13
janoutouryuumon2,13
janteimonogatari,13
bladeofthegreatelements,13
joemontanafootball,13
joemontana2sportstalkfootball,13
johnmadden92,13
judgedredd,13
jujudensetsumd,13
cuebrick,13
junglestrike,13
juuouki,13
juuouki,13
jurassicparksega,13
justiceleaguetaskforce,13
kageki,13
kingofthemonsters,13
kingsalmon,13
kishidensetsu,13
kissshot,13
klax,13
koutetsuteikoku,13
kujakuou2geneijou,13
kuugaoperationcodevaportrail,13
kyuukaidouchuuki,13
