game_id,tag_id
16t,148
16t,154
aresshadeikou3,737
aaharimanada,1207
advanceddaisenryakudeutschdengekisakusen,1591
airbuster,1001
afterburner2,717
airdiver,744
airmanagementoozoranikakeru,1600
airmanagement2koukuuouwomezase,1600
aladdin,206
alexkiddtenkuumajou,329
aliensoldier,374
alienstorm,1058
alisiadragoon,236
ambitionofcaesar,789
ambitionofcaesar2,1331
aokiookamitoshirokimejikagh,1323
arcusodyssey,995
arrowflash,666
artalive,480
assaultsuitleynos,391
atomicrobokid,673
awesomepossumkicksdrmachinosbutt,236
aworgherointhesky,8
ayrtonsennassupermonacogp2,549
badomen,876
bahamutsenki,1594
balljacks,1093
bareknuckle,966
bareknuckle2,1056
bareknuckle3,1050
batmanmd,123
batmanforever,1026
batmanreturns,197
battlegolferyui,1115
battlemania,670
battlemaniadaiginjou,670
battletoads,976
shadowofthebeast,35
beastwarriors,1216
bishoujosenshisailormoon,454
blockout,1232
bluealmanac,628
bonanzabros,871
boogiewoogiebowling,1581
burningforce,725
captainlang,241
castleofillusionfushiginooshirodaibouken,173
kidchameleon,835
championsworldclasssoccer,1444
atomicrunnerchelnov,376
chibimarukochanwakuwakushopping,1573
chikichikiboys,242
choukyuukaimiraclenine,1339
chuckrock2soc,246
columns,1240
columns3,1632
comixzone,110
contrathehardcorps,932
coolspot,308
crackdown,887
crayonchinchanarashiwoyobuenji,423
crudebuster,880
crueball,1469
cryingaseimeisensou,1000
curse,666
cutiesuzukinoringsideangel,1219
cyberpoliceeswat,401
cyberball,1381
dahnamegamitanjou,124
daikoukaijidai,774
daikoukaijidai2,778
daimakaimura,839
daisenpuu,690
dangerousseed,690
darius2,673
superrealdarwin,690
davidrobinsonssupremecourt,1373
tenniscup,1081
desertstrike,679
devilcrash,858
dialqwomawase,440
dicktracy,19
dinoland,854
divinesealing,696
djboy,452
doraemonyumedorobouto7ninnogozans,327
doubledragon2therevenge,969
dragonballzbuyuuretsuden,1128
dragonslayerthelegendofheroes,636
dragonslayerthelegendofheroes2,636
dragonseyeshanghai3,1229
dragonsrevenge,857
riskywoods,246
dynabrothers,789
dynabrothers2,1318
dynamiteduke,712
dynamiteheaddy,322
nhlhockey,1417
eccothedolphin,70
eccothetidesoftime,70
elviento,404
elementalmaster,687
eliminatedown,666
eternalchampions,1153
europasensen,1323
evanderholyfieldsrealdealboxing,1190
exiletokinohazamae,593
exranza,360
f1circus91,552
f117nightstorm,755
f22interceptoradvancedtacticalfighter,755
fantasia,210
f1triplebattle,1278
tongueofthefatman,1184
fifa94,1560
