name,publisher_id
1992-04,1
ASC,2
ASCII,3
Absolute,4
Acclaim,5
Acclaim/Blockbuster,6
Acclaim/LJN,7
Acclaim/Sunsoft,8
Accolade,9
Active,10
Activision,11
Altron,12
Arena,13
Asmik,14
AtGames,15
Atlus,16
Ballistic,17
Bandai,18
Bandai Namco,19
Baton,20
Bignet,21
Black Pearl,22
Buena Vista,23
C&E,24
CAPCOM,25
CRI,26
CRI/Ecseco/PCM Complete,27
CYX,28
Camerica,29
Chuanpu,30
City Man,31
Codemasters,32
Compile,33
Core Design,34
Creaton,35
Data East,36
Datel,37
Davidson,38
Disney Interactive/SEGA,39
Disney Interactive/Tec Toy,40
Disney/SEGA,41
Domark,42
Domark/Acclaim,43
Domark/Tengen,44
DreamWorks,45
Ecofilmes,46
Ecseco/CRI,47
Electro Brain,48
Electronic Arts,49
Electronic Arts Victor,50
Extreme,51
FCI,52
Factor 5,53
Falcom,54
Flying Edge,55
Fox,56
Game Arts,57
GameTek,58
GameTek/Empire,59
Gamtec,60
Gastin,61
HeartBeat,62
Hi Tech Entertainment,63
Hi Tech Expressions,64
HiCom,65
Home Data,66
Hot-B,67
Huang Jia,68
Hudson,69
Human,70
IGS,71
ININ,72
Image Works,73
Imagineer,74
Infogrames,75
Interplay,76
JVC,77
Jon Burton,78
KDS,79
Ka Sheng,80
Kaneko,81
King Tec,82
Kixx,83
Kodansha,84
Koei,85
Konami,86
Kyugo,87
Laser,88
Li Cheng,89
Limited Run,90
LiuJunusa,91
Loriciel,92
Ma-Ba,93
Majesco,94
Masaya,95
Mentrix,96
Micro World,97
MicroProse,98
Micronet,99
Midway,100
Miky,101
Mindscape,102
Ming Super Chip,103
Ming Super Chop,104
NAMCO,105
NAMCOT,106
NCS,107
Nichibutsu,108
Nighthawk/Disney,109
Nighthawk/iam8bit,110
Nuvision,111
Ocean,112
PCM Complete,113
Palsoft,114
Parker Brothers,115
Playmates,116
Psygnosis,117
Psygnosis/Sony,118
Psygnosis/Sony Imagesoft,119
RazorSoft,120
Realtec,121
Renegade,122
Reno,123
Renovation,124
Riot,125
SEGA,126
SEGA Toys/Radica,127
SEGA/Olivetti/Virgin,128
SEGA/Takara,129
SIMS,130
SJC/Samsung,131
Sachen,132
Sage's Creation,133
Sammy,134
Samsung,135
Samsung/HiCom,136
Sanritsu,137
Sansan,138
Seismic,139
Senchi,140
Sigma,141
Skob,142
Soft Vision,143
Songtly,144
Sony,145
Sony Imagesoft,146
Sony Imagesoft/Renegade,147
Spectrum HoloByte,148
Spectrum Holobyte,149
Studio Fazzy,150
Sun Green,151
Sun Green/Ming Super Chip,152
Sunsoft,153
Super Fighter Team/Starfish-SD,154
Super Soccer Game,155
Supervision,156
T&E,157
TCT,158
THQ,159
Taito,160
Takara,161
Tec Toy,162
TecMagik,163
TecMagik/Time Warner,164
Technosoft,165
Tecmo,166
Telenet,167
Tengen,168
Tengen/Domark,169
The Software Toolworks,170
Time Warner,171
Time Warner/Domark,172
Toaplan,173
Toho,174
Toshiba EMI,175
Tradewest,176
Treco,177
Twin Eagles,178
U.S.Gold,179
UNIPACC,180
UPL,181
Ubisoft,182
VIC Tokai,183
Varie,184
Viacom New Media,185
Victor,186
Victor/JVC,187
Video System,188
Virgin,189
Visco,190
WAS,191
We Net,192
Williams,193
Williams/Midway,194
Wisdom Tree,195
Wolf Team,196
X Boy,197
