tag_name,tag_id
#players:1 #genre:action #addon:controller>6button #lang:en,1
#players:1 #genre:action #addon:controller>6button #lang:en #rerelease:mdmini>1,2
#players:1 #genre:action #addon:controller>6button #lang:en #unfinished:beta,3
#players:1 #genre:action #addon:controller>6button #lang:ja,4
#players:1 #genre:action #addon:controller>6button #lang:ja #unfinished:beta>1,5
#players:1 #genre:action #addon:controller>6button #lang:ja #unfinished:beta>2,6
#players:1 #genre:action #addon:controller>6button #reboxed:classicedition #lang:en,7
#players:1 #genre:action #addon:online>megamodem>toshokan #lang:ja,8
#players:1 #genre:action #addon:online>megamodem>toshokan #lang:ja #rerelease:gamenokanzume>2,9
#players:1 #genre:action #addon:online>segachannel #based:movie:disney #lang:en,10
#players:1 #genre:action #addon:online>segachannel #search:feature>spiderman>batman #lang:en #unfinished:beta,11
#players:1 #genre:action #based #lang:en,12
#players:1 #genre:action #based #lang:en #unfinished:beta,13
#players:1 #genre:action #based #port:nintendo>superfamicom #lang:en #unfinished:proto,14
#players:1 #genre:action #based #reboxed:classicedition #lang:en,15
#players:1 #genre:action #based:disney #lang:en,16
#players:1 #genre:action #based:disney #lang:en #unfinished:beta,17
#players:1 #genre:action #based:marvel #search:feature>spiderman #lang:en,18
#players:1 #genre:action #based:movie #lang:en,19
#players:1 #genre:action #based:movie #lang:en #unfinished:beta,20
#players:1 #genre:action #based:movie #lang:en #unfinished:proto,21
#players:1 #genre:action #based:movie #reboxed:classicedition #lang:en,22
#players:1 #genre:action #based:movie #search:feature>alien #lang:en,23
#players:1 #genre:action #based:movie #search:feature>alien #lang:en #rev:a,24
#players:1 #genre:action #based:movie #search:feature>alien #lang:en #unlicensed:bootleg,25
#players:1 #genre:action #based:movie #search:feature>dracula #lang:en,26
#players:1 #genre:action #based:movie:disney #lang:en,27
#players:1 #genre:action #based:movie:disney #lang:en #unlicensed:bootleg,28
#players:1 #genre:action #lang:en,29
#players:1 #genre:action #lang:en #unfinished:beta,30
#players:1 #genre:action #lang:en #unfinished:proto,31
#players:1 #genre:action #lang:en #unlicensed:bootleg,32
#players:1 #genre:action #port:apple>mac #lang:en,33
#players:1 #genre:action #port:commodore>amiga #lang:en,34
#players:1 #genre:action #port:commodore>amiga #lang:ja,35
#players:1 #genre:action #port:commodore>amiga #lang:ja #unlicensed:bootleg,36
#players:1 #genre:action #port:sharp>x68000 #lang:en,37
#players:1 #genre:action #reboxed:megadrive3 #lang:pt,38
#players:1 #genre:action #reboxed:megadrive4 #lang:pt,39
#players:1 #genre:action #rev:a #reboxed:segaclassic #lang:en,40
#players:1 #genre:action #save:password #based:movie #lang:en,41
#players:1 #genre:action #save:password #based:movie #lang:en #unfinished:beta,42
#players:1 #genre:action #save:password #lang:en,43
#players:1 #genre:action #save:password #lang:en #unfinished:beta,44
#players:1 #genre:action #save:password #port:apple>apple2 #lang:en,45
#players:1 #genre:action #save:password #port:apple>apple2 #lang:en #unfinished:beta>1,46
#players:1 #genre:action #save:password #port:apple>apple2 #lang:en #unfinished:beta>2,47
#players:1 #genre:action #save:password #port:commodore>amiga #lang:en #unlicensed,48
#players:1 #genre:action #save:password #port:pc #lang:en #unfinished:proto,49
#players:1 #genre:action #save:password #search:keyword>brand #lang:en,50
#players:1 #genre:action #search:feature>spiderman #lang:en,51
#players:1 #genre:action #search:feature>spiderman #lang:en #rerelease:virtualconsole>wii,52
#players:1 #genre:action #search:feature>spiderman #reboxed:segaclassic #lang:en #rev:b,53
#players:1 #genre:action #search:feature>spiderman #reboxed:segaclassic #lang:en #rev:b #unfinished:beta,54
#players:1 #genre:action #search:feature>spiderman #reboxed:segaclassic #lang:en #rev:c,55
#players:1 #genre:action #search:feature>spiderman>batman #lang:en,56
#players:1 #genre:action #search:feature>spiderman>batman #lang:en #rev:a,57
#players:1 #genre:action:adventure #based:simpsons #port:nintendo>famicom #lang:en,58
#players:1 #genre:action:adventure #based:simpsons #port:nintendo>famicom #lang:en #rev:a,59
#players:1 #genre:action:adventure #based:simpsons #port:nintendo>famicom #lang:en #unlicensed:bootleg,60
#players:1 #genre:action:adventure #embedded:backup>battery #save:backup #port:pc #lang:en,61
#players:1 #genre:action:adventure #embedded:backup>battery #save:backup #port:pc #lang:en #unfinished:beta>1,62
#players:1 #genre:action:adventure #embedded:backup>battery #save:backup #port:pc #lang:en #unfinished:beta>2,63
#players:1 #genre:action:adventure #save:password #lang:en,64
#players:1 #genre:action:adventure #save:password #lang:en #rev:a #unfinished:proto,65
#players:1 #genre:action:adventure #save:password #lang:en #unfinished:beta,66
#players:1 #genre:action:adventure #save:password #lang:en:fr,67
#players:1 #genre:action:adventure #save:password #lang:en:fr #unfinished:beta,68
#players:1 #genre:action:adventure #save:password #lang:en:fr:de:es,69
#players:1 #genre:action:adventure #save:password #lang:ja,70
#players:1 #genre:action:adventure #save:password #lang:ja #unfinished:beta,71
#players:1 #genre:action:adventure #save:password #reboxed:megahit #lang:en,72
#players:1 #genre:action:adventure:minigames #based:simpsons #lang:en,73
#players:1 #genre:action:adventure:shmup>h #save:password #based #lang:en,74
#players:1 #genre:action:adventure>pointandclick #save:password #port:nintendo>superfamicom #search:feature>pacman #lang:en,75
#players:1 #genre:action:puzzle #lang:en,76
#players:1 #genre:action:puzzle #lang:en #unfinished:beta,77
#players:1 #genre:action:puzzle #lang:en #unfinished:beta #alt,78
#players:1 #genre:action:puzzle #lang:en #unfinished:proto,79
#players:1 #genre:action:puzzle #lang:en #unlicensed,80
