name,developer_id
8ing/Raizing,1
9003,2
A-Wave,3
ADK,4
AIC Spirits/Studio Orphee,5
AIC/Pioneer/Studio Orphee,6
AKI/T's Music,7
ASCII Something Good,8
ASCII/Bits Laboratory/ESP,9
ASCII/Cube,10
ATD,11
ATD/Silicon Dreams,12
Abogado Powers,13
Abogado Powers/ScareCrow/YII/Aoni,14
Access,15
Access/Cube/Adventure Planning Service,16
Access/Headroom/Image Works,17
Active,18
Adrenalin,19
Affect Boom/Kuusou Kagaku/Psikyo,20
Ailsoft/Cube,21
Aisystem Tokyo,22
Alexandria/Tachyon,23
Altron,24
Amazing Studios,25
American Laser Games,26
Anchor,27
Ancient,28
Ancient/SEGA CS,29
Ancient/Yuzo Koshiro,30
Angel,31
Aorn,32
Aplix,33
Aplix/SEGA,34
Appaloosa,35
Arc Developments,36
Arc System Works,37
Argonaut,38
Ariadne,39
Aspect,40
Astrovision,41
Atelier Double,42
Atelier Double/Office Crescendo,43
Athena,44
Atlus,45
Atlus/Access,46
Axes Art Amuse,47
BEC,48
BEC/Studio Orphee,49
BPS,50
Bandai,51
Bandai/SEGA,52
Bandai/System Sacom,53
Banpresto,54
Banpresto/Cube,55
Beam,56
Bell,57
Bell/Jitensha/SEGA CS/T's Music,58
Bell/SEGA CS/Jitensha/T's Music,59
Betop,60
Big Ape/LucasArts/Jumpin' Jack,61
Bits Laboratory,62
Bits Laboratory/Neverland/T's Music,63
Black Ops/Point of View,64
Break,65
Bullfrog,66
Bullfrog/Krisalis,67
Burst,68
Burst/Tommy Talarico Studios,69
Buzz Puppet/The Advanced Technology Group,70
C&E/Alfa System,71
C's Ware,72
C-Lab/Bahamut,73
C-Seven,74
CAPCOM,75
CAPCOM/Xebec,76
CAProduction/T's Music,77
CRI,78
CRI/SEGA AM3,79
CRYO,80
CSK,81
Captain Soft,82
Captain Soft/SEGA,83
CareerSoft,84
CareerSoft/Cube,85
CareerSoft/Zerosystem,86
Cave,87
Cave/Atlus,88
Cave/Victor,89
ChatNoir,90
ChatNoir/Opus,91
Chime,92
Chime‏‎/Heat Think/ALU/Studio Cliche/Alcyon/Omiya/ADS/Tokyo Kids,93
Chunsoft/Tomcat System,94
Clef,95
Climax,96
Clockwork/Perfect,97
Cocktail/Stack,98
Coconuts,99
Compile,100
Core Design,101
Core Design/Eidos,102
Cosmos Computer,103
Craft Image,104
Creative Edge,105
Crystal Dynamics,106
Crystal Dynamics/Beam/Silicon Knights,107
Crystal Dynamics/Team Titan,108
Crystal Dynamics/Webtone/BioVision,109
Culture Brain,110
Cunning,111
Cyan/Interprog,112
Cybelle/Marcus/Studio Comix,113
Cybelle/Marcus/Studio Comix/Tiny Art/T's Music,114
Cyberdreams,115
Cynus,116
Daft,117
Daiki,118
Daiki/F Creative Factory/TamTam,119
Data East,120
Data East/DPM,121
Data East/Highwaystar,122
Data East/Studio Line/Sakata SAS,123
Datt,124
Denshi Media,125
Digital Eclipse,126
Digital Factory,127
Digital Illusions,128
Digital Pictures,129
Digitalogue/Saru Brunei/Digitalware/BMG,130
Digitalware,131
Digitalware/Fujitsu,132
Digitalware/G&F,133
Digitalware/Nihon Bussan,134
Ding,135
Discis/ELOI,136
Ecole,137
Ecseco,138
Eidos,139
Eleca,140
Electronic Arts,141
Electronic Arts/Climax,142
Electronic Arts/MBL Research,143
Electronic Arts/Tiburon,144
Electronic Arts/Victor,145
Eleven,146
Elf,147
Elf/MBA,148
Emotion Digital Software,149
Emotion/B-Factory/Gaga/Cyberdreams/Destiny,150
Ergo,151
Ergosoft,152
Etona,153
Eurocom,154
Exe-Create,155
Exit,156
Extended Play/Electronic Arts/Probe,157
Extended Play/Perfect,158
Eyeful Home,159
Feycraft,160
Fill in Cafe,161
Flight-Plan,162
Flight-Plan/T's Music/81 Produce/Aoni/Twofive,163
Flight-Plan/T's Music/Aoni,164
Flight-Plan‏‎,165
Floor/Studio Cliche,166
Four Winds,167
Four Winds/Chameleon House,168
Fujitsu,169
Fun House,170
Funcom,171
Funcom/JVC,172
Fupac,173
Fupac/Nexus/Scarab,174
Fupac/Roommate Project,175
GE,176
GE/ISCO,177
GE/Scarab,178
Gai Brain/Hidaka/Plus & Plus/Aspect,179
Gainax/AKAI,180
Gainax/CRI,181
Gainax/Ninelives,182
Gainax/SEGA,183
Game Arts,184
Game Arts/Aoni/T's Music,185
Game Arts/JAM/Gonzo/Kusanagi,186
Game Arts/Mecano,187
Game Arts/Studio Alex,188
Game Arts/Vanguard,189
Game Arts/Youmex/Twofive,190
Game Studio,191
Game Studio/T's Music,192
Gazelle,193
Genki,194
Genki/Natsume,195
Genki/Sol,196
Geo Factory,197
Giga,198
Gimmick House,199
Givro/Crowd/Buddy Zoo/Twofive,200
Glams,201
Goo,202
Goo!,203
Goo!/Four Winds/XCentury/Sofel,204
Gray Matter,205
Gremlin,206
H Project/Craftsman Arts,207
Hakuhodo,208
Headroom/NEC InterChannel,209
Headroom/Tenky,210
High Score/Fat Box,211
High Voltage,212
Highwaystar,213
Hitachi,214
Hitachi/Kyouiku Design Kenkyusyo,215
Hookstone,216
Hudson,217
Hudson/Compozila/Imagica/T's Music,218
Hudson/Red,219
Human,220
IBIS,221
IMP,222
ISCO,223
ITL,224
Ichimura Engineering/Athena/DSP/Digitalware,225
Ichimura Engineering/MediaWorks,226
Iguana,227
Iguana/The White Team,228
Iguana/White Team,229
Illusions,230
Imagineer,231
Infini,232
Infocom/Activision,233
Infogrames,234
Inner Brain,235
InterServ/Alfa System,236
Interactive Studios,237
Interprog,238
Interrupt,239
Irem,240
Irem/Banpresto,241
I²Project,242
JAM,243
JAMP/TamTam,244
JSH/SIMS,245
JVC,246
Jack Pot,247
Jaleco,248
Jaleco/81 Produce,249
Jaleco/Aoni,250
Japan Media Programming,251
Japan Media Programming/Biox,252
Japan Media Programming/Ozla Pictures,253
Japan Media Programming/SEGA CS,254
Jumpin' Jack/Gonzo,255
Jumpin' Jack/SEGA Away Team,256
KAZe,257
KCEA/Cube/Virtual Kiss,258
KCEJ,259
KCEN,260
KCEN/81 Produce,261
KCEO/USP,262
KCES,263
KCET,264
KCET/Virtual Kiss,265
KCEY,266
KID,267
KID/Studio Cliche/Aoni,268
KSS,269
Kamui,270
Kan's,271
Koei,272
Koei/Studio Cliche,273
Koga Game Factory,274
Koma,275
Konami,276
Kouyousha,277
Krisalis,278
Kuusou Kagaku/SEGA,279
Kuusou Kagaku/SEGA/Studio Cliche,280
Lay-Up/Sonnet,281
Left Field,282
Lemon,283
Lobotomy,284
Log/Mainichi,285
MARS/Alfa System,286
MBA,287
MMC Planning/Japan System Supply,288
Maboroshi Ware,289
Magical Company,290
Magical Formation,291
Mainichi,292
Mainichi/Oxford,293
Make Software,294
Manic Media,295
Masterpiece,296
Masterpiece/Access/Cube,297
Masudaya,298
Maxis/SEGA CS,299
Media Entertainment,300
Media Gallop‏‎,301
Media Quest,302
Media Quest/Infini,303
Media Rings,304
MediaWorks,305
Mediamuse,306
Merit,307
Mesa Logic/Tantalus/Perfect,308
Metem/Digital Media Lab,309
Metro,310
Micro Cabin,311
Micro Cabin/Team Immortal,312
