game_id,screen_title_en,screen_title_native,cover_title_en,cover_title_native,release_date
powerslave,1999,,Seireki 1999: Pharaoh no Fukkatsu,西暦1999 ファラオの復活,1996-11-29
2taxgold,2Tax Gold,,2Tax Gold,2Tax Gold ニタックスゴールド,1997-01-17
3dbaseball,3D Baseball: The Majors,,3D Baseball: The Majors,3D Baseball: The Majors 3Dベースボール ザ・メジャー,1997-01-31
3dlemmings,3D Lemmings,,3D Lemmings,3D Lemmings 3Dレミングス,1996-08-23
3x3eyeskyuuseikoushu,3x3 Eyes: Kyūsei Kōshu,3x3 Eyes 吸精公主,3x3 Eyes: Kyūsei Kōshu S,3x3 Eyes サザンアイズ 吸精公主 S,1996-04-19
3x3eyeskyuuseikoushu,3x3 Eyes: Kyūsei Kōshu,3x3 Eyes 吸精公主,3x3 Eyes: Kyūsei Kōshu S,3x3 Eyes サザンアイズ 吸精公主 S,1996-04-19
3x3eyeskyuuseikoushu,3x3 Eyes: Kyūsei Kōshu,3x3 Eyes 吸精公主,3x3 Eyes: Kyūsei Kōshu S (Special CD-ROM),3x3 Eyes サザンアイズ 吸精公主 S (スペシャル CD-ROM),1996-04-19
6inchmydarling,6 Inch My Darling,6インチまいだーりん,6 Inch My Darling,6インチまいだーりん,1998-12-23
actuagolf,Actua Golf,Actua Golf アクチャー ゴルフ,Actua Golf,Actua Golf アクチャーゴルフ,1997-04-04
actuasoccer,Actua Soccer,Actua Soccer アクチャー・サッカー,Actua Soccer,Actua Soccer アクチャーサッカー,1996-10-04
advancedvg,Advanced V.G. Variable Geo,Advanced V.G. ヴァリアブル・ジオ,Advanced V.G. Variable Geo,Advanced V.G. ヴァリアブル・ジオ,1997-03-14
advancedvg,Advanced V.G. Variable Geo,Advanced V.G. ヴァリアブル・ジオ,Advanced V.G. Variable Geo,Advanced V.G. ヴァリアブル・ジオ,1997-03-14
advancedworldwarsennenteikokunokouboulotm,Advanced World War: Sennen Teikoku no Kōbō: Last of the Millennium,Advanced World War 千年帝国の興亡 Last of the Millennium,Advanced World War 千年帝国の興亡 Last of the Millennium アドバンスド ワールド ウォー 千年帝国の興亡,,1997-03-20
advancedworldwarsennenteikokunokouboulotm,Advanced World War: Sennen Teikoku no Kōbō: Last of the Millennium,Advanced World War 千年帝国の興亡 Last of the Millennium,Advanced World War 千年帝国の興亡 Last of the Millennium アドバンスド ワールド ウォー 千年帝国の興亡,,1998-02-11
afterburner2,After Burner II,,SEGA Ages: After Burner II,SEGA Ages: After Burner II アフターバーナーII,1996-09-27
aiigo,AI Igo,AI囲碁,AI Igo,AI囲碁,1997-07-11
goodislandcafe,Ai Iijima: Good Island Cafe,,Ai Iijima Interactive Video Clip: Good Island Cafe,,1996-09-27
aishougi,AI Shōgi,AI将棋,AI Shōgi,AI将棋,1995-08-25
aishougi2,AI Shōgi 2,AI将棋2,AI Shōgi 2,AI将棋2,1998-06-11
airmanagement96,Air Management '96,Air Management '96 エアーマネジメント,Air Management '96,Air Management '96 エアーマネジメント,1996-03-26
airmanagement96,Air Management '96,Air Management '96 エアーマネジメント,Air Management '96,Air Management '96 エアーマネジメント,1998-04-09
airsadventure,AirsAdventure,,AirsAdventure,,1996-12-20
akumajoudraculaxgekkanoyasoukyoku,Akumajō Dracula X: Gekka no Yasōkyoku,悪魔城ドラキュラX 月下の夜想曲,Akumajō Dracula X: Gekka no Yasōkyoku,悪魔城ドラキュラX 月下の夜想曲,1998-06-25
albertodysseygaidenlegendofeldean,Albert Odyssey Gaiden: Legend of Eldean,Albert Odyssey 外伝 Legend of Eldean,Albert Odyssey Gaiden: Legend of Eldean,Albert Odyssey アルバート オデッセイ 外伝 Legend of Eldean,1996-08-09
albertodysseygaidenlegendofeldean,Albert Odyssey Gaiden: Legend of Eldean,Albert Odyssey 外伝 Legend of Eldean,Albert Odyssey Gaiden: Legend of Eldean (Shokai Press Gentei),Albert Odyssey アルバート オデッセイ 外伝 Legend of Eldean (初回プレス限定),1996-08-09
albertodysseygaidenlegendofeldean,Albert Odyssey Gaiden: Legend of Eldean,Albert Odyssey 外伝 Legend of Eldean,Albert Odyssey Gaiden: Legend of Eldean,Albert Odyssey アルバート オデッセイ 外伝 Legend of Eldean,1997-06-20
albumclubmunekyunsaintpauliajogakuin,Album Club: Mune Kyun: St. Paulia Jogakuin,アルバム倶楽部 胸キュン セントポーリア女学院,Album Club: Mune Kyun: St. Paulia Jogakuin,アルバム倶楽部 胸キュン セントポーリア女学院,1997-07-11
ateliermariesalburgnorenkinjutsushi,Alchemist Atelier Marie,Alchemist Atelier Marie マリーのアトリエ,Alchemist Atelier Marie Ver. 1.3: Salburg no Renkinjutsushi,Alchemist Atelier Marie マリーのアトリエ Ver.1.3 ザールブルグの錬金術士,1997-12-11
alientrilogy,Alien Trilogy,,Alien Trilogy,Alien Trilogy エイリアントリロジー,1996-08-30
aloneinthedark2,Alone in the Dark 2,,Alone in the Dark 2,Alone in the Dark 2 アローン・イン・ザ・ダーク2,1996-02-23
amagishien,Amagi Shien,天城紫苑,Amagi Shien,天城紫苑,1997-02-14
americaoudanultraquiz,America Ōdan Ultra Quiz,アメリカ横断ウルトラクイズ,America Ōdan Ultra Quiz,アメリカ横断ウルトラクイズ,1995-10-27
amok,A+M+O+K,,A+M+O+K,,1997-06-20
seiyamonogatariafs,AnEarth Fantasy Stories: The First Volume,,AnEarth Fantasy Stories: The First Volume,AnEarth Fantasy Stories エイナス ファンタジー ストーリーズ The First Volume,1997-03-28
angelgraffitianataenoprofile,Angel Graffiti S: Anata e no Profile,エンジェルグラフィティS あなたへのプロフィール,Angel Graffiti S: Anata e no Profile,エンジェルグラフィティS あなたへのプロフィール,1997-07-25
angelparadisevol1sakakiyukokoinoyokaninhollywood,Angel Paradise Vol. 1: Sakaki Yuko: Koi no Yokan in Hollywood,Angel Paradise Vol.1 坂木優子 恋の予感 in Hollywood,Angel Paradise Vol. 1: Sakaki Yuko: Koi no Yokan in Hollywood,Angel Paradise Vol.1 坂木優子 恋の予感 in Hollywood,1996-04-19
