game_id,developer_id
powerslave,284
2taxgold,43
3dbaseball,109
3dlemmings,97
3x3eyeskyuuseikoushu,322
3x3eyeskyuuseikoushu,322
3x3eyeskyuuseikoushu,322
6inchmydarling,267
actuagolf,206
actuasoccer,206
advancedvg,239
advancedvg,239
advancedworldwarsennenteikokunokouboulotm,437
advancedworldwarsennenteikokunokouboulotm,437
afterburner2,417
aiigo,223
goodislandcafe,235
aishougi,502
aishougi2,8
airmanagement96,272
airmanagement96,272
airsadventure,192
akumajoudraculaxgekkanoyasoukyoku,261
albertodysseygaidenlegendofeldean,525
albertodysseygaidenlegendofeldean,525
albertodysseygaidenlegendofeldean,525
albumclubmunekyunsaintpauliajogakuin,497
ateliermariesalburgnorenkinjutsushi,202
alientrilogy,388
aloneinthedark2,234
amagishien,518
americaoudanultraquiz,372
amok,283
seiyamonogatariafs,226
angelgraffitianataenoprofile,41
angelparadisevol1sakakiyukokoinoyokaninhollywood,476
angelparadisevol2yoshinokimikaisshoniitaiinhawaii,476
angeliqueduet,272
angeliqueduet,272
angelique,272
angelique,272
angelique,272
angeliquespecial2,272
angeliquespecial2,272
anothermemories,513
aquaworldumimonogatari,326
aquazonedesktoplife,2
aquazonedesktoplifeoptiondiscseries1angelfish,357
aquazonedesktoplifeoptiondiscseries2blackmolly,357
aquazonedesktoplifeoptiondiscseries3blueemperor,357
aquazonedesktoplifeoptiondiscseries4clownloach,357
aquazonedesktoplifeoptiondiscseries5falserummynose,357
arcanastrikes,547
area51,308
sidandalsincredibletoons,291
assaultrigs,375
assaultsuitleynos2,330
astrasuperstars,527
asuka120limitedburningfest,161
ayakashinindenkunoichiban,488
ayakashinindenkunoichiban,488
ayrtonsennapersonaltalkmessageforthefuture,418
azelpanzerdragoonrpg,559
azelpanzerdragoonrpg,559
azelpanzerdragoonrpg,559
azelpanzerdragoonrpg,559
azelpanzerdragoonrpg,559
azelpanzerdragoonrpg,559
backguineryomigaeruyuushatachikakuseihenguinertensei,595
backguineryomigaeruyuushatachikakuseihenguinertensei,595
backguineryomigaeruyuushatachihishouhenuragirinosenjou,595
backguineryomigaeruyuushatachihishouhenuragirinosenjou,595
bakubakuanimal,424
bakubakuanimal,424
bakuretsuhunter,60
bakuretsuhunter,60
bakuretsuhunterr,510
bakushouallyoshimotoquizouketteisendx,615
baldyland,105
baroque,516
batmanforeverac,227
batsugun,193
battleathletessdaiundoukai,5
battlegaregga,399
battlemonsters,476
beachdereach,336
bigichigekipachislodaikouryakuuniversalmuseum,351
bigichigekipachislodaikouryakuuniversalmuseum,351
bigthankssuperkeirindreamwithkeirin50years,40
biohazard,344
bishoujohanafudakikoumichinokuhitoukoimonogatarispecial,355
bishoujosenshisailormoonsuperszeninsankashuyakusoudatsusen,31
bishoujovarietygamerapyuluspanic,487
blackdawn,64
blackmatrix,165
blackmatrix,165
blackmatrix,165
blackfire,354
blammachinehead,101
blastwind,563
loaded,206
bluebreakerkenyorimohohoemiwo,518
blueseedkushinadahirokuden,452
bodyspecial264girlsinmotionpuzzlevol2,251
bombermanwars,310
boukenkatsugekimonomono,549
brainbattleq,95
braindead13,400
breakpoint,358
breakthruzoo,490
bubblesymphony,135
bug,403
bugtoo,404
bulkslash,77
bulkslash,77
burningrangers,504
cancanbunnyextra,98
cancanbunnypremiere,98
cancanbunnypremiere,98
cancanbunnypremiere2,98
cancanbunnypremiere2,98
cancanbunnypremiere2,98
cancanbunnypremiere2,98
capcomgeneration1,75
capcomgeneration2,75
capcomgeneration3,75
capcomgeneration4,75
capcomgeneration5,75
casper,171
cattheripper13ninmenotanteishi,573
cebuisland96mahjongkyoujidai,315
cebuisland96mahjongkyoujidai,315
chaoscontrol,234
chaoscontrol,234
chibimarukochannotaisenpuzzledama,276
choroqpark,344
choroqpark,344
chouanikikyuukyokumutekigingasaikyouotoko,382
christmasnightsintodreams,504
civilization,314
cleopatrafortune,543
clockwerx,47
clockworkknightpepperouchaunofukubukuro,560
clockworkknightpepperouchausadventure,560
clockworkknightpepperouchausadventure2,560
coder,562
segaagescolumnsarcadecollection,29
commandandconquer,608
commandandconquer,608
commandandconquer,608
commandandconquer,608
couriercrisis,343
creatureshock,237
creatureshock,237
crimewave,139
criticom,380
croclegendofthegobbos,38
crossromancekoitomahjongtohanafudato,134
crosstanteimonogatarimotsuretananatsunolabyrinth,610
crosstanteimonogatarimotsuretananatsunolabyrinth,610
crowsthebattleactionforsegasaturn,225
cubebattlerstoryofanna,613
cubebattlerstoryofshou,613
cubicgalleryedyanddisy,604
culdcept,360
culdcept,360
cyberdoll,60
cyberdoll,60
cyberbots,75
cyberbots,75
cyberia,611
dnoshokutaku,603
dnoshokutaku,603
dnoshokutaku,603
dnoshokutaku,603
dxhird,546
dxhird,546
daiboukensaintelmosnokiseki,499
daikoukaijidai,272
daikoukaijidai2,272
daikoukaijidai2,272
daisenryakustrongstyle,533
daisukeasakuramediaromancer,170
daisuki,518
daisuki,518
daitoride,310
dariusgaiden,22
dariusgaiden,22
darius2,224
darkhuntergeyoumanomori,272
darkhunterjouijigengakuen,272
darksavior,96
darkseed2,150
darkseed,115
daytonausa,422
daytonausa,424
deadoralive,561
deadoralive,561
deadoralive,561
deadalus,316
deadalus,316
deadalus,316
deathcrimson,137
deaththrottlekakuzetsutoshikaranodasshutsu,303
angeldevoidfaceoftheenemy,589
angeldevoidfaceoftheenemy,589
angeldevoidfaceoftheenemy,589
decathlete,424
decathlete,424
decathlete,424
decathlete,424
decathlete,424
deepfear,532
deepfear,532
defcon5,321
dejigaquaworld,298
dejiglassenartcollection,298
dejigmcknightartcollection,298
dejigtintoy,298
hardcore4x4,206
delisobadeluxe,445
dennousenkivirtualon,78
dennousenkivirtualon,79
denpashounentekigame,173
denpashounentekigame,173
denpashounentekigame2,173
densetsunoogrebattle,412
denshadego,271
derbyanalyst,300
derbystallion,371
deroonderodero,564
desire,72
desire,72
desire,72
desire,72
destructionderby,410
detanatwinbeeyahhodeluxepack,276
devicereign,515
devilsummonersoulhackers,45
devilsummonersoulhackers,45
devilsummonersoulhackersakumazenshodainishuu,45
devilsummonersoulhackers,45
dezaemon2,44
diehardtrilogy,389
dennoutenshidigitalange,274
digitaldancemixamuronamie,422
digitaldancemixamuronamie,422
digitalmonsterversdigimontamers,52
necronomicondigitalpinball,257
dinoisland,184
discworld,374
djwars,156
dodonpachi,87
dodonpachi,87
donpachi,87
doom,397
doraemonnobitatofukkatsunohoshi,470
doukokusoshite,123
doukokusoshite,123
doukyuusei,164
doukyuusei2,163
doukyuusei2,163
dragonballzidainarudragonballdensetsu,48
dragonballzidainarudragonballdensetsu,48
dragonballzshinbutouden,539
dragonforce,433
dragonforce,433
dragonforce,433
dragonforce2kamisarishidaichini,93
dragonforce2kamisarishidaichini,93
dragonmastersilk,199
dragonsdream,446
dreamgenerationkoikashigotoka,411
dreamsquarehinagataakiko,593
druiddaemonsofthemind,272
dungeonmasternexus,590
dungeonsanddragonscollection,75
dungeonsanddragonscollection,75
dxnippontokkyuuryokougame,251
dynamitedeka,428
dynamitedeka,428
earthwormjim2,480
eberouge,251
eberouge,251
eberougespecialkoitomahounogakuenseikatsu,252
egword,152
egword,151
egword,151
eiseimeijin,276
eiseimeijin2,264
eiyuushigangalactheroism,311
elevatoractionreturns,544
elfwokarumonotachi,24
elfwokarumonotachi,24
elfwokarumonotachihanafudahen,586
elfwokarumonotachi2,24
elfwokarumonotachi2,24
emitvol1tokinomaigo,272
emitvol2inochigakenotabi,272
emitvol3watashinisayonarawo,272
enemyzero,603
enemyzero,603
enemyzero,603
enemyzero,603
enemyzero,603
enemyzero,603
enemyzero,603
enemyzero,603
enemyzero,603
enemyzero,603
enemyzero,603
enemyzero,603
enemyzero,603
enemyzero,603
enemyzero,603
enemyzero,603
eternalmelody,514
eternalmelody,514
etudeprologueyureugokukokoronokatachi,548
evebursterror,72
evebursterror,72
evebursterror,72
evebursterror,72
evebursterror,72
evebursterror,72
evebursterror,72
evebursterror,72
evebursterror,72
evebursterror,72
evebursterror,72
evebursterror,72
evethelostone,72
evethelostone,72
evethelostone,72
evethelostone,72
evethelostone,72
evethelostone,72
eyefulhome,159
f1liveinformation,59
falcomclassics,155
falcomclassics,155
falcomclassics,155
falcomclassics,155
falcomclassics2,155
falcomclassics2,155
falcomclassics2,246
fantastep,248
fantasyzone,417
farlandsaga,538
farlandsagatokinomichishirube,538
farlandsagatokinomichishirube,538
farlandstory2,538
fatherchristmas,321
fedatheemblemofjustice,268
fifa96,157
fightershistorydynamite,415
fightershistorydynamite,415
fightersmegamix,422
fightersmegamix,422
fightersmegamix,422
