game_id,publisher_id
powerslave,21
2taxgold,89
3dbaseball,21
3dlemmings,94
3x3eyeskyuuseikoushu,143
3x3eyeskyuuseikoushu,143
3x3eyeskyuuseikoushu,143
6inchmydarling,103
actuagolf,139
actuasoccer,139
advancedvg,201
advancedvg,201
advancedworldwarsennenteikokunokouboulotm,171
advancedworldwarsennenteikokunokouboulotm,171
afterburner2,171
aiigo,5
goodislandcafe,97
aishougi,189
aishougi2,5
airmanagement96,111
airmanagement96,111
airsadventure,82
akumajoudraculaxgekkanoyasoukyoku,113
albertodysseygaidenlegendofeldean,197
albertodysseygaidenlegendofeldean,197
albertodysseygaidenlegendofeldean,197
albumclubmunekyunsaintpauliajogakuin,188
ateliermariesalburgnorenkinjutsushi,93
alientrilogy,7
aloneinthedark2,59
amagishien,35
americaoudanultraquiz,228
amok,111
seiyamonogatariafs,127
angelgraffitianataenoprofile,36
angelparadisevol1sakakiyukokoinoyokaninhollywood,178
angelparadisevol2yoshinokimikaisshoniitaiinhawaii,178
angeliqueduet,111
angeliqueduet,111
angelique,111
angelique,111
angelique,111
angeliquespecial2,111
angeliquespecial2,111
anothermemories,195
aquaworldumimonogatari,121
aquazonedesktoplife,1
aquazonedesktoplifeoptiondiscseries1angelfish,148
aquazonedesktoplifeoptiondiscseries2blackmolly,148
aquazonedesktoplifeoptiondiscseries3blueemperor,148
aquazonedesktoplifeoptiondiscseries4clownloach,148
aquazonedesktoplifeoptiondiscseries5falserummynose,148
arcanastrikes,204
area51,189
sidandalsincredibletoons,30
assaultrigs,189
assaultsuitleynos2,120
astrasuperstars,197
asuka120limitedburningfest,6
ayakashinindenkunoichiban,183
ayakashinindenkunoichiban,183
ayrtonsennapersonaltalkmessageforthefuture,171
azelpanzerdragoonrpg,171
azelpanzerdragoonrpg,171
azelpanzerdragoonrpg,171
azelpanzerdragoonrpg,171
azelpanzerdragoonrpg,171
azelpanzerdragoonrpg,171
backguineryomigaeruyuushatachikakuseihenguinertensei,231
backguineryomigaeruyuushatachikakuseihenguinertensei,231
backguineryomigaeruyuushatachihishouhenuragirinosenjou,231
backguineryomigaeruyuushatachihishouhenuragirinosenjou,231
bakubakuanimal,171
bakubakuanimal,171
bakuretsuhunter,90
bakuretsuhunter,90
bakuretsuhunterr,109
bakushouallyoshimotoquizouketteisendx,245
baldyland,27
baroque,66
batmanforeverac,7
batsugun,27
battleathletessdaiundoukai,95
battlegaregga,58
battlemonsters,139
beachdereach,118
bigichigekipachislodaikouryakuuniversalmuseum,6
bigichigekipachislodaikouryakuuniversalmuseum,6
bigthankssuperkeirindreamwithkeirin50years,222
biohazard,30
bishoujohanafudakikoumichinokuhitoukoimonogatarispecial,68
bishoujosenshisailormoonsuperszeninsankashuyakusoudatsusen,12
bishoujovarietygamerapyuluspanic,184
blackdawn,232
blackmatrix,137
blackmatrix,137
blackmatrix,137
blackfire,232
blammachinehead,232
blastwind,208
loaded,99
bluebreakerkenyorimohohoemiwo,89
blueseedkushinadahirokuden,171
bodyspecial264girlsinmotionpuzzlevol2,244
bombermanwars,88
boukenkatsugekimonomono,183
brainbattleq,33
braindead13,36
breakpoint,155
breakthruzoo,21
bubblesymphony,54
bug,171
bugtoo,171
bulkslash,88
bulkslash,88
burningrangers,171
cancanbunnyextra,103
cancanbunnypremiere,103
cancanbunnypremiere,103
cancanbunnypremiere2,103
cancanbunnypremiere2,103
cancanbunnypremiere2,103
cancanbunnypremiere2,103
capcomgeneration1,30
capcomgeneration2,30
capcomgeneration3,30
capcomgeneration4,30
capcomgeneration5,30
casper,98
cattheripper13ninmenotanteishi,216
cebuisland96mahjongkyoujidai,132
cebuisland96mahjongkyoujidai,132
chaoscontrol,232
chaoscontrol,232
chibimarukochannotaisenpuzzledama,113
choroqpark,204
choroqpark,204
chouanikikyuukyokumutekigingasaikyouotoko,120
christmasnightsintodreams,171
civilization,15
cleopatrafortune,203
clockwerx,214
clockworkknightpepperouchaunofukubukuro,171
clockworkknightpepperouchausadventure,171
clockworkknightpepperouchausadventure2,171
coder,165
segaagescolumnsarcadecollection,171
commandandconquer,171
commandandconquer,171
commandandconquer,171
commandandconquer,171
couriercrisis,21
creatureshock,49
creatureshock,49
crimewave,232
criticom,223
croclegendofthegobbos,125
crossromancekoitomahjongtohanafudato,142
crosstanteimonogatarimotsuretananatsunolabyrinth,240
