game_id,tag_id
powerslave,1903
2taxgold,715
3dbaseball,1729
3dlemmings,704
3x3eyeskyuuseikoushu,198
3x3eyeskyuuseikoushu,211
3x3eyeskyuuseikoushu,221
6inchmydarling,443
actuagolf,1867
actuasoccer,1380
advancedvg,1547
advancedvg,1548
advancedworldwarsennenteikokunokouboulotm,1850
advancedworldwarsennenteikokunokouboulotm,1851
afterburner2,1022
aiigo,1417
goodislandcafe,574
aishougi,518
aishougi2,1425
airmanagement96,1853
airmanagement96,1854
airsadventure,840
akumajoudraculaxgekkanoyasoukyoku,107
albertodysseygaidenlegendofeldean,814
albertodysseygaidenlegendofeldean,820
albertodysseygaidenlegendofeldean,821
albumclubmunekyunsaintpauliajogakuin,247
ateliermariesalburgnorenkinjutsushi,849
alientrilogy,976
aloneinthedark2,430
amagishien,234
americaoudanultraquiz,1841
amok,1709
seiyamonogatariafs,816
angelgraffitianataenoprofile,1098
angelparadisevol1sakakiyukokoinoyokaninhollywood,702
angelparadisevol2yoshinokimikaisshoniitaiinhawaii,702
angeliqueduet,318
angeliqueduet,323
angelique,321
angelique,322
angelique,322
angeliquespecial2,319
angeliquespecial2,320
anothermemories,234
aquaworldumimonogatari,622
aquazonedesktoplife,1162
aquazonedesktoplifeoptiondiscseries1angelfish,1162
aquazonedesktoplifeoptiondiscseries2blackmolly,1162
aquazonedesktoplifeoptiondiscseries3blueemperor,1162
aquazonedesktoplifeoptiondiscseries4clownloach,1162
aquazonedesktoplifeoptiondiscseries5falserummynose,1162
arcanastrikes,1072
area51,1350
sidandalsincredibletoons,697
assaultrigs,1032
assaultsuitleynos2,127
astrasuperstars,1479
asuka120limitedburningfest,1531
ayakashinindenkunoichiban,309
ayakashinindenkunoichiban,311
ayrtonsennapersonaltalkmessageforthefuture,636
azelpanzerdragoonrpg,823
azelpanzerdragoonrpg,824
azelpanzerdragoonrpg,826
azelpanzerdragoonrpg,828
azelpanzerdragoonrpg,829
azelpanzerdragoonrpg,831
backguineryomigaeruyuushatachikakuseihenguinertensei,908
backguineryomigaeruyuushatachikakuseihenguinertensei,909
backguineryomigaeruyuushatachihishouhenuragirinosenjou,908
backguineryomigaeruyuushatachihishouhenuragirinosenjou,909
bakubakuanimal,1601
bakubakuanimal,1602
bakuretsuhunter,186
bakuretsuhunter,187
bakuretsuhunterr,839
bakushouallyoshimotoquizouketteisendx,1841
baldyland,1061
baroque,791
batmanforeverac,1278
batsugun,1316
battleathletessdaiundoukai,1041
battlegaregga,1307
battlemonsters,1504
beachdereach,510
bigichigekipachislodaikouryakuuniversalmuseum,677
bigichigekipachislodaikouryakuuniversalmuseum,678
bigthankssuperkeirindreamwithkeirin50years,1842
biohazard,18
bishoujohanafudakikoumichinokuhitoukoimonogatarispecial,474
bishoujosenshisailormoonsuperszeninsankashuyakusoudatsusen,1506
bishoujovarietygamerapyuluspanic,541
blackdawn,989
blackmatrix,898
blackmatrix,911
blackmatrix,911
blackfire,989
blammachinehead,987
blastwind,1314
loaded,1272
bluebreakerkenyorimohohoemiwo,844
blueseedkushinadahirokuden,801
bodyspecial264girlsinmotionpuzzlevol2,1585
bombermanwars,1414
boukenkatsugekimonomono,840
brainbattleq,1628
braindead13,5
