name,publisher_id
9003,1
ADK,2
ASC,3
ASCII,4
ASCII Something Good,5
ASK Kodansha,6
Acclaim,7
Acer,8
Activision,9
Altron,10
American Laser Games,11
Angel,12
Aplix,13
Arc System Works,14
Asmik,15
Asmik Ace,16
Aspect,17
Athena,18
Atlus,19
Axela,20
BMG,21
BMG Victor,22
BPS,23
Bandai,24
Bandai Visual,25
Bandai Visual/B-Factory,26
Banpresto,27
Bull's Eye,28
C-Seven,29
CAPCOM,30
CRI,31
Chunsoft,32
Clef,33
Climax,34
Clip House,35
Coconuts,36
Coconuts/Soft Vision,37
Codemasters,38
Compile,39
Cononuts,40
Core Design,41
Crystal Dynamics,42
Crystal Dynamics/BMG Victor,43
Crystal Dynamics/Mindscape,44
Crystal Vision,45
Culture Brain,46
DaZZ,47
Daiki,48
Data East,49
Datam Polystar,50
Datt,51
Denshi Media,52
Digital Pictures,53
Ding,54
Ecole,55
Ecseco,56
Eidos,57
Electronic Arts,58
Electronic Arts Victor,59
Elf,60
Emotion Digital Software,61
Emotion Digital Software/Bandai Visual,62
Empire,63
Enix,64
Epoch,65
Esp,66
Esp/Bandai,67
FOG,68
Fox,69
Fujitsu,70
Fujitsu Parex,71
Fun House,72
Future Publishing,73
GE,74
GMF,75
GT Interactive,76
GT interactive,77
Gaga,78
Gainax,79
Game Arts,80
Game Arts/Esp,81
Game Studio,82
GameBank,83
Glams,84
Gremlin,85
Hakuhodo,86
Hitachi,87
Hudson,88
Human,89
I'Max,90
I-Motion,91
IPC,92
Imadio,93
Imagineer,94
Increment P,95
Infogrames,96
Inner Brain,97
Interplay,98
Interplay/Elecronic Arts Victor,99
JVC,100
Jaleco,101
KAZe,102
KID,103
KSS,104
Kadokawa Shoten,105
Kadokawa Shoten/Esp,106
Kadokawa/Esp,107
Kamata and Partners,108
King Records,109
Kodansha,110
Koei,111
Kokopeli,112
Konami,113
Lay-Up,114
Locus,115
LucasArts,116
Magical Company,117
Mainichi,118
Make Software,119
Masaya,120
Masudaya,121
Maxis,122
Media Entertainment,123
Media Entertainment/Kiss in the Dark,124
Media Quest,125
Media Rings,126
MediaWorks,127
Mega Press,128
Metro,129
Micro Cabin,130
Micro Vision,131
Micronet,132
Midway,133
Mizuki,134
Multisoft,135
Mycom,136
NEC InterChannel,137
Natsume,138
Naxat,139
Neverland/Esp,140
Nexton,141
Nichibutsu,142
Nihon Create,143
Nihon Syscom,144
Nihon System,145
OCC,146
OPeNBooK,147
OPeNBooK9003,148
Ocean,149
Older Games,150
Omiya,151
Oración/SEGA,152
Outrigger,153
Oz Club,154
Pack-In-Soft,155
Pack-In-Video,156
Pai,157
Patra,158
Pioneer,159
Playmates,160
Pony Canyon,161
Psikyo,162
Psygnosis,163
Quintet,164
Quintet/ESP,165
Rapide,166
Ray,167
ReadySoft,168
Red,169
Riverhill,170
SEGA,171
SEGA/Ootsuka,172
SETA,173
SIMS,174
SNK,175
SadaSoft,176
Sai-Mate,177
Sammy,178
Samsung,179
Scholar/Virgin,180
SegaSoft,181
Shar Rock,182
Shoeisha,183
Shoeisha/BMG Victor,184
Shogakukan,185
Shouei System,186
Sieg,187
Societa Daikanyama,188
Soft Bank,189
Soft Office,190
Soft Vision/Coconuts,191
Softstar,192
Spaz/Working Designs,193
Spike,194
Starlight Marry,195
Success,196
Sunsoft,197
T&E,198
TBS,199
TEN‏‎,200
TGL,201
TV Tokyo/Pony Canyon,202
Taito,203
Takara,204
Takarajimasha,205
Takuyo,206
Tec Toy,207
Technosoft,208
Tecmo,209
Telstar,210
Think,211
Time Warner,212
Toei,213
Tokuma Shoten,214
Tomy,215
Tonkin House,216
Toshiba EMI,217
Treasure/Esp,218
U.S.Gold,219
Ubisoft,220
Ubisoft/Vivid Image,221
VAP,222
VIC Tokai,223
VIC Tokai/Virgin,224
VR Sports,225
Vantan,226
Varie,227
Victor,228
Victor/JVC,229
Video System,230
Ving,231
Virgin,232
Visco,233
WIZ,234
Waka,235
Warashi,236
Warp,237
Wooyoung,238
Wooyoung System,239
WorkJam,240
Working Designs,241
Xing,242
Xuse,243
Yanoman,244
Yoshimoto Kogyo,245
Yumedia,246
Zoom,247
id Software,248
id Software/GT Interactive,249
