tag_name,tag_id
#players:1 #genre:action #disc:1>2 #multigame:compilation>timegal #port:arcade #lang:ja:en,1
#players:1 #genre:action #disc:2>2 #multigame:compilation>ninjahayate #port:arcade #lang:ja:en,2
#players:1 #genre:action #port:3do #lang:ja,3
#players:1 #genre:action #save:backup #port:pc #lang:en,4
#players:1 #genre:action #save:backup #port:pc #lang:ja,5
#players:1 #genre:action:adventure #addon:backup>powermemory #save:backup #lang:en,6
#players:1 #genre:action:adventure #addon:backup>powermemory #save:backup #lang:ja,7
#players:1 #genre:action:adventure #addon:backup>powermemory #save:backup #reboxed:satakore #lang:ja,8
#players:1 #genre:action:adventure #addon:controller>sbom:backup>powermemory #save:backup #lang:ja,9
#players:1 #genre:action:adventure #lang:en:fr:de #unfinished:demo,10
#players:1 #genre:action:adventure #lang:ja #unfinished:demo,11
#players:1 #genre:action:adventure #save:backup #based:manganime #lang:ja,12
#players:1 #genre:action:adventure #save:backup #lang:en:fr:de,13
#players:1 #genre:action:adventure:rpg>j:fighting:sports>boxing:sim>date>life:notagame>media #multigame:compilation>tombraider>tengaimakyoudaiyonnomokushirokutheapocalypse4>funkyheadboxers>roommateinoueryouko>emukimiwotsutaete>quovadis #lang:ja #unfinished:demo,14
#players:1 #genre:action:adventure:shooting>fps:notagame>media #multigame:compilation>tombraider>swagman>blammachinehead>fightingforce #lang:en #unfinished:demo,15
#players:1 #genre:action:adventure:shooting>fps:notagame>media #multigame:compilation>tombraider>swagman>blammachinehead>fightingforce #reboxed #lang:en #unfinished:demo,16
#players:1 #genre:action:adventure>survivalhorror #addon:backup>powermemory #save:backup #port:sony>playstation #lang:en,17
#players:1 #genre:action:adventure>survivalhorror #addon:backup>powermemory #save:backup #port:sony>playstation #lang:ja,18
#players:1 #genre:action:adventure>survivalhorror #addon:controller>3dpad:backup>powermemory #save:backup #disc:1>2 #lang:en,19
#players:1 #genre:action:adventure>survivalhorror #addon:controller>3dpad:backup>powermemory #save:backup #disc:1>2 #lang:en #unlicensed,20
#players:1 #genre:action:adventure>survivalhorror #addon:controller>3dpad:backup>powermemory #save:backup #disc:1>2 #lang:ja,21
#players:1 #genre:action:adventure>survivalhorror #addon:controller>3dpad:backup>powermemory #save:backup #disc:2>2 #lang:en,22
#players:1 #genre:action:adventure>survivalhorror #addon:controller>3dpad:backup>powermemory #save:backup #disc:2>2 #lang:en #unlicensed,23
#players:1 #genre:action:adventure>survivalhorror #addon:controller>3dpad:backup>powermemory #save:backup #disc:2>2 #lang:ja,24
#players:1 #genre:action:puzzle #addon:backup>powermemory #save:backup #based:movie #port:nintendo>gameboy #lang:en,25
#players:1 #genre:action:puzzle #addon:backup>powermemory #save:backup #based:movie #port:nintendo>gameboy #lang:en:fr:de,26
#players:1 #genre:action:puzzle #addon:backup>powermemory #save:backup #based:movie #port:nintendo>gameboy #lang:ja,27
