game_id,developer_id
007jamesbond,9
007jamesbond,9
bankpanic,6
bombjack,6
borderline,2
cso,2
chacknpop,6
challengederby,9
challengederby,9
challengederby,9
championbaseball,6
championbaseball,6
championbilliards,2
championboxing,6
championboxing,6
championgolf,6
championgolf,6
championicehockey,6
championkendou,6
championprowrestling,6
championsoccer,6
championtennis,6
championshiploderunner,7
choplifter,2
chuugakuhisshuueibunpou1,8
chuugakuhisshuueibunpou2,8
chuugakuhishuueisakubun1,6
chuugakuhishuueisakubun1,6
chuugakuhishuueisakubun2,6
chuugakuhishuueisakubun2,6
chuugakuhisshuueitango1,8
chuugakuhisshuueitango2,8
chuugakuhisshuueitango2,8
congobongo,6
congobongo,6
congobongo,6
dokidokipenguinland,6
dragonwang,6
dragonwang,6
drol,6
elevatoraction,6
exerion,6
flicky,6
flicky,6
girlsgarden,6
golgo13,6
gpworld,6
gpworld,6
gulkave,2
guzzler,9
hero,6
hangon2,6
homebasic,5
homemahjong,6
homemahjong,6
hustlechumy,7
hypersports,6
kagakugensokigoumaster,6
loderunner,2
monacogp,6
monacogp,6
monacogp,6
musiceditor,5
nihonshinenpyou,8
ninjaprincess,10
nsub,2
nsub,2
okamotoayakonomatchplaygolf,9
okamotoayakonomatchplaygolf,9
orguss,6
othello,6
pacar,6
pacar,6
pitfall2,6
pitfall2,6
popflamer,6
qbert,9
rocknbolt,6
safarihunting,2
safarirace,6
sanninmahjong,9
sanninmahjong,9
basiclevel2,5
basiclevel2,5
basiclevel3,5
basiclevel3,5
segaflipper,6
segaflipper,6
segagalaga,6
segagalaga,6
segamahjong,6
segamahjong,6
segapachinko,6
pachinko2,6
sekaishinenpyou,8
serizawahachidannotsumeshougi,6
sg1000m2checkprogram,4
shinnyuushaintoorukun,6
sinbadmystery,6
soukoban,6
spacearmor,9
spacearmor,9
spacearmor,9
spaceinvaders,6
spacemountain,9
spaceslalom,6
starforce,6
starforce,6
starjacker,6
starjacker,6
starjacker,6
supertank,6
tanoshiisansuu4ge,6
tanoshiisansuu4jou,6
tanoshiisansuu4jou,6
tanoshiisansuu5ge,6
tanoshiisansuu5jou,6
tanoshiisansuu6ge,6
tanoshiisansuu6jou,6
terebioekaki,6
theblackonyx,6
thecastle,6
uranaiangelcutie,6
wonderboy,6
wonderboy,6
yamato,6
yamato,6
zaxxon,6
zippyrace,6
zippyrace,6
zoom909,6
borderline,2
championbaseball,6
championgolf,6
championsoccer,6
championtennis,6
congobongo,6
congobongo,6
exerion,6
flicky,6
loderunner,2
monacogp,6
monacogp,6
musiceditor,5
nsub,2
orguss,6
pacar,6
popflamer,6
safarihunting,2
safarirace,6
basiclevel3,5
basiclevel3,5
segaflipper,6
sinbadmystery,6
starjacker,6
starjacker,6
yamato,6
electronicsalesman,3
linkword,1
choplifter,2
