game_id,publisher_id
007jamesbond,3
007jamesbond,3
bankpanic,2
bombjack,2
borderline,2
cso,2
chacknpop,2
challengederby,3
challengederby,3
challengederby,3
championbaseball,2
championbaseball,2
championbilliards,2
championboxing,2
championboxing,2
championgolf,2
championgolf,2
championicehockey,2
championkendou,2
championprowrestling,2
championsoccer,2
championtennis,2
championshiploderunner,2
choplifter,2
chuugakuhisshuueibunpou1,2
chuugakuhisshuueibunpou2,2
chuugakuhishuueisakubun1,2
chuugakuhishuueisakubun1,2
chuugakuhishuueisakubun2,2
chuugakuhishuueisakubun2,2
chuugakuhisshuueitango1,2
chuugakuhisshuueitango2,2
chuugakuhisshuueitango2,2
congobongo,2
congobongo,2
congobongo,2
dokidokipenguinland,2
dragonwang,2
dragonwang,2
drol,2
elevatoraction,2
exerion,2
flicky,2
flicky,2
girlsgarden,2
golgo13,2
gpworld,2
gpworld,2
gulkave,2
guzzler,3
hero,2
hangon2,2
homebasic,2
homemahjong,2
homemahjong,2
hustlechumy,2
hypersports,2
kagakugensokigoumaster,2
loderunner,2
monacogp,2
monacogp,2
monacogp,2
musiceditor,2
nihonshinenpyou,2
ninjaprincess,2
nsub,2
nsub,2
okamotoayakonomatchplaygolf,3
okamotoayakonomatchplaygolf,3
orguss,2
othello,2
pacar,2
pacar,2
pitfall2,2
pitfall2,2
popflamer,2
qbert,3
rocknbolt,2
safarihunting,2
safarirace,2
sanninmahjong,3
sanninmahjong,3
basiclevel2,2
basiclevel2,2
basiclevel3,2
basiclevel3,2
segaflipper,2
segaflipper,2
segagalaga,2
segagalaga,2
segamahjong,2
segamahjong,2
segapachinko,2
pachinko2,2
sekaishinenpyou,2
serizawahachidannotsumeshougi,2
sg1000m2checkprogram,2
shinnyuushaintoorukun,2
sinbadmystery,2
soukoban,2
spacearmor,3
spacearmor,3
spacearmor,3
spaceinvaders,2
spacemountain,3
spaceslalom,2
starforce,2
starforce,2
starjacker,2
starjacker,2
starjacker,2
supertank,2
tanoshiisansuu4ge,2
tanoshiisansuu4jou,2
tanoshiisansuu4jou,2
tanoshiisansuu5ge,2
tanoshiisansuu5jou,2
tanoshiisansuu6ge,2
tanoshiisansuu6jou,2
terebioekaki,2
theblackonyx,2
thecastle,2
uranaiangelcutie,2
wonderboy,2
wonderboy,2
yamato,2
yamato,2
zaxxon,2
zippyrace,2
zippyrace,2
zoom909,2
borderline,2
championbaseball,2
championgolf,2
championsoccer,2
championtennis,2
congobongo,2
congobongo,2
exerion,2
flicky,2
loderunner,2
monacogp,2
monacogp,2
musiceditor,2
nsub,2
orguss,2
pacar,2
popflamer,2
safarihunting,2
safarirace,2
basiclevel3,2
basiclevel3,2
segaflipper,2
sinbadmystery,2
starjacker,2
starjacker,2
yamato,2
electronicsalesman,1
linkword,1
choplifter,2
