game_id,region_id
007jamesbond,3
007jamesbond,3
bankpanic,3
bombjack,3
borderline,3
cso,3
chacknpop,3
challengederby,3
challengederby,3
challengederby,3
championbaseball,3
championbaseball,3
championbilliards,3
championboxing,3
championboxing,3
championgolf,3
championgolf,3
championicehockey,3
championkendou,3
championprowrestling,3
championsoccer,3
championtennis,3
championshiploderunner,3
choplifter,3
chuugakuhisshuueibunpou1,3
chuugakuhisshuueibunpou2,3
chuugakuhishuueisakubun1,3
chuugakuhishuueisakubun1,3
chuugakuhishuueisakubun2,3
chuugakuhishuueisakubun2,3
chuugakuhisshuueitango1,3
chuugakuhisshuueitango2,3
chuugakuhisshuueitango2,3
congobongo,3
congobongo,3
congobongo,3
dokidokipenguinland,3
dragonwang,3
dragonwang,3
drol,3
elevatoraction,3
exerion,3
flicky,3
flicky,3
girlsgarden,3
golgo13,3
gpworld,3
gpworld,3
gulkave,3
guzzler,3
hero,3
hangon2,3
homebasic,3
homemahjong,3
homemahjong,3
hustlechumy,3
hypersports,3
kagakugensokigoumaster,3
loderunner,3
monacogp,3
monacogp,3
monacogp,3
musiceditor,3
nihonshinenpyou,3
ninjaprincess,3
nsub,3
nsub,3
okamotoayakonomatchplaygolf,3
okamotoayakonomatchplaygolf,3
orguss,3
othello,3
pacar,3
pacar,3
pitfall2,3
pitfall2,3
popflamer,3
qbert,3
rocknbolt,3
safarihunting,3
safarirace,3
sanninmahjong,3
sanninmahjong,3
basiclevel2,3
basiclevel2,3
basiclevel3,3
basiclevel3,3
segaflipper,3
segaflipper,3
segagalaga,3
segagalaga,3
segamahjong,3
segamahjong,3
segapachinko,3
pachinko2,3
sekaishinenpyou,3
serizawahachidannotsumeshougi,3
sg1000m2checkprogram,3
shinnyuushaintoorukun,3
sinbadmystery,3
soukoban,3
spacearmor,3
spacearmor,3
spacearmor,3
spaceinvaders,3
spacemountain,3
spaceslalom,3
starforce,3
starforce,3
starjacker,3
starjacker,3
starjacker,3
supertank,3
tanoshiisansuu4ge,3
tanoshiisansuu4jou,3
tanoshiisansuu4jou,3
tanoshiisansuu5ge,3
tanoshiisansuu5jou,3
tanoshiisansuu6ge,3
tanoshiisansuu6jou,3
terebioekaki,3
theblackonyx,3
thecastle,3
uranaiangelcutie,3
wonderboy,3
wonderboy,3
yamato,3
yamato,3
zaxxon,3
zippyrace,3
zippyrace,3
zoom909,3
borderline,2
championbaseball,2
championgolf,2
championsoccer,2
championtennis,2
congobongo,2
congobongo,2
exerion,2
flicky,2
loderunner,2
monacogp,2
monacogp,2
musiceditor,2
nsub,2
orguss,2
pacar,2
popflamer,2
safarihunting,2
safarirace,2
basiclevel3,2
basiclevel3,2
segaflipper,2
sinbadmystery,2
starjacker,2
starjacker,2
yamato,2
electronicsalesman,1
linkword,1
choplifter,3
